Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;-5,510598;1,628179;-5,81642;23,28378;89,87116;359,3382;-1;0;-1;0
0,3333333;-5,49457;1,62852;-5,812818;22,74296;89,65462;359,4088;0,04928416;0,04928416;-1;0,01642805
0,3691666;-5,306328;1,624853;-5,783566;23,30307;83,54815;0,1183715;5,31632;0,5605299;14,26737;0,2069289
0,3955668;-5,288295;1,623665;-5,784099;23,08986;82,88262;359,8105;0,6833808;0,568729;-74,44456;0,2249703
0,4121493;-5,269886;1,622382;-5,785281;22,87162;82,29173;359,5113;1,112448;0,5906051;9,982333;0,2434174
0,4287311;-5,269886;1,622382;-5,785281;22,87162;82,29173;359,5113;0;0,5677626;-33,54356;0,2434174
0,4454986;-5,251013;1,621111;-5,787064;22,12986;81,08318;358,9922;1,130538;0,5889441;33,89988;0,2623737
0,462056;-5,247896;1,620932;-5,787385;21,90312;81,01849;359,0236;0,1892574;0,5746216;-28,24555;0,2655073
0,4790255;-5,247896;1,620932;-5,787385;21,90312;81,01849;359,0236;0;0,5542655;-5,644926;0,2655073
0,4956296;-5,219644;1,61917;-5,791055;21,74092;80,90968;359,0185;1,715838;0,5931794;51,10662;0,2939973
0,5145304;-5,205998;1,619296;-5,792997;21,64775;80,76941;359,0183;0,7292403;0,5981774;-27,78771;0,3077804
0,5288675;-5,19207;1,619516;-5,795287;21,64095;80,56133;359,0052;0,9845291;0,6086511;7,680652;0,3218958
0,5454502;-5,185182;1,619784;-5,796463;21,66549;80,43185;358,986;0,421379;0,6029577;-18,21326;0,3288834
0,5624058;-5,171412;1,620707;-5,79876;21,75229;80,12633;358,9551;0,8232889;0,6096004;11,98362;0,3428428
0,5789079;-5,171412;1,620707;-5,79876;21,75229;80,12633;358,9551;0;0,5922233;-24,60682;0,3428428
0,5955753;-5,150939;1,622775;-5,802559;21,79575;79,65335;359,0702;1,249349;0,6106133;37,66558;0,3636662
0,6121031;-5,137314;1,624314;-5,805157;21,76963;79,35979;359,2321;0,8392008;0,6167855;-12,35564;0,3775363
0,6289492;-5,123787;1,625731;-5,807837;21,73067;79,09768;359,4023;0,818575;0,6221904;-0,6180211;0,3913261
0,6457626;-5,116949;1,626361;-5,809178;21,71131;79,00809;359,4548;0,4144412;0,6167813;-12,00652;0,3982943
0,6643939;-5,1036;1,627405;-5,811986;21,67336;78,83672;359,5367;0,7321976;0,6200178;8,964854;0,4119361
0,6789826;-5,1036;1,627405;-5,811986;21,67336;78,83672;359,5367;0;0,6066961;-22,04087;0,4119361
0,6954937;-5,083976;1,628587;-5,815875;21,60274;78,58786;359,6839;1,21163;0,6210572;38,95943;0,4319414
0,7121026;-5,070901;1,629233;-5,818526;21,53998;78,44484;359,7882;0,8032364;0,6253063;-12,33074;0,4452823
0,7289638;-5,057863;1,629702;-5,821191;21,50011;78,32487;359,8642;0,7892524;0,6290985;-0,4178065;0,45859
0,7454539;-5,051394;1,629925;-5,822482;21,48583;78,27157;359,8908;0,3999931;0,6240305;-11,67149;0,4651859
0,7622842;-5,038673;1,630291;-5,824102;21,65125;77,96062;359,8144;0,7619727;0,627076;10,8636;0,4780102
0,7791939;-5,038673;1,630291;-5,824102;21,65125;77,96062;359,8144;0;0,6134675;-22,58363;0,4780102
0,7961029;-5,012255;1,631272;-5,830309;21,63795;77,84777;359,7984;1,604892;0,6345251;47,45572;0,5051473
0,8146247;-5,005702;1,631438;-5,831464;21,63609;77,82432;359,7689;0,3592867;0,6282671;-35,15601;0,5118019
0,8295469;-4,99256;1,631726;-5,833661;21,63035;77,78069;359,6782;0,8928699;0,6330269;15,95453;0,5251255
0,8455584;-4,979334;1,631868;-5,835709;21,62229;77,75523;359,5634;0,8359039;0,6368685;-1,841553;0,5385095
0,8625061;-4,972797;1,63183;-5,836648;21,66182;77,73371;359,4758;0,3896762;0,6320114;-13,53881;0,5451137
0,8792913;-4,972797;1,63183;-5,836648;21,66182;77,73371;359,4758;0;0,6199467;-11,55182;0,5451137
0,8957637;-4,952694;1,631421;-5,838992;21,80942;77,59247;359,1284;1,228673;0,6311406;36,94411;0,5653529
0,9291843;-4,93926;1,630943;-5,840315;21,83682;77,61433;359,0226;0,403895;0,6229671;-16,53092;0,5788513
0,9633938;-4,919152;1,629644;-5,841303;22,09461;77,59902;358,776;0,5885057;0,6217434;2,729711;0,5989838
0,9816042;-4,891816;1,627524;-5,842453;22,38957;77,63323;358,588;1,502453;0,638082;17,43512;0,626344
0,9959336;-4,877711;1,626212;-5,843631;22,47008;77,69833;358,5617;0,9877952;0,6431137;-15,81626;0,6404985
1,012851;-4,87075;1,625523;-5,843812;22,50883;77,73378;358,5553;0,4115947;0,6392466;-18,44017;0,6474617
1,045814;-4,863759;1,624791;-5,843914;22,54565;77,76923;358,5509;0,212109;0,6257838;-3,999298;0,6544533
