Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3333333;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3691666;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3955668;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4121493;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4287311;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4454986;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,462056;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4790255;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4956296;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5145304;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5288675;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5454502;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5624058;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5789079;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5955753;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6121031;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6289492;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6457626;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6643939;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6789826;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6954937;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7121026;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7289638;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7454539;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7622842;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7791939;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7961029;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8146247;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8295469;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8455584;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8625061;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8792913;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8957637;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9291843;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9633938;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9816042;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9959336;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,012851;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,045814;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,07946;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,112627;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,129478;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,147685;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,179484;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,212712;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,22941;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,245902;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,262774;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,279967;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,297914;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,312651;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,329349;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,36271;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,379346;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
