Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;-5,507442;1,619064;-5,913065;23,22908;76,0061;357,7682;-1;0;-1;0
0,3141905;-5,496933;1,619758;-5,916726;23,18166;75,9112;357,8586;0,03541858;0,03541858;-1;0,01112818
0,334641;-5,340597;1,616736;-5,941787;25,7783;73,67075;358,3809;7,742172;0,5063919;23,02991;0,1694595
0,366091;-5,330099;1,61604;-5,942666;25,94867;73,62488;358,4894;0,3349838;0,4916666;-142,719;0,1799947
0,3829011;-5,315188;1,614547;-5,942489;26,16254;73,54559;358,721;0,8870429;0,5090244;11,43925;0,194906
0,3993273;-5,305318;1,613572;-5,942389;26,27259;73,51582;358,8646;0,6009322;0,512805;-8,608381;0,204777
0,4163367;-5,300677;1,612953;-5,942061;26,32024;73,49435;358,9549;0,2735292;0,5030294;-9,792046;0,2094296
0,4497201;-5,291052;1,611998;-5,941907;26,48158;73,43109;359,0712;0,2883385;0,4870926;0,293878;0,2190553
0,4662433;-5,271923;1,610192;-5,940886;26,68996;73,254;359,2196;1,159398;0,5109184;17,45378;0,2382123
0,4851121;-5,267297;1,609851;-5,940523;26,71182;73,22212;359,2508;0,245909;0,5006107;-25,81059;0,2428523
0,4994743;-5,25783;1,609435;-5,939775;26,69696;73,17287;359,3109;0,6611922;0,5052282;12,49687;0,2523485
0,5160494;-5,252886;1,609356;-5,939328;26,68092;73,15363;359,3358;0,2995133;0,4986207;-11,6907;0,257313
0,5328791;-5,243312;1,609061;-5,9383;26,52091;73,11469;359,4315;0,5721429;0,5009428;8,161391;0,2669419
0,5500315;-5,243312;1,609061;-5,9383;26,52091;73,11469;359,4315;0;0,4853211;-16,8366;0,2669419
0,5660375;-5,224254;1,608991;-5,935523;26,07178;72,98795;359,6504;1,203239;0,5056219;36,28757;0,286201
0,5829692;-5,219453;1,609116;-5,934844;25,97859;72,97986;359,6942;0,2863886;0,4992545;-27,83588;0,29105
0,5994548;-5,20963;1,609644;-5,933467;25,70953;72,98514;359,7989;0,6017006;0,5020719;9,435596;0,3009694
0,6170758;-5,20489;1,609963;-5,932687;25,55334;72,99892;359,8667;0,2725762;0,4955185;-9,649888;0,3057725
0,6351147;-5,19497;1,611011;-5,931009;25,31956;73,02577;359,9437;0,5577358;0,4972856;7,996644;0,3158334
0,6661303;-5,185105;1,612465;-5,929078;25,06996;73,07339;0,02242097;0,3241123;0,4892225;-4,76253;0,325886
0,6832009;-5,170391;1,615313;-5,925805;24,85325;73,0771;0,0711877;0,8830041;0,4990616;11,62271;0,3409593
0,6998859;-5,160424;1,617307;-5,923629;24,63239;73,13239;0,1510466;0,6114498;0,5017409;-8,044717;0,3511614
0,7160533;-5,150685;1,618922;-5,921175;24,43936;73,16609;0,2398405;0,6212064;0,5044383;0,2969817;0,3612047
0,7332081;-5,145823;1,619613;-5,919985;24,35688;73,17866;0,2830321;0,2918047;0,4994633;-9,885348;0,3662106
0,7498776;-5,145823;1,619613;-5,919985;24,35688;73,17866;0,2830321;0;0,4883604;-8,627067;0,3662106
0,76621;-5,131309;1,621135;-5,916461;24,10348;73,18791;0,4014692;0,9144534;0,4974429;27,70917;0,3811457
0,7835307;-5,121673;1,621486;-5,913943;23,97232;73,14746;0,445675;0,5750343;0,4991581;-10,08584;0,3911057
0,8018214;-5,112082;1,621653;-5,911835;23,70679;73,11005;0,5367901;0,5368875;0,5000188;-1,071198;0,4009258
0,816354;-5,107277;1,621716;-5,910668;23,58829;73,0823;0,5726873;0,3401928;0,4971736;-5,992517;0,4058697
0,8329054;-5,102403;1,62172;-5,909503;23,50879;73,0534;0,5918384;0,3027856;0,4933107;-1,203422;0,4108812
0,8496817;-5,102403;1,62172;-5,909503;23,50879;73,0534;0,5918384;0;0,4835707;-9,085104;0,4108812
0,866284;-5,083253;1,621543;-5,904869;23,12452;72,90793;0,633204;1,186744;0,4970469;35,55403;0,4305837
0,8830717;-5,073757;1,62091;-5,902602;22,97495;72,80677;0,6480133;0,5815584;0,4986535;-18,12479;0,4403468
0,900013;-5,064686;1,620326;-5,90067;22,93536;72,72483;0,6499783;0,5474687;0,4995724;-1,010695;0,4496216
0,9162111;-5,055847;1,619716;-5,898796;23,02098;72,60213;0,6345432;0,5578122;0,500602;0,3121224;0,4586571
0,9329807;-5,051571;1,619541;-5,897963;23,17291;72,50896;0,5994912;0,2597728;0,4962733;-9,04035;0,4630134
0,9504731;-5,051571;1,619541;-5,897963;23,17291;72,50896;0,5994912;0;0,48714;-7,58195;0,4630134
0,9687645;-5,034938;1,618974;-5,894874;23,98546;72,1553;0,437368;0,9248533;0,4954045;25,84557;0,4799303
0,9997323;-5,030809;1,61892;-5,894285;24,12504;72,10187;0,3989015;0,1346945;0,4842311;-16,04084;0,4841015
1,033408;-5,014607;1,618519;-5,892475;24,70618;71,91242;0,1677949;0,484092;0,4842266;5,404964;0,5004038
1,049813;-5,002442;1,617454;-5,892104;25,26366;71,78625;359,8758;0,7419241;0,4882534;5,148375;0,5125745
1,083284;-5,002442;1,617454;-5,892104;25,26366;71,78625;359,8758;0;0,4731671;-14,87535;0,5125745
