Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3141905;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,334641;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,366091;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3829011;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3993273;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4163367;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4497201;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4662433;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4851121;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4994743;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5160494;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5328791;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5500315;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5660375;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5829692;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5994548;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6170758;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6351147;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6661303;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6832009;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6998859;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7160533;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7332081;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7498776;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,76621;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7835307;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8018214;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,816354;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8329054;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8496817;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,866284;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8830717;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,900013;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9162111;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9329807;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9504731;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9687645;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9997323;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,033408;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,049813;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,083284;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,11685;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,135108;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,16644;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,183742;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,199992;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,216509;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,233248;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,25012;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,266444;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,284192;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,302373;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,333148;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,350098;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,366727;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,383462;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,400003;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,416848;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,433637;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,450715;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,46897;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,483531;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,500384;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,516924;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,533275;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,550234;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,566667;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
