Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;-3;1,7;-8,46;0;0;0;-1;0;-1;0
0,3333333;-3;1,7;-8,46;0;0;0;0;0;-1;0
0,3830656;-3;1,7;-8,46;4,300001;350,2;0;0;0;0;0
0,4148462;-3;1,7;-8,46;4,300001;350,2;0;0;0;0;0
0,42511;-3;1,7;-8,46;4,300001;350,2;0;0;0;0;0
0,4367052;-3;1,7;-8,46;4,300001;350,2;0;0;0;0;0
0,4469595;-3;1,7;-8,46;4,300001;350,2;0;0;0;0;0
0,4638191;-3;1,7;-8,46;4,300001;350,2;0;0;0;0;0
0,4862132;-3;1,7;-8,46;4,300001;350,2;0;0;0;0;0
0,5081457;-3;1,7;-8,46;4,300001;350,2;0;0;0;0;0
0,5200533;-3;1,7;-8,46;4,300001;350,2;0;0;0;0;0
0,5312259;-3;1,7;-8,46;4,300001;350,2;0;0;0;0;0
0,5415975;-3;1,7;-8,46;4,300001;350,2;0;0;0;0;0
0,5542722;-3;1,7;-8,46;4,300001;350,2;0;0;0;0;0
0,5744321;-3;1,7;-8,46;4,300001;350,2;0;0;0;0;0
0,5854777;-3;1,7;-8,46;4,300001;350,2;0;0;0;0;0
0,6016756;-3;1,7;-8,46;4,300001;350,2;0;0;0;0;0
0,6143587;-3;1,7;-8,46;4,300001;350,2;0;0;0;0;0
0,6302987;-3;1,7;-8,46;4,3;350,5;0;0;0;0;0
0,6440977;-3;1,7;-8,46;4,100001;351,1;-5,349776E-08;0;0;0;0
0,6618131;-3;1,7;-8,46;3,900001;351,9;0;0;0;0;0
0,6764913;-3;1,7;-8,46;3,700001;352,4;0;0;0;0;0
0,6895463;-3;1,7;-8,46;3,5;352,8;0;0;0;0;0
0,7084497;-3;1,7;-8,46;3,3;353,4;1,336237E-08;0;0;0;0
0,7186183;-3;1,7;-8,46;3,300001;353,5;0;0;0;0;0
0,7316824;-3;1,7;-8,46;3,2;353,6;0;0;0;0;0
0,7489811;-3;1,7;-8,46;3,100001;353,7;1,335976E-08;0;0;0;0
0,7603995;-3;1,7;-8,46;3,100001;353,7;1,335976E-08;0;0;0;0
0,7731243;-3;1,7;-8,46;3,100001;353,8;0;0;0;0;0
0,7944691;-3;1,7;-8,46;3,100001;353,8;0;0;0;0;0
0,8069255;-3;1,7;-8,46;3,100001;353,8;0;0;0;0;0
0,8198399;-3;1,7;-8,46;3,100001;353,8;0;0;0;0;0
0,8391289;-3;1,7;-8,46;3,100001;353,9;0;0;0;0;0
0,8512545;-3;1,7;-8,46;3,000001;354,1;1,335852E-08;0;0;0;0
0,8689371;-3;1,7;-8,46;3;354,3;0;0;0;0;0
0,881083;-3;1,7;-8,46;3,000001;354,5001;1,335852E-08;0;0;0;0
