Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3333333;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3830656;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4148462;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,42511;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4367052;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4469595;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4638191;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4862132;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5081457;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5200533;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5312259;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5415975;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5542722;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5744321;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5854777;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6016756;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6143587;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6302987;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6440977;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6618131;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6764913;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6895463;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7084497;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7186183;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7316824;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7489811;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7603995;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7731243;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7944691;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8069255;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8198399;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8391289;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8512545;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8689371;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,881083;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8965552;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9108903;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9249365;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,940925;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9553895;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9707096;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9854764;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9992805;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,010233;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,024413;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,03533;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,047825;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,062976;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,075059;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,088452;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,107882;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,124784;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,141848;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,160869;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
