Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;-3;1,7;-7,33;0;0;0;-1;0;-1;0
0,3215985;-3;1,7;-5,26;0,2999983;1,200104;0;6,436596;0;-1;0
0,3399731;-3;1,7;-5,09;0,2999983;1,200104;0;9,25191;0,5000398;8,28099;0,1700001
0,3556542;-3;1,7;-4,92;0,2999983;1,200104;0;-1;0,9559852;-1;0,3400002
0,3681365;-3;1,7;-4,84;0,2999983;1,200104;0;6,409077;1,140882;-1;0,4200001
0,3800728;-3;1,7;-4,8;0,2999983;1,200104;0;3,351117;1,210295;-125,2308;0,46
0,401411;-3;1,7;-4,71;0,2999983;1,200104;0;4,217796;1,370167;26,04633;0,5500002
0,4160078;-3;1,7;-4,71;0,2999983;1,200104;0;0;1,322091;-117,373;0,5500002
0,4276521;-3;1,7;-4,71;0,2999983;1,200104;0;0;1,286093;0;0,5500002
0,4466735;-3;1,7;-4,71;0,2999983;1,200104;0;0;1,231325;0;0,5500002
0,4601559;-3;1,7;-4,67;0,2999983;1,200104;0;2,96683;1,282175;91,27636;0,5900002
0,473942;-3;1,7;-4,67;0,2999983;1,200104;0;0;1,244878;-108,8006;0,5900002
0,4984962;-3;1,7;-4,67;0,2999983;1,200104;0;0;1,18356;0;0,5900002
0,5163296;-3;1,7;-4,67;0,2999983;1,200104;0;0;1,142681;0;0,5900002
0,5337362;-3;1,7;-4,67;0,2999983;1,200104;0;0;1,105415;0;0,5900002
0,5440071;-3;1,7;-4,67;0,2999983;1,200104;0;0;1,084545;0;0,5900002
0,5544075;-3;1,7;-4,67;0,2999983;1,200104;0;0;1,064199;0;0,5900002
0,5730734;-3;1,7;-4,67;0,2999983;1,200104;0;0;1,029537;0;0,5900002
0,5891854;-3;1,7;-4,63;0,2999983;1,200104;0;2,482633;1,069273;71,38541;0,6300001
0,6003891;-3;1,7;-4,63;0,2999983;1,200104;0;0;1,04932;-90,88695;0,6300001
0,6105614;-3;1,7;-4,63;0,2999983;1,200104;0;0;1,031837;0;0,6300001
0,6207148;-3;1,7;-4,63;0,2999983;1,200104;0;0;1,014959;0;0,6300001
