Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3215985;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3399731;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3556542;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3681365;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3800728;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,401411;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4160078;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4276521;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4466735;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4601559;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,473942;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4984962;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5163296;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5337362;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5440071;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5544075;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5730734;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5891854;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6003891;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6105614;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6207148;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6322418;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6482449;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,658532;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6722617;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6824465;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6931702;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7034063;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7217358;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7322105;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,742624;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7598744;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7705907;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7894241;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,801843;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8194025;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8294103;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,84744;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8580254;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8707662;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,889172;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8999032;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9172437;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9301761;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9410725;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9532022;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9642063;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9763612;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9870395;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,00492;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,015617;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,038054;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,048988;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
