Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;0;-1;-1;0
0,3333333;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,3702742;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,396333;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,4099489;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,4432198;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,4603381;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,477679;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,4944808;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,5110331;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,5265766;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,5443398;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,5601197;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,5771621;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,5943704;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,6106676;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,6271626;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,6438665;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,6609766;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,6772952;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,7109782;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,7264268;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,7439215;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,7607226;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,7777658;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,7943368;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,8116038;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,8437306;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,8605527;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,8774491;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,8938305;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,9113415;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,9270157;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,944159;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,9603094;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
0,9773527;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
1,010937;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
1,027482;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
1,044423;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
1,060923;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
1,078181;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
1,111205;3,663092;0,09217997;2,475925;344,199;112,5112;238,6478;0;1;0;-1;-1
