Areas
Area;Time spent in Area (s)
(1,1);5,156407
(1,2);17,97739
(1,1);1,197086
(1,2);6,065073
(1,3);7,071072
(2,3);10,71282
(3,3);7,718071
(3,2);11,24855
(4,2);7,326012
(4,3);8,328224
(4,4);7,928871


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;1,834459;2,215123;0,3806645;1,709317
Left;6,514816;6,820017;0,3052015;1,671688
Left;8,717602;9,20908;0,491478;0,4183133
Right;9,543242;10,31828;0,7750435;0,3325041
Left;13,06408;13,85671;0,7926378;0,3831467
Left;16,66645;17,27626;0,6098137;0,4218705
Left;18,16706;18,60667;0,4396019;0,1616168
Left;30,70711;31,09714;0,3900299;0,4653002
Left;31,55611;31,90427;0,3481522;0,1594083
Left;32,49565;32,75795;0,2622986;0,506539
Left;34,69313;35,1196;0,4264717;0,6375487
Left;36,32745;36,70749;0,3800316;0,425019
Right;37,00679;37,70228;0,6954842;1,534224
Left;38,33713;38,7961;0,4589691;0,1968458
Right;39,31987;39,80517;0,4852982;0,3789025
Left;40,6238;41,05072;0,4269142;0,4017097
Right;41,37608;41,9178;0,5417213;0,3437063
Left;42,28447;42,73741;0,4529381;0,3157801
Right;43,11658;43,72495;0,6083717;0,4670162
Left;44,42797;44,80315;0,3751831;0,404609
Right;46,22388;46,74937;0,5254822;0,2207388
Left;47,32484;47,86834;0,543499;0,3080046
Right;48,32692;49,07851;0,7515907;0,4426884
Left;49,64595;50,06273;0,4167747;0,4866538
Right;50,47869;51,08696;0,6082611;0,4555577
Left;51,29939;51,8965;0,5971069;0,4938939
Right;52,28354;52,84036;0,5568275;0,3733013
Left;53,12728;53,83838;0,7111015;0,4492056
Right;54,08869;54,73117;0,6424789;0,4086065
Left;55,44345;56,08124;0,6377831;0,5692527
Right;56,96912;57,43679;0,4676666;0,2703988
Right;59,11764;59,58185;0,4642105;0,1947853
Left;60,07225;60,62277;0,5505257;0,4422309
Right;61,04613;61,69062;0,6444855;0,4321179
Left;64,08843;65,10141;1,012978;0,8903275
Right;67,79603;68,3509;0,5548706;0,3459648
Left;69,2573;69,68676;0,4294586;0,5370039
Right;70,54762;70,9952;0,4475861;0,2172609
Left;71,44804;71,87883;0,4307861;0,1832388
Right;72,11444;72,72414;0,6096954;0,4919912
Right;73,84859;74,50178;0,653183;0,5671563
Left;74,93922;75,35085;0,4116211;0,2317739
Right;75,81881;76,47247;0,653656;0,4884772
Left;77,10316;77,45635;0,3531952;0,1674275
Right;77,92805;78,47155;0,5435028;0,437464
Left;85,61268;86,12341;0,5107269;0,4118794
Left;87,6897;88,07653;0,3868256;0,4901734
Left;89,5896;90,13856;0,5489578;0,4628547
Right;90,67514;91,16579;0,490654;0,2313043
Left;91,58508;92,16074;0,5756607;0,3943729
Right;92,4509;93,00715;0,5562515;0,3755743
Left;93,22962;93,69668;0,4670563;0,2695377
Right;93,90281;94,46424;0,5614319;0,3830229
Left;94,67057;95,21243;0,5418549;0,5183033
Right;95,4651;96,11478;0,6496811;0,4905347
Left;96,42092;97,04383;0,6229095;0,5565263
Right;97,37331;98,14778;0,7744751;0,4252419
Right;101,3587;102,1174;0,7586823;0,4945474


Landmarks
Area;Time spent looking at landmarks (s)
(1,1);1,999999
(1,2);11,56007
(1,3);6,679995
(2,3);4,199997
(3,3);1,319999
(3,2);5,359996
(4,2);7,319994
(4,3);4,139997


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
4,072086;(1,1);1,06
1,688365;(1,2);1,679999
1,925288;(1,2);1,02
2,60743;(1,2);2,359998
3,010166;(1,2);0,58
4,047312;(1,2);0,9199997
1,96199;(1,2);0,16
2,196838;(3,2);2,139999
6,927132;(4,2);6,619995
3,006004;(4,4);0


