Areas
Area;Time spent in Area (s)
(1,5);5,942917
(2,5);13,76294
(2,4);13,94565
(3,3);10,29937
(4,3);33,48492
(4,2);4,730949
(3,2);14,40012
(2,2);8,310173
(2,1);9,159233


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;1,082044;1,580338;0,4982934;0,3679754
Right;2,704816;3,243039;0,5382233;0,5973563
Right;4,845112;5,591108;0,7459965;0,5389904
Right;6,752782;7,413552;0,6607699;0,4245986
Left;7,48132;8,217377;0,7360568;0,9046881
Left;11,7852;12,24442;0,4592133;0,3779747
Left;17,33895;17,70663;0,3676796;0,1200835
Right;18,18349;18,91313;0,7296352;0,4230365
Left;19,39958;20,05234;0,6527576;0,4182138
Right;20,16553;20,91853;0,7530003;0,5226901
Right;21,94646;22,63468;0,6882229;0,5677739
Right;23,8;24,21088;0,4108829;0,217339
Right;30,94631;31,63289;0,6865749;0,4591485
Right;32,80172;33,46867;0,6669464;0,5568419
Left;33,72886;34,30364;0,5747833;0,3689249
Right;34,40453;35,11087;0,706337;0,5401724
Left;35,1893;35,83345;0,644146;0,5287185
Right;35,90791;36,60267;0,6947632;0,6400886
Left;36,74055;37,24812;0,5075684;0,4665533
Right;37,36776;38,12257;0,7548103;0,645447
Left;38,1884;38,88528;0,696888;0,6155562
Right;39,10905;39,79077;0,6817169;0,4424852
Right;41,51343;42,35358;0,8401489;0,4758573
Right;44,62489;45,31265;0,6877594;0,3515841
Right;46,92749;47,60538;0,677887;0,4670393
Left;47,9677;48,56722;0,5995178;1,927672
Left;51,07829;51,44605;0,3677559;0,115626
Right;51,95188;52,69564;0,7437553;0,4365562
Left;53,0734;53,86245;0,7890472;0,4868442
Left;62,4559;62,88367;0,4277687;0,2640069
Right;63,30521;64,03623;0,7310181;0,4683352
Left;64,55343;65,10435;0,5509262;0,2481668
Left;82,8122;83,25185;0,4396439;0,2825854
Right;83,55233;84,27962;0,7272949;0,7375351
Left;84,4508;85,19437;0,7435684;0,6142306
Right;85,55779;86,19511;0,6373215;0,4965816
Left;86,49509;87,03621;0,5411224;0,4433631
Left;88,53257;89,00422;0,4716492;0,3016494
Right;89,34562;90,01663;0,6710129;0,3575801
Left;90,32877;90,92281;0,5940323;0,4000278
Right;91,42918;91,96293;0,5337448;0,3841293
Right;100,7163;101,2707;0,5543671;0,3705661
Left;101,5377;102,163;0,6253052;0,4401968
Right;102,3777;103,1292;0,7514954;0,4770843
Left;103,4907;104,0035;0,512825;0,2263671
Left;105,0542;105,6382;0,5839615;0,4681457
Right;105,866;106,6516;0,7856522;1,338903
Left;106,9127;107,4275;0,514801;0,3420893
Right;107,6394;108,3059;0,6665115;0,5616519
Left;108,6376;109,2663;0,6287308;0,4171542
Right;109,6315;110,1619;0,5304184;0,4087159
Left;115,9328;116,435;0,502121;0,3015062
Right;118,9562;119,3628;0,4066544;0,1640727
Left;119,8339;120,2111;0,3772507;0,1553513
Right;120,4561;121,0119;0,5557861;0,3804975
Left;121,1958;121,8369;0,6411285;0,5456234
Right;122,1649;122,6895;0,5245132;0,3243622
Left;122,8088;123,4824;0,6735611;0,5588402


Landmarks
Area;Time spent looking at landmarks (s)
(1,5);2,539998
(2,5);5,139996
(2,4);6,239995
(3,3);0
(4,3);28,96047
(4,2);0,08
(3,2);6,119995
(2,2);0


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
3,359556;(2,5);0,9399996
4,890745;(2,5);3,379997
6,533205;(2,4);4,539997
1,517021;(3,3);0
2,051903;(3,3);0
2,302616;(3,3);0,22
8,387657;(4,3);8,360002
17,50692;(4,3);16,16018
7,828316;(3,2);4,299997
5,557159;(2,2);0
2,307892;(2,1);0


