Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;0;-1;-1;0
0,3333333;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,3667746;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,3907806;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,4067393;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,4240231;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,4401346;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,4570453;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,4742359;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,49089;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,5089729;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,5238335;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,5570174;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,5736169;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,5906011;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,6072424;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,6236682;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,6408404;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,6596299;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,6743969;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,6905026;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,7069232;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,7236347;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,7407115;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,7573249;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,7747871;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,7910367;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,8090982;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,8237359;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,8404597;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,8571199;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,8742299;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,8905223;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,9070792;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,9238087;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,9576052;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,976676;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
0,9907799;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
1,007281;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
1,023903;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
1,040699;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
1,057325;5,597178;0,03674116;4,549894;22,61868;270,87;304,0273;0;1;0;-1;-1
