Areas
Area;Time spent in Area (s)
(4,5);13,68165
(3,5);25,04113
(3,4);0,0434761
(3,2);12,05861
(3,4);5,36274
(2,3);6,172844
(1,3);3,309151
(1,2);3,082245
(1,1);0,01791382
(2,1);5,134216
(3,1);6,218918


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;1,582432;2,175802;0,5933708;0,6013492
Right;3,332239;4,167731;0,8354917;0,6851774
Right;5,664895;6,209888;0,5449924;0,4363729
Left;6,709102;6,981365;0,2722631;0,2310651
Right;12,98414;13,83197;0,8478317;0,4537153
Left;13,88719;14,59319;0,7059984;0,5424205
Right;16,71987;17,28818;0,568306;0,5187351
Left;17,53449;17,88155;0,3470592;0,1852681
Right;18,53327;19,26165;0,7283783;0,6357428
Left;18,68027;18,92991;0,249649;0,382646
Left;19,37762;20,04084;0,6632195;0,6851084
Right;20,16665;21,24993;1,083273;0,8080451
Right;22,07073;22,60132;0,5305882;0,3744204
Left;25,9209;26,03604;0,1151428;0,2517653
Left;38,44855;38,99342;0,5448647;0,1372476
Right;40,07351;40,54578;0,4722748;0,6460369
Left;41,25845;41,66077;0,4023132;0,5148307
Right;42,33105;42,62244;0,2913971;0,6494833
Left;42,98286;43,62674;0,6438789;0,8096337
Right;43,74604;44,6237;0,8776627;0,712082
Right;45,84288;46,53633;0,6934471;0,532812
Left;46,91223;47,22421;0,3119736;0,6648347
Left;50,40561;50,93929;0,53368;0,3403142
Right;51,23182;51,84078;0,6089668;0,4468631
Right;53,39963;54,04826;0,648632;0,6530864
Left;54,2584;54,87719;0,6187935;0,7039603
Right;55,20855;55,7634;0,5548477;0,6898893
Left;56,05718;56,78882;0,7316399;0,6986235
Right;56,95777;57,54492;0,5871506;0,6174787
Left;60,90063;61,40269;0,5020599;0,2422395
Right;62,96791;63,51099;0,5430756;0,282885
Right;64,2891;64,84451;0,5554123;0,367696
Right;66,08514;66,8019;0,7167587;0,6200418
Left;67,27211;67,80916;0,5370483;0,7397413
Right;67,94901;68,67396;0,7249451;0,6212522
Right;69,53704;70,10564;0,5686035;0,8182322
Right;71,07702;71,47658;0,399559;1,05036
Right;72,0254;72,62219;0,5967941;0,6758175
Left;72,53714;73,19791;0,6607742;0,2624877
Left;74,22964;74,60847;0,3788376;0,1474341
Right;75,834;76,20294;0,3689423;0,9679967
Right;77,14667;77,83307;0,6864014;0,6129026
Left;78,08893;79,15845;1,069527;0,6778174
Right;79,17199;79,83315;0,6611557;0,6006091
Left;80,39256;80,67255;0,2799835;0,3038084
Right;88,88222;89,77436;0,8921432;1,433063
Right;90,48891;91,27745;0,7885437;0,9185338
Right;91,97524;92,89265;0,9174042;0,9130933
Left;93,16651;93,68575;0,5192413;0,6497587
Right;93,53358;94,34039;0,8068085;1,025262
Right;94,96301;95,80025;0,8372421;0,8714412
Left;95,95638;96,38899;0,4326096;0,3025258
Right;97,17302;97,60233;0,429306;0,4787317
Right;98,94377;99,40688;0,4631119;0,4749186
Left;99,56584;100,4241;0,8582687;0,7941462
Right;100,382;101,2103;0,8282318;0,9042829
Left;101,2103;101,7983;0,5880432;0,7818539
Right;101,9431;102,6149;0,6718063;0,7293031
Right;103,5251;104,3495;0,8243637;0,6705053
Left;104,7635;105,2568;0,4933167;1,447671
Right;105,5749;106,1929;0,6179962;0,6171709
Right;107,133;107,858;0,7250443;0,7699453
Left;108,1877;108,8289;0,6411591;0,5831832
Right;109,6711;110,1579;0,4868088;0,4363148
Left;110,3875;110,7953;0,4078751;0,4366797
Right;110,868;111,2389;0,3708878;0,1535607
Right;112,935;113,8938;0,9588318;1,048587
Left;114,0525;114,6872;0,6347351;0,932407
Right;114,7064;115,3303;0,6239243;0,8020729
Right;116,9735;117,4342;0,4606628;0,5317529
Right;119,6268;120,3097;0,6829529;0,5421742
Left;122,1929;122,765;0,5721207;0,6331617
Right;122,8865;123,6374;0,7509689;0,7918513
Right;124,7541;125,6674;0,9133224;0,9043371
Right;126,6299;127,3993;0,7694321;0,8346204
Left;127,3452;128,0072;0,661972;1,845635
Right;129,8657;130,4005;0,5348663;0,6510323
Right;131,9614;132,5023;0,5409241;0,6232479
Right;133,7467;134,345;0,5982971;0,352961
Left;135,0056;135,5311;0,525528;0,7825382
Right;135,7089;136,3705;0,6616364;1,108474
Left;136,8149;137,205;0,3900757;0,7773429
Right;140,1373;140,9672;0,8299561;1,641721
Right;141,9831;142,9545;0,9714203;0,9057664
Left;143,4681;144,1084;0,6402893;0,5878167
Right;144,1258;144,8188;0,6929779;0,6002188
Left;145,1659;145,7531;0,5871582;0,561954
Right;146,3546;146,6661;0,3115387;0,2554366


Landmarks
Area;Time spent looking at landmarks (s)
(4,5);0
(3,5);12,4601
(3,4);0,5000001
(2,3);0,28
(1,3);0,9999996
(1,2);0,8799997
(1,1);0,04
(2,1);0,38


Errors
Walked path;Duration (s);Distance walked (m)
34.32;33,57472;0,3198871


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
5,211413;(4,5);0
1,914863;(4,5);0
3,114374;(3,5);0,7199998
11,90925;(3,5);9,680032
2,972363;(3,4);1,599999
3,144482;(3,4);2,099999
3,937241;(3,2);0


