Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
0,0090187;-5,301303;1,515565;-5,59339;33,92559;60,72684;349,8071;-1;0;0
0,3312333;-5,294053;1,515903;-5,596203;31,19763;63,86449;351,4552;0,0241342;0,0241342;0,007776391
0,3738953;-5,218555;1,521736;-5,689318;28,99046;88,26095;356,4669;2,809901;0,3498508;0,1276524
0,3919866;-5,210604;1,524998;-5,706335;26,68666;90,44094;356,9254;1,038252;0,3823707;0,1464357
0,4056923;-5,208884;1,525687;-5,709507;26,30313;90,71124;356,9033;0,2632342;0,3782544;0,1500435
0,4231041;-5,205269;1,526889;-5,715531;25,6743;91,27339;356,7482;0,4035022;0,379316;0,1570692
0,4375426;-5,205269;1,526889;-5,715531;25,6743;91,27339;356,7482;0;0,3665355;0,1570692
0,4520878;-5,199326;1,528146;-5,723948;24,87278;91,90311;356,6089;0,7084339;0,3777595;0,1673735
0,4674009;-5,19722;1,528485;-5,726649;24,54873;92,09605;356,557;0,2235997;0,3726095;0,1707975
0,4791826;-5,192763;1,52889;-5,731669;24,21372;92,42534;356,3662;0,5697967;0,3775507;0,1775107
0,4897782;-5,192763;1,52889;-5,731669;24,21372;92,42534;356,3662;0;0,3692298;0,1775107
0,5032901;-5,188077;1,529065;-5,736486;24,03988;92,62711;356,1875;0,4974039;0,3727337;0,1842316
0,513432;-5,188077;1,529065;-5,736486;24,03988;92,62711;356,1875;0;0,3652394;0,1842316
0,5240266;-5,180765;1,529105;-5,743324;23,83812;93,0361;355,986;0,9449087;0,3771642;0,1942425
0,5389641;-5,180765;1,529105;-5,743324;23,83812;93,0361;355,986;0;0,3665331;0,1942425
0,5592429;-5,17582;1,529034;-5,747659;23,92513;93,28651;355,9102;0,3242928;0,3649763;0,2008188
0,5699717;-5,170844;1,529002;-5,751633;23,94508;93,58292;355,9253;0,5935749;0,3693485;0,2071871
0,585481;-5,168376;1,528977;-5,753554;23,95434;93,71844;355,9807;0,2016226;0,3648359;0,2103142
0,5988375;-5,163577;1,528989;-5,75724;24,04234;93,89533;356,0056;0,4530654;0,3668339;0,2163655
0,6099343;-5,163577;1,528989;-5,75724;24,04234;93,89533;356,0056;0;0,3600598;0,2163655
0,6224099;-5,158768;1,52898;-5,760795;24,02806;94,12145;356,0484;0,479356;0,3624861;0,2223458
0,6335261;-5,158768;1,52898;-5,760795;24,02806;94,12145;356,0484;0;0,3560339;0,2223458
0,6491146;-5,151666;1,528885;-5,766132;23,90565;94,40678;356,0679;0,5699221;0,3612428;0,23123
0,6665777;-5,149311;1,528767;-5,76793;23,91486;94,49027;356,0404;0,1696385;0,3561543;0,2341924
0,6815304;-5,144564;1,528377;-5,771343;23,97494;94,68431;355,9011;0,3909895;0,3569288;0,2400388
0,6953166;-5,144564;1,528377;-5,771343;23,97494;94,68431;355,9011;0;0,3497589;0,2400388
0,7078684;-5,137239;1,527503;-5,776052;24,19214;94,95429;355,5475;0,6937402;0,355937;0,2487465
0,7203352;-5,134685;1,527218;-5,777574;24,29801;95,05321;355,4355;0,2385469;0,3538796;0,2517204
