Areas
Area;Time spent in Area (s)
(1,1);10,98237
(1,2);13,0191
(1,3);10,83938
(1,4);32,44327
(1,3);6,816055
(2,3);2,239777
(1,3);3,735199
(2,3);5,003632
(3,3);21,81855
(3,2);5,575096
(4,2);5,86972
(4,3);15,19144
(4,4);3,906219


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;3,700005;4,05464;0,3546352;1,145689
Right;5,768323;6,201139;0,432816;0,3552822
Left;8,963399;9,354189;0,39079;0,219464
Left;10,70946;11,41237;0,7029171;0,6622536
Left;12,442;13,23133;0,7893353;0,6587672
Right;13,67015;14,13423;0,4640808;1,325387
Left;14,38646;15,21585;0,8293905;0,6654648
Left;21,96353;22,0996;0,1360683;0,475423
Left;23,50051;24,13588;0,6353703;0,4884199
Left;26,76709;27,53376;0,7666626;0,9562624
Left;28,80863;29,81809;1,009464;0,6774441
Left;31,34742;31,91238;0,5649586;0,3566953
Right;34,90744;35,59159;0,6841545;0,5939571
Left;35,65271;36,79103;1,138313;0,7479085
Right;37,04088;37,6192;0,5783195;0,7666778
Left;37,74678;38,52796;0,7811813;0,7116559
Left;40,15506;40,53359;0,3785286;0,4916118
Left;41,96771;42,38427;0,4165611;0,2460937
Left;43,88168;44,40795;0,5262718;0,3842209
Left;48,74014;49,61876;0,8786201;0,8156124
Left;50,31078;51,04519;0,7344131;0,6894254
Right;50,89428;51,548;0,6537132;0,1199816
Left;54,80054;55,1694;0,3688622;0,1858078
Left;65,00403;65,58597;0,5819397;0,531068
Left;69,8781;70,73135;0,8532486;0,7094098
Right;70,73135;72,10633;1,374977;0,7295793
Left;72,21581;73,21796;1,002159;0,6286777
Left;76,50012;77,08175;0,5816269;0,4872664
Right;77,4128;77,99702;0,5842209;0,5339206
Right;79,27258;79,69559;0,4230194;0,3813524
Left;80,05875;80,58054;0,5217896;0,593746
Left;83,14658;83,57155;0,4249649;0,14849
Right;84,11646;84,88775;0,771286;0,4221622
Right;86,0107;86,74922;0,7385254;0,442879
Left;90,13818;90,7638;0,6256256;0,3904279
Right;90,91118;91,74778;0,8366013;0,9427182
Left;91,58653;92,34496;0,7584229;1,106906
Right;92,27412;92,65975;0,3856354;0,5471285
Left;92,85383;93,40129;0,5474625;0,500411
Right;93,2503;93,95492;0,7046204;0,2241021
Left;95,39775;95,93224;0,5344925;0,4391474
Right;96,16571;96,66557;0,4998627;0,7783046
Left;96,68067;97,35541;0,674736;0,7645743
Right;97,31255;98,07002;0,7574692;0,861717
Left;97,97439;98,74677;0,772377;0,8965316
Right;98,95857;99,47485;0,5162735;0,8407587
Left;99,4277;100,2267;0,7990036;0,7089112
Left;101,4353;102,1062;0,6708679;0,8642907
Right;102,2111;102,8075;0,596405;0,7950321
Left;103,0078;103,7721;0,7643661;0,8795176
Right;104,2061;104,5749;0,3688812;0,7375931
Left;104,4923;105,1868;0,6944809;0,6577045
Right;105,7547;106,1428;0,3881683;0,3995417
Left;106,3346;107,166;0,8314667;0,5775752
Right;107,1511;107,6146;0,463501;0,4053484
Right;110,2487;110,6254;0,3766327;0,4054018
Right;125,1521;125,8126;0,6605377;0,5764148
Left;125,7979;126,8463;1,048401;0,8612959
Right;126,954;127,5142;0,5601501;1,003631
Left;127,5969;128,4019;0,8050156;0,7546615
Left;129,4583;130,1596;0,7012939;0,5695264
Right;130,5719;131,0781;0,5062103;0,5676555
Left;131,3186;132,1596;0,8409424;0,6259167
Right;132,2565;132,9034;0,6468658;0,6744412
Left;132,9966;133,9023;0,9057159;0,7545023
Right;134,1994;134,773;0,5735168;0,7637576
Left;136,4413;137,0529;0,611557;0,885538
Right;137,2133;138,0089;0,7956085;1,371713
Left;138,0552;138,5947;0,539505;0,3766291
Left;140,5483;141,0477;0,4993896;0,2907039
Right;148,4959;149,0143;0,5183105;0,414002
Left;149,0999;150,0045;0,9046173;1,184341
Left;150,7258;151,4752;0,7494202;0,7314872
Right;151,7232;152,2843;0,5610809;1,375688
Right;155,5599;156,1642;0,6042938;0,2614261
Left;163,498;163,7591;0,2610779;1,069353
Right;164,0488;164,7017;0,6529236;1,228231
Left;164,6199;165,5265;0,906601;1,021902
Right;165,5614;166,0414;0,4799652;0,4702622
Left;166,5241;167,4433;0,9191742;1,005466


Landmarks
Area;Time spent looking at landmarks (s)
(1,1);9,380025
(1,2);8,74001
(1,3);9,280023
(2,3);1,179999
(3,3);11,10006
(3,2);0,7999998
(4,2);0,6999999
(4,3);7,599994


Errors
Walked path;Duration (s);Distance walked (m)
13.14;40,36488;0,2334853


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
2,560868;(1,1);2,459998
6,543994;(1,2);4,059997
2,428581;(1,2);0,9799996
2,78447;(1,3);0,34
4,132195;(1,4);0
3,047157;(1,4);0
5,900177;(1,4);0
3,053017;(1,4);0
3,417618;(1,4);0
2,334114;(1,3);1,899999
1,809044;(1,3);0,6199999
3,186378;(1,3);1,399999
1,91449;(3,3);1,06
8,352341;(3,3);5,459996
5,457039;(3,3);2,959998
1,738907;(4,2);1,359999
7,247467;(4,2);6,299995
3,075241;(4,3);2,999998
7,117645;(4,3);1,519999


