Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s)
0,0083724;0;0;0;0;90;0;0;0;0;-1;-1
0,3295254;0;0;0;0;90;0;0;0;0;-1;-1
0,3523254;0;0;0;0;90;0;0;0;0;-1;-1
0,3649151;0;0;0;0;90;0;0;0;0;-1;-1
0,3737594;0;0;0;0;90;0;0;0;0;-1;-1
0,3834157;0;0;0;0;90;0;0;0;0;-1;-1
0,3937271;0;0;0;0;90;0;0;0;0;-1;-1
0,4044443;0;0;0;0;90;0;0;0;0;-1;-1
0,4136985;0;0;0;0;90;0;0;0;0;-1;-1
0,4236824;0;0;0;0;90;0;0;0;0;-1;-1
0,434858;0;0;0;0;90;0;0;0;0;-1;-1
0,4487547;0;0;0;0;90;0;0;0;0;-1;-1
0,4610974;0;0;0;0;90;0;0;0;0;-1;-1
0,4712116;0;0;0;0;90;0;0;0;0;-1;-1
0,480906;0;0;0;0;90;0;0;0;0;-1;-1
0,4940298;0;0;0;0;90;0;0;0;0;-1;-1
0,5066614;0;0;0;0;90;0;0;0;0;-1;-1
0,5184575;0;0;0;0;90;0;0;0;0;-1;-1
0,5296648;0;0;0;0;90;0;0;0;0;-1;-1
0,5404379;0;0;0;0;90;0;0;0;0;-1;-1
0,5503141;0;0;0;0;90;0;0;0;0;-1;-1
0,5628042;0;0;0;0;90;0;0;0;0;-1;-1
0,573274;0;0;0;0;90;0;0;0;0;-1;-1
0,582411;0;0;0;0;90;0;0;0;0;-1;-1
0,5940182;0;0;0;0;90;0;0;0;0;-1;-1
0,6050153;0;0;0;0;90;0;0;0;0;-1;-1
0,6143723;0;0;0;0;90;0;0;0;0;-1;-1
0,6241384;0;0;0;0;90;0;0;0;0;-1;-1
0,6353589;0;0;0;0;90;0;0;0;0;-1;-1
0,6473913;0;0;0;0;90;0;0;0;0;-1;-1
0,6569687;0;0;0;0;90;0;0;0;0;-1;-1
0,6679266;0;0;0;0;90;0;0;0;0;-1;-1
0,6785114;0;0;0;0;90;0;0;0;0;-1;-1
0,692927;0;0;0;0;90;0;0;0;0;-1;-1
0,712676;0;0;0;0;90;0;0;0;0;-1;-1
0,7260452;0;0;0;0;90;0;0;0;0;-1;-1
0,7379652;0;0;0;0;90;0;0;0;0;-1;-1
0,7474151;0;0;0;0;90;0;0;0;0;-1;-1
0,7572105;0;0;0;0;90;0;0;0;0;-1;-1
0,7701437;0;0;0;0;90;0;0;0;0;-1;-1
0,7791069;0;0;0;0;90;0;0;0;0;-1;-1
0,7897907;0;0;0;0;90;0;0;0;0;-1;-1
0,8029909;0;0;0;0;90;0;0;0;0;-1;-1
0,8132752;0;0;0;0;90;0;0;0;0;-1;-1
0,8254051;0;0;0;0;90;0;0;0;0;-1;-1
0,8355375;0;0;0;0;90;0;0;0;0;-1;-1
0,8501737;0;0;0;0;90;0;0;0;0;-1;-1
0,8599738;0;0;0;0;90;0;0;0;0;-1;-1
0,8697518;0;0;0;0;90;0;0;0;0;-1;-1
0,8789637;0;0;0;0;90;0;0;0;0;-1;-1
0,8917889;0;0;0;0;90;0;0;0;0;-1;-1
0,9017751;0;0;0;0;90;0;0;0;0;-1;-1
0,9115114;0;0;0;0;90;0;0;0;0;-1;-1
0,9223619;0;0;0;0;90;0;0;0;0;-1;-1
0,9327176;0;0;0;0;90;0;0;0;0;-1;-1
0,9433846;0;0;0;0;90;0;0;0;0;-1;-1
0,9580227;0;0;0;0;90;0;0;0;0;-1;-1
0,9716179;0;0;0;0;90;0;0;0;0;-1;-1
0,9832057;0;0;0;0;90;0;0;0;0;-1;-1
0,9922299;0;0;0;0;90;0;0;0;0;-1;-1
1,001824;0;0;0;0;90;0;0;0;0;-1;-1
1,012744;0;0;0;0;90;0;0;0;0;-1;-1
1,022973;0;0;0;0;90;0;0;0;0;-1;-1
1,032387;0;0;0;0;90;0;0;0;0;-1;-1
1,048624;0;0;0;0;90;0;0;0;0;-1;-1
1,074638;0;0;0;0;90;0;0;0;0;-1;-1
1,092981;0;0;0;0;90;0;0;0;0;-1;-1
1,109915;0;0;0;0;90;0;0;0;0;-1;-1
1,122141;0;0;0;0;90;0;0;0;0;-1;-1
1,132774;0;0;0;0;90;0;0;0;0;-1;-1
1,144626;0;0;0;0;90;0;0;0;0;-1;-1
1,155966;0;0;0;0;90;0;0;0;0;-1;-1
1,167019;0;0;0;0;90;0;0;0;0;-1;-1
1,176459;0;0;0;0;90;0;0;0;0;-1;-1
1,192717;0;0;0;0;90;0;0;0;0;-1;-1
1,204727;0;0;0;0;90;0;0;0;0;-1;-1
1,213863;0;0;0;0;90;0;0;0;0;-1;-1
1,23279;0;0;0;0;90;0;0;0;0;-1;-1
1,246668;0;0;0;0;90;0;0;0;0;-1;-1
1,259421;0;0;0;0;90;0;0;0;0;-1;-1
1,275078;0;0;0;0;90;0;0;0;0;-1;-1
1,286283;0;0;0;0;90;0;0;0;0;-1;-1
1,295195;0;0;0;0;90;0;0;0;0;-1;-1
1,305514;0;0;0;0;90;0;0;0;0;-1;-1
1,314417;0;0;0;0;90;0;0;0;0;-1;-1
1,325225;0;0;0;0;90;0;0;0;0;-1;-1
1,338015;0;0;0;0;90;0;0;0;0;-1;-1
1,348017;0;0;0;0;90;0;0;0;0;-1;-1
1,358553;0;0;0;0;90;0;0;0;0;-1;-1
1,368032;0;0;0;0;90;0;0;0;0;-1;-1
1,377595;0;0;0;0;90;0;0;0;0;-1;-1
1,392639;0;0;0;0;90;0;0;0;0;-1;-1
1,404393;0;0;0;0;90;0;0;0;0;-1;-1
1,420703;0;0;0;0;90;0;0;0;0;-1;-1
1,434216;0;0;0;0;90;0;0;0;0;-1;-1
1,446954;0;0;0;0;90;0;0;0;0;-1;-1
1,459497;0;0;0;0;90;0;0;0;0;-1;-1
1,470317;0;0;0;0;90;0;0;0;0;-1;-1
1,485648;0;0;0;0;90;0;0;0;0;-1;-1
1,495091;0;0;0;0;90;0;0;0;0;-1;-1
1,505948;0;0;0;0;90;0;0;0;0;-1;-1
1,515586;0;0;0;0;90;0;0;0;0;-1;-1
1,524775;0;0;0;0;90;0;0;0;0;-1;-1
