Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;-6,767209;1,584333;-1,218979;346,679;92,94711;352,9265;-1;0;-1;0
0,3333333;-6,76728;1,584182;-1,218874;346,6343;92,92075;352,9137;0,0003792987;0,0003792987;-1;0,0001264329
0,3768135;-6,765662;1,581174;-1,218917;344,6432;92,80659;352,1034;0,03722312;0,004630675;0,09777732;0,001744901
0,4015818;-6,764897;1,580276;-1,219278;344,7582;92,83298;351,9464;0,03412892;0,006450034;-0,04533716;0,002590216
0,4182166;-6,764415;1,579736;-1,219466;344,8417;92,84598;351,8495;0,03113524;0,007431901;-0,07230583;0,003108145
0,4348842;-6,764113;1,579418;-1,219548;344,9026;92,84951;351,7886;0,01876588;0,007866293;-0,3714255;0,003420927
0,4512029;-6,763981;1,579281;-1,219587;344,9439;92,84953;351,7607;0,008437086;0,007886937;-0,3131236;0,003558609
0,4678669;-6,763981;1,579281;-1,219587;344,9439;92,84953;351,7607;0;0,007606029;-0,2558033;0,003558609
0,4853436;-6,763536;1,578846;-1,219719;345,1203;92,84525;351,6669;0,02652624;0,008287326;0,7769681;0,004022201
0,503484;-6,763435;1,57874;-1,219746;345,1497;92,84896;351,6408;0,005777412;0,008196894;-0,5825527;0,004127005
0,5178363;-6,763318;1,578612;-1,219774;345,2137;92,85098;351,605;0,008427566;0,008203288;0,08156152;0,00424796
0,5349913;-6,763109;1,578357;-1,219845;345,3356;92,86143;351,5308;0,01286422;0,008352744;0,1408135;0,004468646
0,5512538;-6,762928;1,578095;-1,21994;345,4214;92,88311;351,4663;0,01251874;0,008475645;-0,01033844;0,004672232
0,5686466;-6,762928;1,578095;-1,21994;345,4214;92,88311;351,4663;0;0,008216406;-0,3719694;0,004672232
0,5847673;-6,762762;1,57782;-1,220039;345,528;92,90506;351,4024;0,01200239;0,008320777;0,3581362;0,004865718
0,6190318;-6,762535;1,577388;-1,220179;345,806;92,93119;351,2943;0,007797695;0,008291824;-0,08345106;0,005132902
0,6353924;-6,762378;1,576991;-1,220412;346,3643;92,92106;351,2609;0,01716135;0,008520203;0,1849607;0,005413672
0,6535829;-6,762355;1,576908;-1,220462;346,4586;92,92368;351,2433;0,00303144;0,00836744;-0,408957;0,005468816
0,6679972;-6,762319;1,576762;-1,220553;346,6266;92,92997;351,2071;0,006792577;0,008333458;0,1153553;0,005566726
0,6851261;-6,762319;1,576762;-1,220553;346,6266;92,92997;351,2071;0;0,008125112;-0,2153421;0,005566726
0,7017814;-6,762297;1,57656;-1,220698;346,909;92,94124;351,1598;0,008809584;0,008141357;0,2607604;0,005713453
0,7181376;-6,762295;1,576486;-1,220747;347,0046;92,94711;351,1422;0,003012331;0,008024538;-0,1756129;0,005762723
0,7515424;-6,762301;1,576348;-1,220867;347,3004;92,95056;351,1413;0,003587701;0,007827329;0,01156267;0,00588257
0,768006;-6,762341;1,575989;-1,221157;347,9522;92,9914;351,1568;0,01780237;0,008041161;0,2850435;0,00617566
0,7857338;-6,762362;1,57575;-1,221311;348,3425;93,01625;351,1811;0,008741551;0,008056963;-0,265003;0,006330628
0,8036424;-6,762373;1,575624;-1,22139;348,5943;93,02216;351,2115;0,004462172;0,007976856;-0,1200846;0,00641054
0,8181865;-6,762386;1,575347;-1,22154;349,1556;93,03189;351,2331;0,01032989;0,008018684;0,1808083;0,006560779
0,8351692;-6,762388;1,575198;-1,22161;349,4732;93,0351;351,2238;0,004143863;0,007939891;-0,1962149;0,006631153
0,8514799;-6,762382;1,574842;-1,221723;349,9221;93,02875;351,266;0,006962575;0,00792117;0,08466287;0,006744717
0,8683334;-6,762382;1,574842;-1,221723;349,9221;93,02875;351,266;0;0,007767428;-0,2099425;0,006744717
0,8850982;-6,762351;1,57414;-1,221871;351,0316;92,93667;351,3279;0,008989262;0,007790571;0,2673917;0,006895421
0,9017584;-6,762341;1,573964;-1,221887;351,345;92,90039;351,3254;0,001137697;0,007667657;-0,2349007;0,006914375
0,9181991;-6,762312;1,573756;-1,221882;351,7584;92,83846;351,3286;0,00177054;0,007562068;0,01911864;0,006943484
0,935541;-6,762249;1,57321;-1,221819;352,72;92,68051;351,3719;0,00510381;0,0075165;0,09866841;0,007031993
0,9535828;-6,76222;1,573014;-1,221775;353,0139;92,63336;351,3907;0,002922958;0,00742959;-0,06163437;0,007084729
0,9682023;-6,76219;1,572706;-1,221687;353,42;92,55642;351,4412;0,006408038;0,007414165;0,1067036;0,007178411
0,9853286;-6,76219;1,572706;-1,221687;353,42;92,55642;351,4412;0;0,007285297;-0,2018543;0,007178411
1,001901;-6,762182;1,572447;-1,221593;353,7621;92,48969;351,5027;0,005665344;0,007258501;0,1681162;0,007272301
1,01923;-6,762191;1,572244;-1,221495;354,0228;92,43393;351,5586;0,00569001;0,007231833;0,0007275753;0,007370904
1,03554;-6,762205;1,572147;-1,221443;354,1169;92,41743;351,5767;0,003319404;0,007170213;-0,07047279;0,007425042
1,052196;-6,762258;1,571949;-1,221319;354,4407;92,34848;351,6713;0,008068922;0,00718444;0,1440747;0,007559439
1,068501;-6,762258;1,571949;-1,221319;354,4407;92,34848;351,6713;0;0,007074811;-0,2448047;0,007559439
1,10221;-6,762401;1,571774;-1,221219;355,3204;92,19971;352,0145;0,005187631;0,007017095;0,1037243;0,00773431
1,137535;-6,762524;1,571612;-1,221102;355,5467;92,17242;352,0877;0,004818979;0,006948834;-0,005340131;0,007904541
1,151763;-6,762652;1,571427;-1,22096;355,841;92,13465;352,1534;0,01341288;0,007028688;0,1734267;0,008095384
1,168354;-6,762652;1,571427;-1,22096;355,841;92,13465;352,1534;0;0,006928882;-0,4352188;0,008095384
1,185019;-6,762869;1,571303;-1,220873;356,7882;92,01261;352,4993;0,01402964;0,007028741;0,4218734;0,00832919
1,201913;-6,762919;1,571244;-1,220825;356,8602;92,00673;352,5243;0,004113207;0,006987762;-0,2954929;0,008398678
1,219385;-6,76302;1,571155;-1,220755;357,1074;91,98408;352,6299;0,006995543;0,006987873;0,08387055;0,00852091
1,235034;-6,763073;1,571126;-1,220737;357,2805;91,96784;352,718;0,003606406;0,006945029;-0,1023256;0,008577344
1,251616;-6,763159;1,570972;-1,220597;357,3501;91,96265;352,7526;0,00986966;0,006983778;0,1943226;0,008741011
1,269344;-6,763159;1,570972;-1,220597;357,3501;91,96265;352,7526;0;0,00688624;-0,2876545;0,008741011
1,287299;-6,763321;1,57075;-1,220332;357,5164;91,94913;352,8884;0,01731073;0,007031637;0,4851298;0,00905182
1,318595;-6,763364;1,570655;-1,220188;357,4976;91,95387;352,8999;0,004811686;0,006978948;-0,2537852;0,009202406
1,335212;-6,763533;1,570445;-1,219625;357,4241;91,94796;352,9756;0,03534465;0,007331969;0,6372589;0,009789734
1,351813;-6,763576;1,570417;-1,219452;357,3687;91,94482;352,9915;0,01077023;0,007374193;-0,7397916;0,009968529
1,368434;-6,763576;1,570417;-1,219452;357,3687;91,94482;352,9915;0;0,007284626;-0,3241912;0,009968529
1,385521;-6,76377;1,570391;-1,218619;357,0997;91,92088;353,0434;0,05002416;0,007811713;1,484045;0,01082329
1,40216;-6,763824;1,570399;-1,21838;357,0469;91,90961;353,0547;0,01477383;0,007894333;-1,045187;0,01106912
1,419628;-6,764008;1,570542;-1,218029;357,0059;91,87808;353,1103;0,02268104;0,008076273;0,2318354;0,0114653
1,43785;-6,764108;1,570616;-1,217849;356,9881;91,86189;353,1333;0,01129836;0,008117108;-0,3189345;0,01167118
1,451893;-6,764295;1,570732;-1,217493;356,9665;91,82945;353,1701;0,02859956;0,008315216;0,536223;0,0120728
1,468427;-6,764295;1,570732;-1,217493;356,9665;91,82945;353,1701;0;0,008221587;-0,9353237;0,0120728
1,485413;-6,764643;1,570905;-1,216856;356,9174;91,76731;353,2323;0,042769;0,008616644;1,275912;0,01279928
1,502649;-6,764643;1,570905;-1,216856;356,9174;91,76731;353,2323;0;0,008517809;-1,24976;0,01279928
1,518795;-6,76479;1,570939;-1,216592;356,9037;91,74197;353,256;0,01867435;0,008625782;0,5594148;0,0131008
1,535402;-6,764996;1,570987;-1,21627;356,8727;91,71201;353,2921;0,02303221;0,008781604;0,1330513;0,01348329
1,551936;-6,765063;1,571006;-1,216177;356,8656;91,70292;353,3054;0,006963265;0,008762231;-0,4848641;0,01359842
1,56854;-6,765063;1,571006;-1,216177;356,8656;91,70292;353,3054;0;0,008669482;-0,2101336;0,01359842
1,585758;-6,765423;1,571153;-1,215787;356,7759;91,65493;353,3615;0,03078787;0,008909651;0,9102927;0,01412855
1,604323;-6,765535;1,571207;-1,215685;356,7529;91,64101;353,3746;0,008200054;0,00890144;-0,6312391;0,01428078
1,618878;-6,765788;1,571332;-1,215464;356,6876;91,6059;353,3984;0,0230149;0,00902833;0,4473143;0,01461576
1,635408;-6,765928;1,571408;-1,215352;356,6528;91,58602;353,4078;0,01087086;0,009046954;-0,3906721;0,01479546
1,651987;-6,76623;1,571574;-1,215144;356,5715;91,54549;353,4218;0,02208735;0,009177824;0,3387753;0,01516164
1,66888;-6,76623;1,571574;-1,215144;356,5715;91,54549;353,4218;0;0,009084919;-0,6598648;0,01516164
1,685587;-6,766564;1,571761;-1,214955;356,458;91,49881;353,4221;0,02299415;0,009222777;0,6843528;0,01554579
1,702339;-6,767134;1,572041;-1,214749;356,1896;91,42233;353,4056;0,03620172;0,009488278;0,394738;0,01615227
1,718683;-6,767553;1,57219;-1,214674;355,952;91,37986;353,3952;0,02601678;0,009645458;-0,3077307;0,01657749
1,736094;-6,767753;1,572243;-1,214661;355,8957;91,36462;353,3917;0,01150235;0,00966408;-0,4299958;0,01677775
