Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;3,868187;1,546326;-8,478837;21,67745;356,695;358,9051;-1;0;-1;0
0,3333333;3,868165;1,546214;-8,478736;21,81862;356,6505;358,8474;0,0003100252;0,0003100252;-1;0,0001033417
0,3693512;3,868226;1,544609;-8,477032;22,3628;356,4013;358,4734;0,04734521;0,004896739;0,1273454;0,001808617
0,394345;3,868244;1,544722;-8,477047;22,2537;356,4479;358,4944;0,0009624576;0,004647382;-0,7602271;0,001832672
0,4087636;3,868255;1,544778;-8,47706;22,19917;356,4798;358,5089;0,001208901;0,004526094;0,006252944;0,001850103
0,4246877;3,868255;1,544778;-8,47706;22,19917;356,4798;358,5089;0;0,004356384;-0,0398417;0,001850103
0,441727;3,868286;1,545482;-8,477312;21,55566;357,0256;358,7354;0,01488391;0,004762478;0,4515286;0,002103715
0,4590964;3,868286;1,545482;-8,477312;21,55566;357,0256;358,7354;0;0,004582295;-0,4325616;0,002103715
0,4756497;3,868286;1,545482;-8,477312;21,55566;357,0256;358,7354;0;0,004422825;0;0,002103715
0,492909;3,868286;1,545482;-8,477312;21,55566;357,0256;358,7354;0;0,004267958;0;0,002103715
0,508989;3,867769;1,545131;-8,477301;21,72188;356,9834;358,6644;0,03215288;0,0051489;0,9644141;0,002620734
0,5256611;3,867769;1,545131;-8,477301;21,72188;356,9834;358,6644;0;0,004985596;-0,9817073;0,002620734
0,5419388;3,8676;1,544769;-8,477219;21,88703;357,0478;358,6695;0,01151606;0,005181746;0,3495031;0,002808189
0,5583346;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0,0003724425;0,005040518;-0,3410588;0,002814296
0,5753602;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,004891363;-0,01114383;0,002814296
0,5928881;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,004746757;0;0,002814296
0,6088459;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,004622345;0;0,002814296
0,6247569;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,004504626;0;0,002814296
0,6421925;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,004382324;0;0,002814296
0,6594354;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,004267736;0;0,002814296
0,6751793;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,00416822;0;0,002814296
0,6917019;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,004068654;0;0,002814296
0,7096713;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,003965633;0;0,002814296
0,7255058;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,003879081;0;0,002814296
0,7431011;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,003787232;0;0,002814296
0,7582304;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,003711663;0;0,002814296
0,776337;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,003625096;0;0,002814296
0,7923927;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,003551643;0;0,002814296
0,8102607;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,003473322;0;0,002814296
0,8423147;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,003341146;0;0,002814296
0,8598738;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,003272918;0;0,002814296
0,8759128;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,003212987;0;0,002814296
0,8938248;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,003148599;0;0,002814296
0,9093494;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,003094845;0;0,002814296
0,9253139;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,00304145;0;0,002814296
0,942784;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,002985091;0;0,002814296
0,9586825;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,002935587;0;0,002814296
0,9757286;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,002884302;0;0,002814296
0,9920177;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,002836941;0;0,002814296
1,009008;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,00278917;0;0,002814296
1,042209;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,002700318;0;0,002814296
1,059428;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,002656429;0;0,002814296
1,076411;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,002614518;0;0,002814296
1,09239;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,002576274;0;0,002814296
1,126443;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,002498391;0;0,002814296
1,142431;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,002463427;0;0,002814296
1,175528;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,002394069;0;0,002814296
1,192296;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,0023604;0;0,002814296
1,208838;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,002328101;0;0,002814296
1,225731;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,002296014;0;0,002814296
1,242577;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,002264887;0;0,002814296
1,260044;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,00223349;0;0,002814296
1,292489;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,002177424;0;0,002814296
1,343078;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,002095408;0;0,002814296
1,358788;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,00207118;0;0,002814296
1,375936;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,002045369;0;0,002814296
1,394205;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,002018567;0;0,002814296
1,409517;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,001996639;0;0,002814296
1,426069;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,001973464;0;0,002814296
1,442545;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,001950924;0;0,002814296
1,459432;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,001928351;0;0,002814296
1,476108;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,001906565;0;0,002814296
1,492984;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,001885014;0;0,002814296
1,509292;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,001864646;0;0,002814296
1,526239;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,001843942;0;0,002814296
1,542443;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,001824571;0;0,002814296
1,559212;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,001804948;0;0,002814296
1,57521;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,001786617;0;0,002814296
1,593448;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,001766167;0;0,002814296
1,609068;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,001749023;0;0,002814296
1,626975;3,867597;1,544761;-8,477214;21,88845;357,0527;358,6721;0;0,001729772;0;0,002814296
