Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;-1;0;-1;0
0,3333333;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;-1;0
0,3793526;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,404296;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,4186544;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,4350826;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,4513901;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,46829;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,4845534;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,5002916;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,5171819;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,5357651;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,5515192;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,5844752;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,6009663;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,6182361;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,6348041;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,6512195;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,6671811;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,6841666;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,7005768;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,7167729;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,7335154;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,7670212;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,7852238;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,8013481;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,818449;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,8346177;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,8514485;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,8672554;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,8834391;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,9169531;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,934436;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,9507589;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,9686691;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
0,9847826;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,003755;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,337088;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,367169;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,383855;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,400647;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,417619;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,43372;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,467518;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,484392;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,50201;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,518927;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,535203;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,551569;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,586509;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,602133;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,620159;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,635289;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,66903;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,685559;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,701139;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,719038;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,735634;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,752668;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,785576;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,801851;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,820412;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,852975;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,888802;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,921342;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,936699;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,952765;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,970513;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
1,986643;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
2,003005;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
2,037694;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
2,088134;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
2,10435;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
2,137943;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
2,170344;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
2,186886;6,056878;1,334841;4,096975;3,502184;263,5427;22,92669;0;0;0;0
