Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;0;-1;-1;0
0,3333333;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,3835327;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,4102928;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,4240039;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,4406148;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,4578809;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,4744048;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,4914707;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,5066927;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,5245202;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,540155;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,5573703;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,5740711;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,5906999;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,6077268;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,6255251;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,6419632;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,6569505;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,6746798;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,6910363;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,7073337;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,7241183;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,758195;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,774004;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,7908126;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,8082589;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,8235606;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,8418266;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,8571794;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,874303;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
0,891476;-6,021551;0,0564675;-5,846677;22,50443;77,1976;358,4531;0;1;0;-1;-1
