Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
0,0070473;5,032474;1,486709;4,384592;20,66448;245,0969;358,6164;-1;0;0
0,3403806;5,02242;1,487623;4,385488;20,48892;244,5154;358,4904;0,03028187;0,03028187;0,01009396
0,3672901;4,888376;1,507163;4,376686;14,99731;225,1604;357,3158;4,992004;0,4009137;0,1444263
0,3808101;4,882916;1,507645;4,375833;14,90942;224,4985;357,1288;0,40877;0,4011979;0,1499529
0,3930264;4,882916;1,507645;4,375833;14,90942;224,4985;357,1288;0;0,3884999;0,1499529
0,4024265;4,874121;1,507556;4,37426;14,48701;223,8642;357,0859;0,9505041;0,4018614;0,1588876
0,4142238;4,874121;1,507556;4,37426;14,48701;223,8642;357,0859;0;0,3902181;0,1588876
0,4247672;4,867993;1,507046;4,37318;14,69703;223,663;357,0732;0,5901511;0,3952645;0,1651098
0,4385076;4,867993;1,507046;4,37318;14,69703;223,663;357,0732;0;0,3826768;0,1651098
0,4523274;4,858539;1,506232;4,371747;15,28079;223,673;357,1087;0,6919313;0,3922749;0,1746722
0,4631475;4,855274;1,505844;4,371117;14,8895;223,6625;357,1045;0,3073008;0,390259;0,1779972
0,4748479;4,855274;1,505844;4,371117;14,8895;223,6625;357,1045;0;0,3804981;0,1779972
0,4949695;4,84857;1,504851;4,369938;15,64009;223,6069;356,8936;0,338282;0,3787571;0,184804
0,506799;4,841749;1,503746;4,368673;15,90564;223,9309;357,008;0,5864466;0,3836733;0,1917414
0,5182386;4,838402;1,503342;4,368137;15,66022;224,1141;357,0837;0,296259;0,3817171;0,1951305
0,5270289;4,838402;1,503342;4,368137;15,66022;224,1141;357,0837;0;0,3752641;0,1951305
0,5363221;4,831862;1,502738;4,367223;15,8045;224,4653;357,0817;0,7105694;0,3811516;0,2017339
0,5463966;4,831862;1,502738;4,367223;15,8045;224,4653;357,0817;0;0,374032;0,2017339
0,5582413;4,824842;1,50158;4,365842;15,65366;224,9316;357,1713;0,6040204;0,3789743;0,2088884
0,5666764;4,824842;1,50158;4,365842;15,65366;224,9316;357,1713;0;0,3732621;0,2088884
0,5754077;4,817886;1,500522;4,364537;16,3075;225,3312;357,087;0,8106496;0,3799814;0,2159664
0,5853362;4,817886;1,500522;4,364537;16,3075;225,3312;357,087;0;0,3734576;0,2159664
0,5973258;4,817886;1,500522;4,364537;16,3075;225,3312;357,087;0;0,365872;0,2159664
0,606999;4,807932;1,499559;4,362135;15,63009;225,9748;357,2698;1,058549;0,3770402;0,2262059
0,6192609;4,804689;1,499397;4,361275;15,34759;226,2247;357,3986;0,2735932;0,3749683;0,2295607
0,6297742;4,804689;1,499397;4,361275;15,34759;226,2247;357,3986;0;0,3686378;0,2295607
0,6422289;4,794555;1,498782;4,357885;15,11036;227,0787;357,8483;0,8580007;0,3782333;0,2402468
0,6519328;4,794555;1,498782;4,357885;15,11036;227,0787;357,8483;0;0,3725418;0,2402468
0,6638885;4,787943;1,498852;4,3552;14,63162;227,3145;357,9024;0,5969276;0,3766261;0,2473835
0,6761321;4,787943;1,498852;4,3552;14,63162;227,3145;357,9024;0;0,3697342;0,2473835
0,6866002;4,781333;1,498927;4,352174;14,87789;227,4295;357,8254;0,6943948;0,3747354;0,2546525
0,6957646;4,777953;1,498893;4,350571;14,39191;227,838;358,1949;0,4082994;0,375182;0,2583944
0,7047098;4,777953;1,498893;4,350571;14,39191;227,838;358,1949;0;0,3703716;0,2583944
0,7166165;4,777953;1,498893;4,350571;14,39191;227,838;358,1949;0;0,3641567;0,2583944
0,7268841;4,767769;1,498916;4,345078;13,79265;228,0384;358,2209;1,126843;0,3750355;0,2699643
0,7357382;4,76419;1,498701;4,343054;13,70941;228,1499;358,2979;0,4644774;0,3761222;0,2740768
0,745905;4,76419;1,498701;4,343054;13,70941;228,1499;358,2979;0;0,3709467;0,2740768
0,7573873;4,756642;1,498177;4,338486;14,07586;228,6378;358,6586;0,7683623;0,3770283;0,2828994
0,7679508;4,756642;1,498177;4,338486;14,07586;228,6378;358,6586;0;0,371794;0,2828994
0,7790318;4,7499;1,498801;4,333695;13,05888;228,5097;358,7168;0,7463962;0,377171;0,2911702
0,7896768;4,7499;1,498801;4,333695;13,05888;228,5097;358,7168;0;0,3720409;0,2911702
0,8020375;4,739005;1,499148;4,325217;13,00014;228,3021;358,8197;1,116846;0,3836214;0,3049752
0,8135978;4,739005;1,499148;4,325217;13,00014;228,3021;358,8197;0;0,3781229;0,3049752
0,8226522;4,731492;1,499542;4,318989;13,11174;228,092;358,8208;1,077783;0,3858902;0,3147339
0,8312072;4,731492;1,499542;4,318989;13,11174;228,092;358,8208;0;0,3818845;0,3147339
0,8431352;4,723569;1,500129;4,312585;13,24731;228,0591;358,8625;0,8540854;0,3886212;0,3249215
0,8530324;4,723569;1,500129;4,312585;13,24731;228,0591;358,8625;0;0,3840747;0,3249215
0,8627098;4,715715;1,501509;4,306351;12,84331;228,1792;359,0902;1,036103;0,391449;0,3349482
0,8721119;4,715715;1,501509;4,306351;12,84331;228,1792;359,0902;0;0,3871945;0,3349482
0,8853803;4,707399;1,502889;4,299806;13,22627;228,3492;359,2834;0,7976175;0,3933945;0,3455313
0,8944508;4,707399;1,502889;4,299806;13,22627;228,3492;359,2834;0;0,3893734;0,3455313
0,905441;4,699056;1,504414;4,293232;13,25935;228,6086;359,6313;0,9664446;0,3964328;0,3561528
0,914852;4,699056;1,504414;4,293232;13,25935;228,6086;359,6313;0;0,3923231;0,3561528
0,9265006;4,690868;1,506165;4,286805;13,12128;228,7838;359,9151;0,8936191;0,3986741;0,3665622
0,936843;4,686659;1,506903;4,28352;12,96415;228,8236;359,9913;0,5162376;0,3999818;0,3719014
0,9463781;4,686659;1,506903;4,28352;12,96415;228,8236;359,9913;0;0,3959216;0,3719014
0,9597038;4,678598;1,508543;4,277317;12,44268;228,7322;0,02856762;0,7633013;0,4010605;0,3820729
0,9743352;4,678598;1,508543;4,277317;12,44268;228,7322;0,02856762;0;0,394994;0,3820729
0,9883018;4,666068;1,509791;4,267819;12,94025;228,8025;0,1476049;1,12578;0,4053955;0,3977962
0,9973072;4,661854;1,509919;4,264661;13,08644;228,7567;0,1203386;0,5847478;0,4070266;0,4030621
1,007003;4,661854;1,509919;4,264661;13,08644;228,7567;0,1203386;0;0,4030801;0,4030621
1,024344;4,653958;1,510531;4,258702;12,95924;228,7308;0,2158786;0,5704444;0,4059331;0,4129543
1,033371;4,653958;1,510531;4,258702;12,95924;228,7308;0,2158786;0;0,4023627;0,4129543
1,046526;4,642017;1,510637;4,24977;13,02183;228,5294;0,124272;1,133536;0,4116158;0,4278657
1,063892;4,637983;1,510308;4,246787;13,23089;228,564;0,2009341;0,2889169;0,4095995;0,4328833
1,073104;4,637983;1,510308;4,246787;13,23089;228,564;0,2009341;0;0,4060603;0,4328833
1,087662;4,626792;1,509513;4,237852;13,45123;228,0055;0,0189226;0,9836628;0,4138416;0,4472032
1,101093;4,623181;1,509216;4,23483;13,46044;227,8136;0,04233705;0,3505737;0,4130649;0,4519118
1,111397;4,623181;1,509216;4,23483;13,46044;227,8136;0,04233705;0;0,4092107;0,4519118
1,124721;4,613505;1,508399;4,226761;15,37486;226,4055;359,5477;0,9456527;0,4156055;0,4645111
1,136302;4,613505;1,508399;4,226761;15,37486;226,4055;359,5477;0;0,411343;0,4645111
1,146515;4,606698;1,50784;4,220728;15,84568;225,6914;359,3436;0,8906427;0,415639;0,4736074
1,156329;4,603321;1,507764;4,217829;16,10757;225,3752;359,3031;0,4534393;0,4159618;0,4780574
1,167018;4,603321;1,507764;4,217829;16,10757;225,3752;359,3031;0;0,4121287;0,4780574
1,18171;4,597522;1,507932;4,21227;15,68104;224,3163;359,3768;0,5468094;0,4138132;0,486091
1,19017;4,597522;1,507932;4,21227;15,68104;224,3163;359,3768;0;0,4108544;0,486091
1,200331;4,586453;1,507626;4,203882;16,55353;224,0558;358,9983;1,366757;0,4189941;0,4999787
1,211274;4,586453;1,507626;4,203882;16,55353;224,0558;358,9983;0;0,4151867;0,4999787
1,221525;4,579438;1,507764;4,198419;16,3148;223,7462;359,0175;0,8672778;0,419003;0,5088699
1,230562;4,579438;1,507764;4,198419;16,3148;223,7462;359,0175;0;0,4159083;0,5088699
1,239676;4,572504;1,507091;4,193232;17,29162;223,3413;358,7733;0,9501963;0,4198589;0,5175302
1,25036;4,572504;1,507091;4,193232;17,29162;223,3413;358,7733;0;0,4162509;0,5175302
1,26071;4,565176;1,506679;4,187918;17,46033;223,0299;358,6491;0,8745286;0,4200343;0,5265815
1,272117;4,565176;1,506679;4,187918;17,46033;223,0299;358,6491;0;0,4162471;0,5265815
1,285327;4,558012;1,506407;4,182992;17,18012;222,9556;358,6812;0,6581054;0,4187466;0,5352751
1,299927;4,558012;1,506407;4,182992;17,18012;222,9556;358,6812;0;0,4140178;0,5352751
1,311621;4,546663;1,505006;4,175271;18,3014;222,8514;358,4991;1,1738;0,4208286;0,5490019
1,326566;4,542634;1,504499;4,172585;17,81135;222,9642;358,5857;0,3240205;0,4197321;0,5538444
1,341474;4,538919;1,504303;4,170166;17,66079;223,0167;358,6132;0,2973581;0,4183649;0,5582774
1,353599;4,538919;1,504303;4,170166;17,66079;223,0167;358,6132;0;0,4145977;0,5582774
1,366683;4,527299;1,503333;4,162704;17,69652;223,2153;358,6824;1,055419;0,4207644;0,5720866
1,384341;4,523381;1,502873;4,160229;18,35774;223,0553;358,438;0,2625022;0,4187354;0,5767218
1,396179;4,523381;1,502873;4,160229;18,35774;223,0553;358,438;0;0,415167;0,5767218
1,407003;4,51135;1,502176;4,152965;17,88869;223,5268;358,6079;1,298491;0,421996;0,5907755
1,422777;4,50739;1,501995;4,150609;18,15045;223,5;358,5035;0,29208;0,4205485;0,5953829
1,436698;4,50739;1,501995;4,150609;18,15045;223,5;358,5035;0;0,4164535;0,5953829
1,451347;4,495079;1,501183;4,14347;17,44607;223,9212;358,5896;0,9714732;0,422083;0,6096144
1,475192;4,486702;1,500089;4,138588;17,69037;224,0845;358,5527;0,4065898;0,4218313;0,6193095
1,488061;4,478483;1,499409;4,133911;17,40558;224,2549;358,5485;0,7348708;0,4245515;0,6287666
1,507712;4,474331;1,498931;4,131585;17,47973;224,3552;358,5876;0,2421839;0,4221634;0,6335258
1,52007;4,465898;1,497815;4,126915;17,41591;224,6023;358,6965;0,7800838;0,4250868;0,6431661
1,529942;4,465898;1,497815;4,126915;17,41591;224,6023;358,6965;0;0,4223315;0,6431661
1,545338;4,453264;1,496293;4,120144;17,50875;224,7144;358,6563;0,9309634;0,4274222;0,6574996
1,555352;4,453264;1,496293;4,120144;17,50875;224,7144;358,6563;0;0,4246577;0,6574996
1,566965;4,444788;1,495506;4,115735;17,6466;224,7635;358,6366;0,8227089;0,4276211;0,6670539
1,58072;4,440533;1,495351;4,113535;17,43634;224,9023;358,7292;0,3482245;0,4269271;0,6718436
1,592282;4,440533;1,495351;4,113535;17,43634;224,9023;358,7292;0;0,4238133;0,6718436
1,602548;4,427276;1,495991;4,106467;16,89903;225,0404;358,8817;1,463449;0,4305024;0,686867
1,612551;4,427276;1,495991;4,106467;16,89903;225,0404;358,8817;0;0,4278203;0,686867
1,622552;4,418209;1,496786;4,101652;16,9287;225,042;358,8332;1,026459;0,4315265;0,6971333
1,631909;4,418209;1,496786;4,101652;16,9287;225,042;358,8332;0;0,4290417;0,6971333
1,641401;4,408954;1,497772;4,09676;16,76764;225,0823;358,8788;1,102875;0,4329553;0,707602
1,651891;4,408954;1,497772;4,09676;16,76764;225,0823;358,8788;0;0,4301939;0,707602
1,663358;4,399419;1,498932;4,091571;15,99766;225,3657;359,143;0,9466431;0,4337693;0,7184569
1,671394;4,399419;1,498932;4,091571;15,99766;225,3657;359,143;0;0,4316749;0,7184569
1,682423;4,390135;1,500432;4,086362;16,00378;225,3631;359,1242;0,9652264;0,4351873;0,7291024
1,692928;4,390135;1,500432;4,086362;16,00378;225,3631;359,1242;0;0,4324756;0,7291024
1,702791;4,380803;1,501943;4,080988;15,98372;225,2443;359,05;1,091964;0,4363112;0,7398719
1,711771;4,380803;1,501943;4,080988;15,98372;225,2443;359,05;0;0,4340127;0,7398719
1,721274;4,371306;1,503524;4,075452;15,97425;225,3654;359,1953;1,156784;0,4380194;0,7508644
1,734454;4,371306;1,503524;4,075452;15,97425;225,3654;359,1953;0;0,4346774;0,7508644
1,750956;4,361773;1,505147;4,069823;15,69495;225,6399;359,4062;0,6709015;0,4369127;0,7619357
1,76023;4,352563;1,506664;4,064274;16,23934;225,5552;359,3009;1,159309;0,4407341;0,7726874
1,770209;4,352563;1,506664;4,064274;16,23934;225,5552;359,3009;0;0,4382398;0,7726874
1,780609;4,343707;1,50826;4,058813;15,95428;225,5542;359,3411;1,000455;0,4415366;0,7830923
1,78973;4,343707;1,50826;4,058813;15,95428;225,5542;359,3411;0;0,4392775;0,7830923
1,799984;4,335007;1,509378;4,053432;15,93231;225,6807;359,525;0,9975343;0,4424704;0,7933216
1,811401;4,335007;1,509378;4,053432;15,93231;225,6807;359,525;0;0,4396708;0,7933216
1,82361;4,32661;1,51007;4,048178;15,85898;225,7173;359,6348;0,8113183;0,4421686;0,8032269
1,833716;4,32661;1,51007;4,048178;15,85898;225,7173;359,6348;0;0,4397223;0,8032269
1,842907;4,318486;1,510429;4,043093;15,89125;225,7859;359,6971;1,042712;0,4427414;0,8128112
1,852687;4,318486;1,510429;4,043093;15,89125;225,7859;359,6971;0;0,4403954;0,8128112
1,86887;4,310507;1,510529;4,037971;16,09992;225,923;359,7817;0,5859039;0,4416601;0,8222927
1,879242;4,302723;1,509787;4,032579;17,64357;225,6608;359,511;0,9128993;0,4442707;0,8317612
1,889075;4,302723;1,509787;4,032579;17,64357;225,6608;359,511;0;0,4419495;0,8317612
1,902636;4,295198;1,509443;4,027263;17,64267;225,7024;359,5041;0,6794125;0,4436484;0,840975
1,915334;4,295198;1,509443;4,027263;17,64267;225,7024;359,5041;0;0,4406964;0,840975
1,92455;4,287491;1,508841;4,021566;17,40405;226,3683;359,9939;1,039935;0,4435765;0,8505591
1,934742;4,287491;1,508841;4,021566;17,40405;226,3683;359,9939;0;0,4412311;0,8505591
1,948814;4,280435;1,508625;4,016081;17,41271;226,4709;0,106514;0,6351345;0,4426363;0,8594964
1,957506;4,27699;1,508499;4,013287;17,61153;226,5164;0,09881066;0,510268;0,4429377;0,8639315
1,966791;4,27699;1,508499;4,013287;17,61153;226,5164;0,09881066;0;0,4408391;0,8639315
1,979204;4,271252;1,508499;4,008018;17,99137;225,6472;359,9604;0,6275937;0,4420145;0,8717219
1,99043;4,271252;1,508499;4,008018;17,99137;225,6472;359,9604;0;0,4395127;0,8717219
2,003122;4,260505;1,508192;3,998909;18,07565;226,7965;0,2161509;1,110062;0,4437762;0,8858103
2,01343;4,260505;1,508192;3,998909;18,07565;226,7965;0,2161509;0;0,4414963;0,8858103
2,027066;4,25434;1,508285;3,99304;18,2048;227,0052;0,3266917;0,624201;0,4427296;0,8943219
2,042109;4,251317;1,508313;3,989995;18,23726;227,083;0,3375386;0,2852562;0,4415655;0,8986132
2,055286;4,251317;1,508313;3,989995;18,23726;227,083;0,3375386;0;0,4387248;0,8986132
2,070132;4,242522;1,508252;3,980679;18,06311;227,2708;0,5128006;0,8629966;0,4417778;0,9114249
2,08251;4,236957;1,508072;3,974158;18,15198;227,4632;0,7168587;0,6925266;0,4432733;0,9199975
2,092821;4,236957;1,508072;3,974158;18,15198;227,4632;0,7168587;0;0,4410821;0,9199975
2,10298;4,231571;1,507698;3,967414;18,06811;227,4979;0,8560322;0,8494798;0,4430616;0,9286276
2,113376;4,231571;1,507698;3,967414;18,06811;227,4979;0,8560322;0;0,4408749;0,9286276
2,124692;4,226348;1,507271;3,960446;17,95886;227,4875;0,9403701;0,7695595;0,4426313;0,9373359
2,134986;4,226348;1,507271;3,960446;17,95886;227,4875;0,9403701;0;0,4404902;0,9373359
2,147368;4,221156;1,506768;3,95327;17,89815;227,5208;1,062249;0,715354;0,4420803;0,9461936
2,156328;4,218616;1,506362;3,949605;17,9167;227,4932;1,049108;0,4976004;0,4423118;0,9506521
2,166134;4,218616;1,506362;3,949605;17,9167;227,4932;1,049108;0;0,4403029;0,9506521
2,176034;4,213616;1,505579;3,942153;17,62696;227,4613;1,133446;0,9064795;0,4424308;0,9596266
2,187809;4,213616;1,505579;3,942153;17,62696;227,4613;1,133446;0;0,440042;0,9596266
2,199064;4,208756;1,504511;3,934411;17,50074;227,3767;1,150823;0,8122033;0,4419529;0,9687679
2,212049;4,208756;1,504511;3,934411;17,50074;227,3767;1,150823;0;0,4393502;0,9687679
2,223025;4,201984;1,502596;3,922503;17,61254;227,2006;1,064679;1,248039;0,4433558;0,9824665
2,233061;4,201984;1,502596;3,922503;17,61254;227,2006;1,064679;0;0,4413569;0,9824665
2,242473;4,197679;1,501259;3,914227;17,66136;227,1088;1,025748;0,9911656;0,4436718;0,9917952
2,252406;4,197679;1,501259;3,914227;17,66136;227,1088;1,025748;0;0,4417091;0,9917952
2,263938;4,193546;1,499918;3,905673;17,47353;227,0029;0,9726077;0,8237211;0,4436612;1,001295
2,273338;4,193546;1,499918;3,905673;17,47353;227,0029;0,9726077;0;0,4418211;1,001295
2,284319;4,189664;1,498386;3,896853;17,46121;226,9305;0,9220929;0,877615;0,4439225;1,010932
2,292904;4,189664;1,498386;3,896853;17,46121;226,9305;0,9220929;0;0,4422552;1,010932
2,302518;4,185966;1,497395;3,887841;16,09186;227,117;1,123693;1,013275;0,4446467;1,020674
2,313448;4,185966;1,497395;3,887841;16,09186;227,117;1,123693;0;0,4425395;1,020674
2,322583;4,182338;1,495864;3,878188;15,91799;226,9991;0,9773633;1,128806;0,4452468;1,030985
2,333119;4,182338;1,495864;3,878188;15,91799;226,9991;0,9773633;0;0,4432301;1,030985
2,342474;4,17891;1,494752;3,868349;15,97356;227,029;0,9302898;1,113697;0,445916;1,041404
2,35497;4,17891;1,494752;3,868349;15,97356;227,029;0,9302898;0;0,4435429;1,041404
2,368348;4,175547;1,494427;3,858036;15,43097;227,0072;0,7889318;0,8108436;0,4456239;1,052252
2,379226;4,173854;1,494361;3,852658;15,52075;227,0168;0,7466665;0,5182821;0,4459571;1,05789
2,390288;4,173854;1,494361;3,852658;15,52075;227,0168;0,7466665;0;0,4438871;1,05789
2,401402;4,168953;1,495813;3,835822;15,04132;227,1077;0,6361809;1,577809;0,4491503;1,075425
2,411863;4,168953;1,495813;3,835822;15,04132;227,1077;0,6361809;0;0,4471965;1,075425
2,421707;4,16567;1,49743;3,823792;14,70768;227,1332;0,5812116;1,266661;0,4505374;1,087895
