Areas
Area;Time spent in Area (s)
(4,5);3,677663
(3,5);4,093923
(3,4);2,900558
(2,3);12,0959
(1,3);4,606842
(1,2);5,692608
(1,1);8,840111
(2,1);6,119339
(3,1);2,312607


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;0,7602524;1,403397;0,643145;0,6212557
Left;1,524068;2,248107;0,7240392;0,9486207
Right;2,18039;2,911194;0,7308044;1,155255
Left;2,821892;3,677663;0,8557713;1,09673
Right;3,439039;4,229491;0,790452;0,8751123
Left;4,162687;4,844078;0,6813903;0,7561462
Right;4,870499;5,623194;0,7526951;0,8036443
Left;5,724939;6,479047;0,7541075;0,7436295
Right;6,567037;7,312522;0,7454853;0,7517771
Left;8,02602;8,819747;0,7937269;0,8553138
Right;8,78343;9,5073;0,7238703;1,018487
Left;9,549175;10,307;0,7578249;0,9001796
Right;10,307;11,182;0,8749933;0,9395254
Left;11,1074;11,93632;0,8289108;0,95406
Right;11,92609;12,62237;0,6962814;0,8907146
Left;12,67949;13,3781;0,6986141;0,812255
Right;13,48528;14,28347;0,7981901;0,7797965
Left;14,34599;14,89057;0,5445766;0,5467054
Right;16,39388;16,82506;0,4311752;0,1403775
Left;19,77097;20,44217;0,6712017;0,5786176
Right;20,67087;21,1292;0,458334;0,490289
Right;23,46062;24,11216;0,6515312;0,5937691
Left;24,19331;24,90148;0,7081699;1,04988
Right;24,90148;25,60427;0,7027836;0,807498
Left;25,65039;26,4959;0,8455009;0,8586531
Right;26,50834;27,22037;0,7120323;0,8085451
Left;27,37004;28,08228;0,7122421;0,6791692
Right;28,07086;28,83101;0,7601471;0,8626263
Left;28,84284;29,51433;0,671484;0,7705804
Right;29,5915;30,18013;0,588625;0,6802046
Left;30,27143;30,94217;0,6707401;0,6083472
Right;31,18898;32,02003;0,8310547;0,7745327
Left;32,07294;32,6866;0,6136551;0,6468126
Right;33,15492;33,76204;0,6071243;0,6362426
Left;33,86419;34,65654;0,792347;0,8661684
Right;34,66926;35,61647;0,9472084;0,7978877
Left;35,75266;36,43413;0,6814728;0,730312
Right;36,469;37,22496;0,7559586;0,7494783
Left;37,51085;38,37542;0,8645782;0,7600468
Right;38,42558;38,9665;0,5409279;0,5445859
Right;45,05334;45,7234;0,6700554;0,4814091
Left;45,89296;46,63426;0,7413025;0,7709202
Right;46,66064;47,43188;0,7712364;0,7760414
Left;47,5921;48,45005;0,8579521;0,7133771
Right;48,5294;49,32853;0,7991371;0,8893584
Left;49,36937;50,20495;0,8355751;0,9791272
Right;50,18047;50,96269;0,7822266;0,7653806
Left;51,24841;51,89481;0,6464005;0,6113659
Right;52,59528;52,82825;0,2329674;0,5559824
Left;53,40312;53,99264;0,5895157;0,4729478
Right;54,14778;54,61679;0,4690132;0,2200226
Left;55,68476;56,19367;0,5089111;0,3287096


Landmarks
Area;Time spent looking at landmarks (s)
(4,5);0
(3,5);1,579999
(3,4);0
(2,3);1,539999
(1,3);1,02
(1,2);0,28
(1,1);4,379997
(2,1);1,439999


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
2,744041;(2,3);1,02
2,122494;(2,3);0
5,875797;(1,1);3,559997


