Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s)
0,0070219;-5,546143;0,05086562;-5,783693;0,7825931;289,8182;0,1785311;0;0;0;-1;-1
0,3403552;-5,546182;0,0508403;-5,783658;0,7509556;289,8057;0,1634501;0;0,0001569461;0;-1;-1
0,4001901;-5,544247;0,05304582;-5,783118;357,8155;291,6324;359,5274;0;0,00524286;0;-1;-1
0,4161385;-5,5416;0,05731694;-5,781049;353,4136;294,1883;357,7942;0;0,0132487;0;-1;-1
0,4620324;-5,540307;0,05913975;-5,780211;351,6727;295,0094;357,199;0;0,01529969;0;-1;-1
0,4749816;-5,53737;0,06309178;-5,778737;348,0413;296,7111;355,3962;0;0,02189863;0;-1;-1
0,4870718;-5,536479;0,06420308;-5,778477;347,136;297,0772;354,4687;0;0,02327929;0;-1;-1
0,4980959;-5,534542;0,06649412;-5,777648;345,0008;297,8171;353,1393;0;0,02704769;0;-1;-1
0,5435148;-5,534542;0,06649412;-5,777648;345,0008;297,8171;353,1393;0;0,02475786;0;-1;-1
0,5532234;-5,534542;0,06649412;-5,777648;345,0008;297,8171;353,1393;0;0,0243178;0;-1;-1
0,563363;-5,534542;0,06649412;-5,777648;345,0008;297,8171;353,1393;0;0,02387459;0;-1;-1
0,5869284;-5,534542;0,06649412;-5,777648;345,0008;297,8171;353,1393;0;0,02290441;0;-1;-1
0,5963832;-5,534542;0,06649412;-5,777648;345,0008;297,8171;353,1393;0;0,02253697;0;-1;-1
0,6093041;-5,534542;0,06649412;-5,777648;345,0008;297,8171;353,1393;0;0,02205348;0;-1;-1
0,6190073;-5,506627;0,08943883;-5,765882;331,5678;308,8364;336,954;0;0,0712049;0;-1;-1
0,6282505;-5,506627;0,08943883;-5,765882;331,5678;308,8364;336,954;0;0,07014545;0;-1;-1
0,6651653;-5,496936;0,09371635;-5,761206;330,6798;311,6293;333,5186;0;0,08255953;0;-1;-1
0,6787919;-5,475181;0,09817357;-5,75147;331,4745;313,6174;331,8392;0;0,1163652;0;-1;-1
0,688789;-5,455497;0,09924901;-5,743697;332,6414;313,2985;333,009;0;0,1456993;0;-1;-1
0,6980385;-5,444676;0,09882022;-5,739527;333,3983;313,0792;333,6288;0,1008214;0,1605316;0;-1;-1
0,7479902;-5,444676;0,09882022;-5,739527;333,3983;313,0792;333,6288;0,006794932;0,1497095;0;-1;-1
0,7602524;-5,365976;0,08707782;-5,71388;339,356;312,2935;339,0114;1,028723;0,2571634;0;-1;-1
0,7709813;-5,365976;0,08707782;-5,71388;339,356;312,2935;339,0114;0,008142473;0,2535518;1;7,911174;-1,760252
0,7811301;-5,335074;0,08161923;-5,705884;342,1131;311,9284;341,3825;0,5250666;0,2914621;1;7,911174;-1,760252
0,7902142;-5,335074;0,08161923;-5,705884;342,1131;311,9284;341,3825;0,0210962;0,2880815;1;7,911174;-1,760252
0,8005608;-5,301996;0,07655405;-5,698228;345,2633;311,2865;342,8677;0,5620536;0,3271112;1;7,911174;-1,760252
0,8136842;-5,301996;0,07655405;-5,698228;345,2633;311,2865;342,8677;0;0,3217896;1;7,911174;-1,760252
0,8238639;-5,268737;0,07144815;-5,691331;348,351;310,7104;345,2267;0,6682809;0,3593621;1;7,911174;-1,760252
0,838018;-5,268737;0,07144815;-5,691331;348,351;310,7104;345,2267;0;0,3532412;1;7,911174;-1,760252
0,8517378;-5,216146;0,0656221;-5,683068;353,1007;310,4674;349,5627;0,7521205;0,4105274;1;7,911174;-1,760252
