Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;0;0;0;0;0;0;0;0;-1;-1;0
0,3333333;0;0;0;0;0;0;0;0;-1;-1;0
0,3704246;0;0;0;0;0;0;0;0;-1;-1;0
0,3923998;0;0;0;0;0;0;0;0;-1;-1;0
0,4071321;0;0;0;0;0;0;0;0;-1;-1;0
0,4238347;0;0;0;0;0;0;0;0;-1;-1;0
0,4405876;0;0;0;0;0;0;0;0;-1;-1;0
0,4568673;0;0;0;0;0;0;0;0;-1;-1;0
0,4736863;0;0;0;0;0;0;0;0;-1;-1;0
0,4911435;0;0;0;0;0;0;0;0;-1;-1;0
0,5076153;0;0;0;0;0;0;0;0;-1;-1;0
0,5237685;0;0;0;0;0;0;0;0;-1;-1;0
0,5397569;0;0;0;0;0;0;0;0;-1;-1;0
0,5568988;0;0;0;0;0;0;0;0;-1;-1;0
0,5750448;0;0;0;0;0;0;0;0;-1;-1;0
0,5902618;0;0;0;0;0;0;0;0;-1;-1;0
0,607228;0;0;0;0;0;0;0;0;-1;-1;0
0,623557;0;0;0;0;0;0;0;0;-1;-1;0
0,640505;0;0;0;0;0;0;0;0;-1;-1;0
0,6583111;0;0;0;0;0;0;0;0;-1;-1;0
0,6905015;0;0;0;0;0;0;0;0;-1;-1;0
0,7074236;0;0;0;0;0;0;0;0;-1;-1;0
0,7235011;0;0;0;0;0;0;0;0;-1;-1;0
0,7407339;0;0;0;0;0;0;0;0;-1;-1;0
0,7567465;0;0;0;0;0;0;0;0;-1;-1;0
0,7740335;0;0;0;0;0;0;0;0;-1;-1;0
0,7903041;0;0;0;0;0;0;0;0;-1;-1;0
0,8075106;0;0;0;0;0;0;0;0;-1;-1;0
0,8236257;0;0;0;0;0;0;0;0;-1;-1;0
0,8578542;0;0;0;0;0;0;0;0;-1;-1;0
0,8735471;0;0;0;0;0;0;0;0;-1;-1;0
0,8906906;0;0;0;0;0;0;0;0;-1;-1;0
0,9240156;0;0;0;0;0;0;0;0;-1;-1;0
0,9571617;0;0;0;0;0;0;0;0;-1;-1;0
0,9906257;0;0;0;0;0;0;0;0;-1;-1;0
1,007767;0;0;0;0;0;0;0;0;-1;-1;0
1,023849;0;0;0;0;0;0;0;0;-1;-1;0
1,040694;0;0;0;0;0;0;0;0;-1;-1;0
1,057965;0;0;0;0;0;0;0;0;-1;-1;0
1,074041;0;0;0;0;0;0;0;0;-1;-1;0
1,091064;0;0;0;0;0;0;0;0;-1;-1;0
1,116726;0;0;0;0;0;0;0;0;-1;-1;0
1,140693;0;0;0;0;0;0;0;0;-1;-1;0
1,174646;0;0;0;0;0;0;0;0;-1;-1;0
1,19056;0;0;0;0;0;0;0;0;-1;-1;0
1,209585;0;0;0;0;0;0;0;0;-1;-1;0
1,22417;0;0;0;0;0;0;0;0;-1;-1;0
1,240749;0;0;0;0;0;0;0;0;-1;-1;0
1,258928;0;0;0;0;0;0;0;0;-1;-1;0
1,27455;0;0;0;0;0;0;0;0;-1;-1;0
1,291223;0;0;0;0;0;0;0;0;-1;-1;0
1,307949;0;0;0;0;0;0;0;0;-1;-1;0
1,324048;0;0;0;0;0;0;0;0;-1;-1;0
1,341531;0;0;0;0;0;0;0;0;-1;-1;0
1,35729;0;0;0;0;0;0;0;0;-1;-1;0
1,374927;0;0;0;0;0;0;0;0;-1;-1;0
1,391068;0;0;0;0;0;0;0;0;-1;-1;0
1,408004;0;0;0;0;0;0;0;0;-1;-1;0
1,424764;0;0;0;0;0;0;0;0;-1;-1;0
1,459578;0;0;0;0;0;0;0;0;-1;-1;0
1,491326;0;0;0;0;0;0;0;0;-1;-1;0
1,507787;0;0;0;0;0;0;0;0;-1;-1;0
1,524193;0;0;0;0;0;0;0;0;-1;-1;0
1,541455;0;0;0;0;0;0;0;0;-1;-1;0
1,557235;0;0;0;0;0;0;0;0;-1;-1;0
1,575001;0;0;0;0;0;0;0;0;-1;-1;0
1,591489;0;0;0;0;0;0;0;0;-1;-1;0
1,607914;0;0;0;0;0;0;0;0;-1;-1;0
1,626071;0;0;0;0;0;0;0;0;-1;-1;0
1,658665;0;0;0;0;0;0;0;0;-1;-1;0
1,676778;0;0;0;0;0;0;0;0;-1;-1;0
1,710182;0;0;0;0;0;0;0;0;-1;-1;0
1,725287;0;0;0;0;0;0;0;0;-1;-1;0
1,742519;0;0;0;0;0;0;0;0;-1;-1;0
