Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;-1;0;-1;0
0,3333333;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;-1;0
0,3764499;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,401141;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,4186404;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,4348291;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,4512816;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,4684137;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,4850419;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,5037627;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,5179572;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,5350491;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,5511187;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,5697204;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,6036717;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,6195067;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,6377047;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,653863;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,6694397;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,6854808;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,7024004;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,7199188;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,7367212;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,7534539;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,7705572;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,7861308;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,8042519;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,8224296;3,796527;1,527366;-8,215985;33,8032;346,6479;1,212594;0;0;0;0
0,8371118;3,795659;1,517765;-8,218007;30,36688;348,3606;359,1335;0,1498601;0,00262841;4,560584;0,002200273
0,8530775;3,795659;1,517765;-8,218007;30,36688;348,3606;359,1335;0;0,002579218;-4,88974;0,002200273
0,8706012;3,795659;1,517765;-8,218007;30,36688;348,3606;359,1335;0;0,002527303;0;0,002200273
0,886041;3,795659;1,517765;-8,218007;30,36688;348,3606;359,1335;0;0,002483263;0;0,002200273
0,902425;3,795659;1,517765;-8,218007;30,36688;348,3606;359,1335;0;0,002438178;0;0,002200273
0,9191002;3,795038;1,517022;-8,216284;30,62093;348,1895;358,9986;0,1098418;0,004386796;3,322582;0,004031905
0,9366305;3,795038;1,517022;-8,216284;30,62093;348,1895;358,9986;0;0,00430469;-3,211228;0,004031905
0,9523522;3,795038;1,517022;-8,216284;30,62093;348,1895;358,9986;0;0,004233628;0;0,004031905
0,9859568;3,795038;1,517022;-8,216284;30,62093;348,1895;358,9986;0;0,004089332;0;0,004031905
1,004952;3,795038;1,517022;-8,216284;30,62093;348,1895;358,9986;0;0,004012038;0;0,004031905
1,020631;3,795038;1,517022;-8,216284;30,62093;348,1895;358,9986;0;0,003950405;0;0,004031905
1,035835;3,794892;1,516946;-8,214258;30,5181;348,1704;359,2792;0,1335699;0,005853029;4,324969;0,006062774
1,053121;3,794886;1,516955;-8,214252;30,52509;348,1697;359,2822;0,0005086575;0,005765309;-4,095435;0,006071567
1,072292;3,794881;1,516971;-8,214237;30,53449;348,1674;359,2861;0,0007905493;0,005676365;0,007732159;0,006086723
1,104624;3,794882;1,516988;-8,214217;30,53804;348,1645;359,2884;0,0006201298;0,005528372;-0,003308911;0,006106773
