Areas
Area;Time spent in Area (s)
(1,1);6,686483
(1,2);13,38675
(1,1);7,079481
(1,2);18,22652
(1,3);22,69512
(2,3);23,19296
(3,3);15,41141
(3,2);19,76008
(4,2);14,81546
(4,3);18,54141
(4,4);23,24541


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;5,20394;5,730052;0,5261111;0,4120365
Left;11,62374;12,09922;0,4754839;0,3485873
Right;13,20452;13,8155;0,61098;0,5748653
Left;14,06661;14,70267;0,6360617;0,4770372
Left;21,94682;22,14981;0,2029896;0,4189422
Left;26,56643;27,11759;0,5511627;0,4595542
Right;28,00653;28,59589;0,5893574;0,8711191
Left;34,85822;35,68539;0,8271713;0,6093273
Left;37,47936;38,02531;0,5459442;0,4936007
Right;39,31796;39,97103;0,6530647;1,557393
Left;41,04334;41,56655;0,5232086;0,3656386
Right;42,83553;43,59917;0,7636337;0,4116922
Left;44,51899;44,95782;0,4388351;0,3655885
Left;49,50471;50,23762;0,7329102;0,4464571
Right;51,29878;52,03112;0,7323341;0,9113992
Left;52,84163;53,50626;0,6646271;0,5406338
Right;54,45996;55,12044;0,6604767;0,4574726
Left;56,11619;56,45825;0,3420601;0,4441036
Right;59,0423;59,77142;0,7291145;0,4558616
Left;60,83026;61,61924;0,7889786;0,6273127
Right;62,12442;62,48774;0,3633194;0,1893811
Left;63,56805;64,43967;0,871624;0,5857989
Right;65,38227;65,88467;0,5024033;0,3129489
Left;66,80751;67,41032;0,6028137;0,3679571
Left;70,16517;70,7653;0,6001282;0,3437463
Right;75,09955;75,63832;0,5387726;0,2221186
Left;76,88207;77,70593;0,8238602;0,5318015
Right;78,45718;79,05238;0,5952072;0,6062071
Left;79,84667;80,53183;0,6851578;0,5069294
Right;84,14744;84,51281;0,3653717;0,2542823
Left;86,5377;87,34013;0,8024292;0,4786294
Right;88,22165;88,98961;0,7679596;0,5243868
Left;89,7792;90,43411;0,6549149;0,484579
Left;94,29009;94,91759;0,6274948;0,4155879
Right;96,01742;96,42384;0,4064255;0,3664438
Left;98,97027;99,51452;0,5442505;0,4228739
Right;100,4664;101,1788;0,7123337;0,4646852
Left;102,3659;103,07;0,7041092;0,457231
Right;104,3781;105,2607;0,8826294;0,3943782
Left;106,2008;106,8993;0,6985168;0,4941543
Right;107,7655;108,5187;0,7531662;0,5828388
Left;109,6669;110,2066;0,539711;0,4792546
Right;111,6581;112,1913;0,5331955;0,3485674
Left;112,8976;113,4647;0,5670929;0,3225796
Right;114,8839;115,3624;0,4784927;0,3270805
Left;116,1178;116,8079;0,6901245;0,5263422
Left;118,9835;119,6972;0,7137299;0,4590613
Right;120,9254;121,4114;0,4860229;0,505967
Left;122,5096;123,0292;0,5195847;0,3977574
Right;124,6483;125,2524;0,6040878;0,2687329
Left;127,709;128,3293;0,6202698;0,3807067
Right;129,3906;130,0481;0,6574554;0,5700449
Left;131,2062;131,7616;0,5553436;0,2575485
Right;133,8535;134,3086;0,4551086;0,338344
Left;135,1409;135,6409;0,5000153;0,3457618
Right;136,4201;137,2277;0,8076172;0,4358202
Left;138,4203;139,0296;0,609314;0,3737366
Right;139,7082;140,2887;0,5805206;0,4360101
Left;141,4394;142,0254;0,5860291;0,4192511
Left;144,6313;145,1261;0,494873;0,4653762
Right;145,7159;146,5122;0,7963104;0,556932
Left;152,2421;152,5912;0,3491211;0,162813
Right;155,6598;156,4051;0,7453461;0,5050768
Left;157,2249;157,736;0,5111237;0,6553914
Right;159,2299;159,8971;0,6671753;0,4410526
Left;160,7098;161,1602;0,4503937;0,4180783
Right;162,1755;162,6205;0,4449463;0,4681516
Left;163,3465;163,8197;0,4732361;0,4112911
Left;166,0063;166,5641;0,557785;0,4597314
Right;167,1922;167,9085;0,7163239;0,8233238
Left;174,3097;174,9099;0,600235;0,7474015
Right;175,9924;176,4527;0,4602356;0,7254066
Left;177,1283;177,7887;0,6603546;0,4412715
Right;178,4434;179,2189;0,7754364;0,4478162
Left;180,2151;180,9393;0,7242279;0,4892435
Right;181,5745;182,5045;0,9300079;0,450907
Left;182,8254;183,5025;0,6771545;0,4174747
Right;185,0231;185,5731;0,5499573;0,5092264
Left;185,7432;186,3032;0,5599823;0,489205
Left;187,4149;187,9303;0,5153961;0,2210042
Right;197,01;197,4485;0,4384918;0,6045438
Left;197,6759;198,2311;0,5551453;0,7932858
Right;198,5891;199,3452;0,756134;0,5510263


Landmarks
Area;Time spent looking at landmarks (s)
(1,1);2,599998
(1,2);5,899995
(1,3);5,099996
(2,3);7,679994
(3,3);0,34
(3,2);9,700032
(4,2);1,759999
(4,3);5,179996


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
4,56758;(1,1);0
7,034513;(1,2);3,379997
4,209595;(1,2);0,42
6,046101;(1,1);1,839999
1,583347;(1,2);0,4400001
4,341736;(1,2);0
2,143547;(1,3);0
4,125755;(1,3);0
3,411652;(2,3);1,459999
1,813416;(2,3);0,8399997
2,323448;(2,3);0,8799997
2,096352;(2,3);1,459999
2,254929;(3,2);0,4400001
1,888992;(3,2);1,14
2,158661;(4,2);0,14
1,554031;(4,2);0
2,868484;(4,2);0
1,970718;(4,3);0,22
6,199631;(4,3);0
8,871307;(4,4);0


