Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;0;-1;-1;0
0,3333333;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,3693695;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,3973714;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,4141223;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,4310212;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,4476123;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,4641958;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,4814906;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,4984654;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,5167074;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,5315229;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,5480072;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,5649495;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,5808783;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,5976487;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,6142851;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,6310749;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,6474773;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,665056;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,6836392;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,7150401;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,7310611;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,7478004;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,764424;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,7810083;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,7980247;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,8160444;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,8345058;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,8487534;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,864618;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,8816199;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,898482;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,9148016;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,9314683;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,965199;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
0,9983282;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
1,017163;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
1,031804;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
1,047809;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
1,064822;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
1,081274;-6,54141;0,05641549;-0,9727405;337,7719;172,0547;193,0463;0;1;0;-1;-1
