Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;4,002885;1,585739;-8,500249;328,5468;0,7596923;351,9197;-1;0;-1;0
0,3333333;4,002885;1,585739;-8,500249;328,5468;0,7596923;351,9197;0;0;-1;0
0,3745387;4,002885;1,585739;-8,500249;328,5468;0,7596923;351,9197;0;0;0;0
0,4003344;4,014362;1,559684;-8,504538;330,3752;2,651038;352,7756;0,474967;0,03060468;7,088943;0,01225211
0,4166113;4,014362;1,559684;-8,504538;330,3752;2,651038;352,7756;0;0,02940897;-11,28925;0,01225211
0,4334843;4,014362;1,559684;-8,504538;330,3752;2,651038;352,7756;0;0,02826425;0;0,01225211
0,4499058;4,014362;1,559684;-8,504538;330,3752;2,651038;352,7756;0;0,02723261;0;0,01225211
0,4673977;4,014362;1,559684;-8,504538;330,3752;2,651038;352,7756;0;0,02621345;0;0,01225211
0,4839092;4,017016;1,556013;-8,505759;331,6043;3,64896;351,6755;0,1769508;0,0313568;5,203901;0,01517385
0,5029576;4,017043;1,556029;-8,505781;331,4605;3,707486;351,6544;0,001814154;0,03023794;-4,925106;0,0152084
0,5175993;4,017097;1,555987;-8,505792;331,4125;3,754599;351,6178;0,003749174;0,02948863;0,05743588;0,0152633
0,5349867;4,017097;1,555987;-8,505792;331,4125;3,754599;351,6178;0;0,02853023;-0,1170553;0,0152633
0,5519034;4,01723;1,555709;-8,505767;331,5716;3,739594;351,5989;0,007999704;0,02790094;0,2331998;0,01539863
0,5678682;4,017368;1,555235;-8,505715;331,8244;3,696445;351,6282;0,009214901;0,02737561;0,03695687;0,01554574
0,6008607;4,017447;1,554862;-8,505671;332,1388;3,630749;351,6642;0,002769726;0,02602454;-0,1316491;0,01563712
0,6173292;4,017635;1,554122;-8,505456;332,6833;3,483943;351,767;0,01731796;0,02579227;0,2941357;0,01592232
0,6339981;4,017665;1,553985;-8,505397;332,7087;3,477844;351,7764;0,003978754;0,02521876;-0,4025418;0,01598864
0,6518395;4,017776;1,55353;-8,505248;332,7499;3,472419;351,7895;0,0103754;0,02481248;0,1853548;0,01617375
0,6675286;4,017839;1,552849;-8,505023;333,1313;3,36942;351,8584;0,01491238;0,0245798;0,1353089;0,01640772
0,6834738;4,01785;1,552443;-8,504893;333,4681;3,271199;351,9127;0,008160655;0,02419674;-0,2134306;0,01653784
0,700421;4,017844;1,551807;-8,504672;333,7994;3,174341;351,9774;0,01305976;0,02392727;0,1489432;0,01675916
