Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;3,900274;1,519646;-8,636421;6,992547;12,44026;358,0793;-1;0;-1;0
0,3333333;3,900274;1,519646;-8,636421;6,992547;12,44026;358,0793;0;0;-1;0
0,365557;3,900274;1,519646;-8,636421;6,992547;12,44026;358,0793;0;0;0;0
0,3892496;3,869171;1,526006;-8,618819;4,468519;6,166647;359,7415;1,508403;0,09181256;26,97613;0,035738
0,4058174;3,868358;1,5262;-8,618673;4,397976;5,981443;359,7075;0,04989781;0,09010135;-36,22671;0,0365647
0,42245;3,868358;1,5262;-8,618673;4,397976;5,981443;359,7075;0;0,0865539;-1,502925;0,0365647
0,4559469;3,865894;1,526716;-8,618379;4,365902;5,832429;359,754;0,07406373;0,0856363;1,477449;0,03904561
0,4730436;3,863814;1,527046;-8,618085;4,341477;5,698574;359,8213;0,1228935;0,08698285;0,9651382;0,04114668
0,4901348;3,863814;1,527046;-8,618085;4,341477;5,698574;359,8213;0;0,08394971;-3,594649;0,04114668
0,5078498;3,858572;1,527256;-8,616905;4,251183;5,017995;0,05168089;0,3032762;0,09160031;8,713298;0,04651919
0,539345;3,857566;1,527254;-8,616648;4,242194;4,86035;0,1052842;0,03297489;0,08817685;-5,492791;0,04755775
0,5557995;3,853769;1,52715;-8,615582;4,231812;4,152603;0,3222929;0,2396838;0,09266223;4,310945;0,05150162
0,5725091;3,853769;1,52715;-8,615582;4,231812;4,152603;0,3222929;0;0,08995774;-7,227222;0,05150162
0,5890685;3,85113;1,526964;-8,614697;4,216867;3,481275;0,424418;0,1680825;0,09215392;5,052236;0,05428497
0,6057777;3,849375;1,526912;-8,614162;4,220911;3,093944;0,5024734;0,1098419;0,09264182;-1,750615;0,05612034
0,6223867;3,849375;1,526912;-8,614162;4,220911;3,093944;0,5024734;0;0,09016957;-3,296752;0,05612034
0,639214;3,846933;1,526917;-8,613433;4,188727;2,562594;0,5994074;0,1514121;0,09178178;4,528374;0,0586682
0,6572717;3,846173;1,52693;-8,613204;4,181924;2,401071;0,6208269;0,04397129;0,09046824;-3,079857;0,05946222
0,6755621;3,844629;1,526962;-8,612708;4,196267;2,07394;0,6495683;0,08867554;0,09041971;1,229892;0,06108413
0,6891567;3,844629;1,526962;-8,612708;4,196267;2,07394;0,6495683;0;0,08863605;-2,781103;0,06108413
0,7059076;3,842213;1,526693;-8,612521;3,862736;1,679233;0,6806047;0,1446703;0,08996572;4,767438;0,06350748
0,7396253;3,841138;1,526793;-8,612094;3,842655;1,494524;0,6887736;0,03430235;0,08742817;-2,186865;0,06466408
0,7560009;3,839607;1,527009;-8,611423;3,826071;1,299309;0,693063;0,102081;0,08774555;1,353048;0,06633572
0,7725991;3,8386;1,527218;-8,611004;3,813641;1,208145;0,6951119;0,06569479;0,08727182;-1,103487;0,06742613
0,789334;3,8386;1,527218;-8,611004;3,813641;1,208145;0,6951119;0;0,08542155;-1,970856;0,06742613
0,8060423;3,836349;1,527648;-8,610122;3,774818;1,054735;0,6766159;0,1447076;0,08665048;4,326965;0,06984395
0,8400305;3,835664;1,527793;-8,609884;3,769025;1,034071;0,6788288;0,02134334;0,0840081;-2,433389;0,07056937
0,8583976;3,832712;1,528392;-8,608928;3,739574;0,9661606;0,6881452;0,1689171;0,0858249;2,818698;0,07367188
0,8902067;3,831921;1,528547;-8,608694;3,73146;0,9533536;0,6916423;0,02594586;0,08368529;-2,849383;0,0744972
0,9227357;3,829505;1,528871;-8,607947;3,693975;0,900263;0,6933361;0,07772174;0,08347505;0,8047471;0,07702541
0,9560247;3,825735;1,529215;-8,606895;3,687691;0,8627212;0,7175696;0,1175727;0,08466235;0,6054719;0,08093929
0,9732169;3,822236;1,529014;-8,606441;3,661354;0,8490059;0,75754;0,2052577;0,0867927;1,736983;0,08446812
0,9903666;3,822236;1,529014;-8,606441;3,661354;0,8490059;0,75754;0;0,08528975;-5,976892;0,08446812
1,00887;3,818799;1,529187;-8,605315;3,664031;0,8028332;0,7990129;0,1954866;0,08731081;5,48307;0,08808522
1,022673;3,817902;1,529286;-8,605024;3,6663;0,7953724;0,8135476;0,06827655;0,08705389;-3,937577;0,08902768
1,056046;3,816987;1,529389;-8,604727;3,668977;0,7874382;0,8259239;0,02882545;0,08521377;-0,8362473;0,08998966
1,072765;3,813488;1,52944;-8,603335;4,276645;0,6280489;0,7219136;0,2252298;0,08739586;3,920922;0,09375519
1,090271;3,813488;1,52944;-8,603335;4,276645;0,6280489;0,7219136;0;0,08599256;-6,58086;0,09375519
1,106012;3,809691;1,530015;-8,602398;4,280715;0,5946192;0,7616927;0,2484768;0,08830509;7,473554;0,09766649
1,140266;3,808746;1,530205;-8,602227;4,278666;0,5947312;0,7726756;0,02804384;0,0864948;-4,409073;0,09862711
1,175804;3,806323;1,530368;-8,601649;4,556491;0,5757957;0,6977894;0,07008752;0,0859989;0,6024106;0,1011179
1,206218;3,803975;1,530401;-8,601301;5,55583;0,4545284;0,490944;0,07804547;0,08579836;0,120664;0,1034915
