Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;0;0;0;0;0;0;0;0;-1;-1;0
0,3333333;0;0;0;0;0;0;0;0;-1;-1;0
0,365557;0;0;0;0;0;0;0;0;-1;-1;0
0,3892496;0;0;0;0;0;0;0;0;-1;-1;0
0,4058174;0;0;0;0;0;0;0;0;-1;-1;0
0,42245;0;0;0;0;0;0;0;0;-1;-1;0
0,4559469;0;0;0;0;0;0;0;0;-1;-1;0
0,4730436;0;0;0;0;0;0;0;0;-1;-1;0
0,4901348;0;0;0;0;0;0;0;0;-1;-1;0
0,5078498;0;0;0;0;0;0;0;0;-1;-1;0
0,539345;0;0;0;0;0;0;0;0;-1;-1;0
0,5557995;0;0;0;0;0;0;0;0;-1;-1;0
0,5725091;0;0;0;0;0;0;0;0;-1;-1;0
0,5890685;0;0;0;0;0;0;0;0;-1;-1;0
0,6057777;0;0;0;0;0;0;0;0;-1;-1;0
0,6223867;0;0;0;0;0;0;0;0;-1;-1;0
0,639214;0;0;0;0;0;0;0;0;-1;-1;0
0,6572717;0;0;0;0;0;0;0;0;-1;-1;0
0,6755621;0;0;0;0;0;0;0;0;-1;-1;0
0,6891567;0;0;0;0;0;0;0;0;-1;-1;0
0,7059076;0;0;0;0;0;0;0;0;-1;-1;0
0,7396253;0;0;0;0;0;0;0;0;-1;-1;0
0,7560009;0;0;0;0;0;0;0;0;-1;-1;0
0,7725991;0;0;0;0;0;0;0;0;-1;-1;0
0,789334;0;0;0;0;0;0;0;0;-1;-1;0
0,8060423;0;0;0;0;0;0;0;0;-1;-1;0
0,8400305;0;0;0;0;0;0;0;0;-1;-1;0
0,8583976;0;0;0;0;0;0;0;0;-1;-1;0
0,8902067;0;0;0;0;0;0;0;0;-1;-1;0
0,9227357;0;0;0;0;0;0;0;0;-1;-1;0
0,9560247;0;0;0;0;0;0;0;0;-1;-1;0
0,9732169;0;0;0;0;0;0;0;0;-1;-1;0
0,9903666;0;0;0;0;0;0;0;0;-1;-1;0
1,00887;0;0;0;0;0;0;0;0;-1;-1;0
1,022673;0;0;0;0;0;0;0;0;-1;-1;0
1,056046;0;0;0;0;0;0;0;0;-1;-1;0
1,072765;0;0;0;0;0;0;0;0;-1;-1;0
1,090271;0;0;0;0;0;0;0;0;-1;-1;0
1,106012;0;0;0;0;0;0;0;0;-1;-1;0
1,140266;0;0;0;0;0;0;0;0;-1;-1;0
1,175804;0;0;0;0;0;0;0;0;-1;-1;0
1,206218;0;0;0;0;0;0;0;0;-1;-1;0
1,222708;0;0;0;0;0;0;0;0;-1;-1;0
1,239607;0;0;0;0;0;0;0;0;-1;-1;0
1,25671;0;0;0;0;0;0;0;0;-1;-1;0
1,290567;0;0;0;0;0;0;0;0;-1;-1;0
1,325459;0;0;0;0;0;0;0;0;-1;-1;0
1,339618;0;0;0;0;0;0;0;0;-1;-1;0
1,372935;0;0;0;0;0;0;0;0;-1;-1;0
1,389468;0;0;0;0;0;0;0;0;-1;-1;0
1,406211;0;0;0;0;0;0;0;0;-1;-1;0
1,422972;0;0;0;0;0;0;0;0;-1;-1;0
1,43978;0;0;0;0;0;0;0;0;-1;-1;0
1,474354;0;0;0;0;0;0;0;0;-1;-1;0
1,492683;0;0;0;0;0;0;0;0;-1;-1;0
1,506509;0;0;0;0;0;0;0;0;-1;-1;0
1,526028;0;0;0;0;0;0;0;0;-1;-1;0
1,556339;0;0;0;0;0;0;0;0;-1;-1;0
1,589583;0;0;0;0;0;0;0;0;-1;-1;0
1,606309;0;0;0;0;0;0;0;0;-1;-1;0
1,624307;0;0;0;0;0;0;0;0;-1;-1;0
1,642018;0;0;0;0;0;0;0;0;-1;-1;0
1,673178;0;0;0;0;0;0;0;0;-1;-1;0
1,690052;0;0;0;0;0;0;0;0;-1;-1;0
1,723106;0;0;0;0;0;0;0;0;-1;-1;0
1,756513;0;0;0;0;0;0;0;0;-1;-1;0
1,773345;0;0;0;0;0;0;0;0;-1;-1;0
1,824083;0;0;0;0;0;0;0;0;-1;-1;0
1,859741;0;0;0;0;0;0;0;0;-1;-1;0
1,890314;0;0;0;0;0;0;0;0;-1;-1;0
1,906606;0;0;0;0;0;0;0;0;-1;-1;0
1,923664;0;0;0;0;0;0;0;0;-1;-1;0
1,940375;0;0;0;0;0;0;0;0;-1;-1;0
1,957257;0;0;0;0;0;0;0;0;-1;-1;0
