Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;0;-1;-1;0
0,3333333;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,365557;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,3892496;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,4058174;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,42245;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,4559469;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,4730436;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,4901348;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,5078498;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,539345;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,5557995;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,5725091;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,5890685;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,6057777;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,6223867;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,639214;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,6572717;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,6755621;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,6891567;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,7059076;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,7396253;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,7560009;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,7725991;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,789334;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,8060423;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,8400305;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,8583976;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,8902067;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,9227357;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,9560247;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,9732169;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
0,9903666;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,00887;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,022673;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,056046;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,072765;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,090271;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,106012;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,140266;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,175804;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,206218;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,222708;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,239607;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,25671;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,290567;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,325459;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,339618;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,372935;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,389468;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,406211;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,422972;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,43978;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,474354;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,492683;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,506509;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,526028;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,556339;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,589583;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,606309;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,624307;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,642018;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,673178;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,690052;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,723106;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,756513;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,773345;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,824083;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,859741;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,890314;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
1,906606;4,322748;1,364967;-8,434889;335,5994;121,4891;245,6255;0;1;0;-1;-1
