Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;-6,075805;1,742645;-5,824607;354,5798;96,60686;1,74106;-1;0;-1;0
0,3333333;-6,075922;1,742219;-5,824684;354,8062;96,60303;1,691992;0,0004181818;0,0004181818;-1;0,0001393939
0,3763734;-6,07621;1,738957;-5,827771;359,2538;96,13762;1,339636;0,07202543;0,008606796;0,1902559;0,003239369
0,3887722;-6,075941;1,737592;-5,829602;359,8858;96,07807;1,130523;0,1492576;0,01309249;1,393105;0,005089999
0,4063315;-6,075855;1,737338;-5,829976;359,9883;96,06836;1,087739;0,02187665;0,0134721;-4,251958;0,005474137
0,4225023;-6,075855;1,737338;-5,829976;359,9883;96,06836;1,087739;0;0,01295647;-0,6485797;0,005474137
0,4389713;-6,075855;1,737338;-5,829976;359,9883;96,06836;1,087739;0;0,01247037;0;0,005474137
0,4563732;-6,075346;1,7363;-5,831674;0,4543889;96,02994;0,9005369;0,1018553;0,01587868;3,00717;0,007246604
0,4725851;-6,075254;1,736148;-5,831948;0,5580984;96,02322;0,8681071;0,01784901;0,01594627;-2,499167;0,00753597
0,4893017;-6,075173;1,73601;-5,832193;0,6710424;96,01727;0,8366608;0,01541576;0,01592815;-0,07389496;0,00779367
0,5077295;-6,074959;1,73569;-5,832829;1,18776;96,00059;0,720493;0,03643748;0,01667253;0,5981516;0,008465135
0,5222456;-6,074861;1,735562;-5,833145;1,710898;95,98282;0,6238322;0,02274308;0,01684126;-0,4156874;0,008795276
0,5388498;-6,074861;1,735562;-5,833145;1,710898;95,98282;0,6238322;0;0,01632231;-0,7308117;0,008795276
0,5559866;-6,074785;1,735464;-5,833477;2,937873;95,91744;0,4644156;0,01989868;0,01643255;0,5897478;0,009136276
0,5724043;-6,074772;1,73542;-5,833641;4,132829;95,85793;0,3623448;0,01002191;0,01624868;-0,2943502;0,009300813
0,5889534;-6,074772;1,73542;-5,833641;4,132829;95,85793;0,3623448;0;0,0157921;-0,304;0,009300813
0,6057118;-6,074837;1,735313;-5,833906;6,32073;95,79272;0,1722473;0,01629347;0,01580597;0,4891841;0,009573864
0,6225538;-6,074973;1,735209;-5,83421;7,520846;95,78042;0,04968677;0,01975778;0,01591288;0,1031034;0,009906624
0,6409734;-6,074973;1,735209;-5,83421;7,520846;95,78042;0,04968677;0;0,01545559;-0,5603194;0,009906624
0,6597217;-6,075297;1,735122;-5,83484;8,580347;95,77427;359,9143;0,03778793;0,01609025;1,016682;0,01061508
0,6913617;-6,075423;1,735135;-5,835078;8,783968;95,77351;359,8837;0,008500869;0,01574292;-0,5812277;0,01088405
0,7075112;-6,075911;1,735414;-5,8362;9,319621;95,78438;359,8264;0,07579658;0,01711369;1,408169;0,01210813
0,7244035;-6,076109;1,735587;-5,836777;9,554305;95,80055;359,8222;0,0360915;0,01755624;-1,201661;0,0127178
0,7402694;-6,076109;1,735587;-5,836777;9,554305;95,80055;359,8222;0;0,01717996;-1,101753;0,0127178
0,7576031;-6,076314;1,735742;-5,837493;10,07703;95,8548;359,8363;0,04297126;0,01777006;1,29433;0,01346265
0,7901996;-6,076401;1,735771;-5,837847;10,65951;95,91479;359,852;0,01117607;0,01749805;-0,6367925;0,01382695
0,8076482;-6,076452;1,735751;-5,838241;12,03437;96,03806;359,8898;0,02278872;0,01761235;0,2320435;0,01422458
0,8268563;-6,076455;1,735726;-5,838424;13,00164;96,11894;359,8792;0,009533928;0,01742468;-0,3615933;0,01440771
0,8416635;-6,076442;1,735713;-5,838566;13,80618;96,17176;359,844;0,009635804;0,01728765;0,002995024;0,01455039
0,8578223;-6,076442;1,735713;-5,838566;13,80618;96,17176;359,844;0;0,01696201;-0,3111732;0,01455039
0,8740621;-6,076413;1,735728;-5,838709;14,63236;96,20702;359,8098;0,008960144;0,01681333;0,2765592;0,0146959
0,8924491;-6,076398;1,735743;-5,838748;14,83789;96,21018;359,807;0,002249186;0,01651327;-0,193808;0,01473725
