Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s)
0,0127875;0;0;0;0;90;0;0;0;0;-1;-1
0,3461208;0;0;0;0;90;0;0;0;0;-1;-1
0,3763468;0;0;0;0;90;0;0;0;0;-1;-1
0,3906432;0;0;0;0;90;0;0;0;0;-1;-1
0,40494;0;0;0;0;90;0;0;0;0;-1;-1
0,4177381;0;0;0;0;90;0;0;0;0;-1;-1
0,4302182;0;0;0;0;90;0;0;0;0;-1;-1
0,4427894;0;0;0;0;90;0;0;0;0;-1;-1
0,4559094;0;0;0;0;90;0;0;0;0;-1;-1
0,4686697;0;0;0;0;90;0;0;0;0;-1;-1
0,4819205;0;0;0;0;90;0;0;0;0;-1;-1
0,4960375;0;0;0;0;90;0;0;0;0;-1;-1
0,5141218;0;0;0;0;90;0;0;0;0;-1;-1
0,5258119;0;0;0;0;90;0;0;0;0;-1;-1
0,5396779;0;0;0;0;90;0;0;0;0;-1;-1
0,553816;0;0;0;0;90;0;0;0;0;-1;-1
0,5684678;0;0;0;0;90;0;0;0;0;-1;-1
0,5774319;0;0;0;0;90;0;0;0;0;-1;-1
0,586348;0;0;0;0;90;0;0;0;0;-1;-1
0,5964681;0;0;0;0;90;0;0;0;0;-1;-1
0,6080551;0;0;0;0;90;0;0;0;0;-1;-1
0,6187845;0;0;0;0;90;0;0;0;0;-1;-1
0,629713;0;0;0;0;90;0;0;0;0;-1;-1
0,6429809;0;0;0;0;90;0;0;0;0;-1;-1
0,6577976;0;0;0;0;90;0;0;0;0;-1;-1
0,6764418;0;0;0;0;90;0;0;0;0;-1;-1
0,6908333;0;0;0;0;90;0;0;0;0;-1;-1
0,706857;0;0;0;0;90;0;0;0;0;-1;-1
0,7319129;0;0;0;0;90;0;0;0;0;-1;-1
0,7450386;0;0;0;0;90;0;0;0;0;-1;-1
0,7575183;0;0;0;0;90;0;0;0;0;-1;-1
0,7693606;0;0;0;0;90;0;0;0;0;-1;-1
0,7842551;0;0;0;0;90;0;0;0;0;-1;-1
0,7980898;0;0;0;0;90;0;0;0;0;-1;-1
0,8116622;0;0;0;0;90;0;0;0;0;-1;-1
0,8311704;0;0;0;0;90;0;0;0;0;-1;-1
0,8444617;0;0;0;0;90;0;0;0;0;-1;-1
0,8562611;0;0;0;0;90;0;0;0;0;-1;-1
0,8720393;0;0;0;0;90;0;0;0;0;-1;-1
0,8828273;0;0;0;0;90;0;0;0;0;-1;-1
0,8935022;0;0;0;0;90;0;0;0;0;-1;-1
0,9073002;0;0;0;0;90;0;0;0;0;-1;-1
0,925896;0;0;0;0;90;0;0;0;0;-1;-1
0,9559832;0;0;0;0;90;0;0;0;0;-1;-1
0,9732664;0;0;0;0;90;0;0;0;0;-1;-1
0,9913155;0;0;0;0;90;0;0;0;0;-1;-1
1,003796;0;0;0;0;90;0;0;0;0;-1;-1
1,013841;0;0;0;0;90;0;0;0;0;-1;-1
1,026619;0;0;0;0;90;0;0;0;0;-1;-1
1,044298;0;0;0;0;90;0;0;0;0;-1;-1
1,057223;0;0;0;0;90;0;0;0;0;-1;-1
1,071883;0;0;0;0;90;0;0;0;0;-1;-1
1,087371;0;0;0;0;90;0;0;0;0;-1;-1
1,100344;0;0;0;0;90;0;0;0;0;-1;-1
1,114711;0;0;0;0;90;0;0;0;0;-1;-1
1,133352;0;0;0;0;90;0;0;0;0;-1;-1
1,14775;0;0;0;0;90;0;0;0;0;-1;-1
1,15973;4,570292;-0,00618308;4,202228;74,81966;340,4137;104,017;100,0765;0;0;-1;-1
1,174571;4,570292;-0,00618308;4,202228;74,81966;340,4137;104,017;0;0;1;0;-2,15973
1,188145;4,570757;-0,007362956;4,199082;76,42486;342,1665;107,571;0,04711182;0,002705504;1;0;-2,15973
1,201137;4,57059;-0,006531487;4,201535;74,70722;345,6729;110,876;0,03776509;0,004744352;1;0;-2,15973
1,214525;4,57059;-0,006531487;4,201535;74,70722;345,6729;110,876;2,873789E-09;0,004691499;1;0;-2,15973
1,227779;4,571893;-0,007361935;4,199539;75,60596;353,49;121,955;0,03892544;0,006602095;1;0;-2,15973
1,237569;4,575696;-0,007358609;4,199622;75,18172;3,700459;135,9309;0,08165356;0,009654533;1;0;-2,15973
