Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s)
0,0095383;-5,719795;0,07859417;-5,771351;356,7464;272,7867;358,4138;0;0;0;-1;-1
0,3428716;-5,7194;0,07863928;-5,77118;356,5484;272,7247;358,445;0;0,001289692;0;-1;-1
0,4046639;-4,952498;0,0961258;-5,683034;358,6935;277,7811;0,3390952;0;1,954774;0;-1;-1
0,4289828;-4,817;0,1147538;-5,70011;11,23286;290,4129;1,131944;0;2,167036;0;-1;-1
0,4412483;-4,780338;0,1212201;-5,705905;15,09761;290,2699;1,171641;0;2,191444;0;-1;-1
0,4547978;-4,780338;0,1212201;-5,705905;15,09761;290,2699;1,171641;0;2,124757;0;-1;-1
0,4839597;-4,768336;0,1172741;-5,706676;15,39671;287,4955;359,2625;0;2,019501;0;-1;-1
0,5082254;-4,761858;0,1018471;-5,711726;9,068023;287,0098;2,090356;0;1,937705;0;-1;-1
0,5219929;-4,751893;0,08710323;-5,71862;3,354979;289,2911;0,7466937;0;1,909294;0;-1;-1
0,5337098;-4,751893;0,08710323;-5,71862;3,354979;289,2911;0,7466937;0;1,866615;0;-1;-1
0,5863075;-4,747608;0,07973772;-5,719634;0,3116379;289,8165;0,1512377;0;1,704025;0;-1;-1
0,6001087;-4,745658;0,07612772;-5,720019;358,6844;289,9059;359,3994;0;1,66757;0;-1;-1
0,6263009;-4,745658;0,07612772;-5,720019;358,6844;289,9059;359,3994;0;1,596753;0;-1;-1
0,6393248;-4,744775;0,07469545;-5,720991;358,0747;290,0205;359,166;0;1,565816;0;-1;-1
0,6688614;-4,744775;0,07469545;-5,720991;358,0747;290,0205;359,166;0;1,49567;0;-1;-1
0,6845531;-4,744139;0,07392698;-5,721503;357,8707;290,0709;358,9027;0;1,462111;0;-1;-1
0,7107493;-4,744118;0,07378939;-5,721409;357,7481;290,1825;358,9765;0;1,407625;0;-1;-1
0,7211576;-4,743711;0,07341301;-5,721563;357,5594;290,1677;359,0141;0;1,387648;0;-1;-1
0,7306445;-4,743711;0,07341301;-5,721563;357,5594;290,1677;359,0141;0;1,369392;0;-1;-1
0,7454763;-4,743587;0,07319654;-5,721732;357,4049;290,1711;359,0829;0,001530744;1,342079;0;-1;-1
0,8207743;-4,743488;0,07318088;-5,721819;357,3893;290,1684;359,0775;1,452493;1,217671;0;-1;-1
0,8519859;-4,743178;0,07279179;-5,721863;356,9459;290,2814;359,1512;0,7028856;1,172929;1;7,43235;-1,820774
0,8759632;-4,743148;0,07274784;-5,721687;356,8851;290,5764;359,062;0,3818265;1,140676;1;7,43235;-1,820774
0,8953664;-4,743092;0,07276204;-5,721906;356,6891;290,5168;359,2105;0,001424722;1,115945;1;7,43235;-1,820774
0,9077774;-4,742679;0,07278214;-5,722179;356,667;290,3865;358,9769;0,04933805;1,101078;1;7,43235;-1,820774
0,9246084;-4,742585;0,07266392;-5,722044;356,4247;290,4621;359,0383;0,09006806;1,081005;1;7,43235;-1,820774
0,9360021;-4,742613;0,07236308;-5,72227;356,658;290,3467;359,0619;0,1766399;1,067956;1;7,43235;-1,820774
0,9475737;-4,742613;0,07236308;-5,72227;356,658;290,3467;359,0619;3,491989E-10;1,054782;1;7,43235;-1,820774
0,9639529;-4,742465;0,07217827;-5,722531;356,6712;290,2252;358,9528;0,01907824;1,036995;1;7,43235;-1,820774
0,9756357;-4,74226;0,07219367;-5,722562;356,6434;290,2517;358,8918;0,04162228;1,024669;1;7,43235;-1,820774
