Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
0,0075131;3,81322;1,646218;-7,233027;15,71546;320,7257;352,1626;-1;0;0
0,3408464;3,811033;1,645328;-7,228343;15,79379;320,5848;352,1682;0,01550818;0,01550818;0,005169392
0,3662415;3,666714;1,638761;-7,026261;15,36418;317,3317;357,9507;9,778451;0,7066439;0,2534932
0,3829378;3,65366;1,641103;-7,011086;14,55488;317,1551;358,5123;1,198963;0,728539;0,2735116
0,3950413;3,65366;1,641103;-7,011086;14,55488;317,1551;358,5123;0;0,7057849;0,2735116
0,4085186;3,640514;1,642365;-6,996308;14,84926;316,8444;359,0946;1,467514;0,7313857;0,2932897
0,4204203;3,636412;1,642629;-6,991271;14,67454;316,7541;359,2141;0,5458037;0,7260364;0,2997857
0,4313732;3,636412;1,642629;-6,991271;14,67454;316,7541;359,2141;0;0,707275;0,2997857
0,4417353;3,623877;1,643052;-6,976239;15,03783;316,3085;359,3118;1,888851;0,7354717;0,3193581
0,4532053;3,623877;1,643052;-6,976239;15,03783;316,3085;359,3118;0;0,7165442;0,3193581
0,4660939;3,615718;1,643179;-6,96638;15,44731;315,9546;359,2711;0,9929115;0,7243115;0,3321554
0,4764266;3,612016;1,643385;-6,96147;15,48056;315,8941;359,252;0,5951588;0,7214656;0,338305
0,4849069;3,612016;1,643385;-6,96147;15,48056;315,8941;359,252;0;0,7086496;0,338305
0,4990329;3,604392;1,643793;-6,951952;15,75803;315,6572;359,2391;0,8633311;0,7130951;0,3505004
0,5125815;3,604392;1,643793;-6,951952;15,75803;315,6572;359,2391;0;0,6939662;0,3505004
0,5227467;3,597001;1,644579;-6,942691;15,93354;315,4396;359,1909;1,165583;0,703271;0,3623489
0,5320895;3,597001;1,644579;-6,942691;15,93354;315,4396;359,1909;0;0,6907457;0,3623489
0,5421578;3,58974;1,645679;-6,93353;15,68107;315,2633;359,2728;1,161007;0,6996015;0,3740382
0,5508263;3,58974;1,645679;-6,93353;15,68107;315,2633;359,2728;0;0,6884395;0,3740382
0,5607412;3,58251;1,646783;-6,92436;15,53676;315,1295;359,4276;1,177767;0,6972092;0,3857158
0,5701088;3,58251;1,646783;-6,92436;15,53676;315,1295;359,4276;0;0,6856003;0,3857158
0,583676;3,57479;1,647172;-6,914899;14,06578;314,4163;359,2589;0,9000183;0,6906493;0,3979265
0,5945752;3,57479;1,647172;-6,914899;14,06578;314,4163;359,2589;0;0,677827;0,3979265
0,6074674;3,563615;1,647974;-6,900986;13,96;314,1075;359,4605;1,3842;0,693006;0,4157719
0,6195011;3,560026;1,648188;-6,896263;13,90557;314,0739;359,5903;0,4929231;0,6890717;0,4217035
0,6295148;3,560026;1,648188;-6,896263;13,90557;314,0739;359,5903;0;0,6779782;0,4217035
0,6395717;3,552102;1,647946;-6,886921;14,07551;313,673;359,5671;1,218068;0,6865717;0,4339536
0,6491923;3,552102;1,647946;-6,886921;14,07551;313,673;359,5671;0;0,6762781;0,4339536
0,6644577;3,544401;1,647697;-6,877364;14,27361;313,3454;359,5743;0,8040048;0,6792461;0,446227
0,6768949;3,544401;1,647697;-6,877364;14,27361;313,3454;359,5743;0;0,6666256;0,446227
0,6857043;3,532446;1,646413;-6,862725;15,10596;312,7128;359,4881;2,145503;0,6858355;0,4651276
0,6961629;3,528336;1,646008;-6,857658;14,85442;312,5396;359,5656;0,6238547;0,6848942;0,4716522
0,705873;3,528336;1,646008;-6,857658;14,85442;312,5396;359,5656;0;0,6753713;0,4716522
0,7151918;3,520094;1,644835;-6,847454;14,88702;312,0498;359,4393;1,407513;0,6850123;0,4847686
0,7238078;3,520094;1,644835;-6,847454;14,88702;312,0498;359,4393;0;0,6767725;0,4847686
0,7450395;3,520094;1,644835;-6,847454;14,88702;312,0498;359,4393;0;0,6572898;0,4847686
0,7572693;3,503455;1,642377;-6,826622;15,33652;311,1945;359,4449;2,180006;0,682128;0,5114297
0,7677982;3,503455;1,642377;-6,826622;15,33652;311,1945;359,4449;0;0,6726814;0,5114297
0,7778379;3,494997;1,641021;-6,815834;15,07343;310,7827;359,4756;1,365467;0,6817104;0,5251384
0,7887918;3,494997;1,641021;-6,815834;15,07343;310,7827;359,4756;0;0,6721525;0,5251384
0,8009412;3,486798;1,639978;-6,80445;15,36549;310,2292;359,4849;1,154726;0,6795419;0,5391676
0,8141503;3,486798;1,639978;-6,80445;15,36549;310,2292;359,4849;0;0,6684141;0,5391676
0,8260385;3,474156;1,637287;-6,78708;15,13905;309,7959;359,8091;1,80711;0,6849524;0,5606509
0,8365973;3,469978;1,636279;-6,781075;15,28016;309,5491;359,6838;0,6929178;0,6850538;0,5679673
0,8452617;3,469978;1,636279;-6,781075;15,28016;309,5491;359,6838;0;0,6779687;0,5679673
0,8561444;3,461531;1,634726;-6,768827;13,45768;309,5451;0,1146286;1,367049;0,6868053;0,5828444
0,8666794;3,461531;1,634726;-6,768827;13,45768;309,5451;0,1146286;0;0,6783838;0,5828444
0,8775732;3,453193;1,632742;-6,75622;13,07764;309,2889;0,1069238;1,387512;0,6872626;0,5979598
0,8866273;3,453193;1,632742;-6,75622;13,07764;309,2889;0,1069238;0;0,6801844;0,5979598
0,9007754;3,445077;1,630369;-6,743061;13,17974;309,0921;0,3030317;1,092763;0,6867191;0,6134203
0,9110073;3,445077;1,630369;-6,743061;13,17974;309,0921;0,3030317;0;0,6789421;0,6134203
0,9228833;3,437469;1,627781;-6,729221;13,43495;309,0053;0,5216795;1,329823;0,6873866;0,6292132
0,9313723;3,437469;1,627781;-6,729221;13,43495;309,0053;0,5216795;0;0,6810704;0,6292132
0,9409807;3,430224;1,625091;-6,716164;15,7574;307,7676;0,7748335;1,55413;0,690057;0,6441458
0,9509508;3,430224;1,625091;-6,716164;15,7574;307,7676;0,7748335;0;0,6827645;0,6441458
0,9682605;3,421579;1,624536;-6,702442;14,81352;307,4947;1,089597;0,9369612;0,6873444;0,6603643
0,9819427;3,412827;1,624542;-6,688249;14,57594;306,9733;1,071101;1,218687;0,694805;0,6770386
0,9913247;3,412827;1,624542;-6,688249;14,57594;306,9733;1,071101;0;0,6881791;0,6770386
1,016703;3,403797;1,625546;-6,673689;14,65018;306,275;1,227292;0,6750844;0,6878498;0,6941712
1,03374;3,39006;1,627169;-6,652156;14,50127;305,5346;0,8252415;1,499235;0,7013199;0,7197134
1,049255;3,381872;1,628596;-6,638775;15,57804;304,678;0,457258;1,011057;0,705933;0,7354003
1,058547;3,377615;1,629333;-6,631933;15,52417;304,5957;0,3315816;0,8672618;0,7073593;0,7434589
1,068302;3,377615;1,629333;-6,631933;15,52417;304,5957;0,3315816;0;0,7008544;0,7434589
1,078791;3,368866;1,631049;-6,618895;14,68391;304,649;0,3409801;1,496986;0,7086493;0,7591606
1,094087;3,368866;1,631049;-6,618895;14,68391;304,649;0,3409801;0;0,6986737;0,7591606
1,10766;3,356369;1,633708;-6,601544;15,25877;304,2357;0,05558817;1,575412;0,7094901;0,7805431
1,126675;3,352244;1,634527;-6,596403;15,39999;303,8464;0,1305548;0,3466376;0,7033252;0,7871345
1,139659;3,343104;1,636179;-6,585824;14,62763;303,8096;0,4708632;1,076768;0,707608;0,8011154
1,151646;3,343104;1,636179;-6,585824;14,62763;303,8096;0,4708632;0;0,7001944;0,8011154
1,162154;3,334152;1,637803;-6,576021;14,12231;303,5491;0,2307952;1,263401;0,7053199;0,8143911
1,170582;3,334152;1,637803;-6,576021;14,12231;303,5491;0,2307952;0;0,7002091;0,8143911
1,185583;3,324858;1,638828;-6,567114;14,63045;303,32;0,3801033;0,8581044;0,7022197;0,8272635
1,19916;3,315143;1,639667;-6,558704;14,55756;303,0162;0,5193025;0,9463751;0,7050016;0,840113
1,210676;3,315143;1,639667;-6,558704;14,55756;303,0162;0,5193025;0;0,698254;0,840113
1,220303;3,305367;1,640241;-6,550848;14,59736;302,6519;0,6914791;1,302661;0,7030519;0,8526543
1,23181;3,305367;1,640241;-6,550848;14,59736;302,6519;0,6914791;0;0,696444;0,8526543
1,243213;3,295645;1,640844;-6,543755;15,29421;302,1798;0,6059372;1,055419;0,6997564;0,8646888
1,252174;3,295645;1,640844;-6,543755;15,29421;302,1798;0,6059372;0;0,6947183;0,8646888
1,262858;3,284716;1,641592;-6,535978;12,19893;302,826;1,499435;1,255518;0,6994913;0,8781029
1,27803;3,284716;1,641592;-6,535978;12,19893;302,826;1,499435;0;0,6911381;0,8781029
1,291673;3,271016;1,642573;-6,526826;13,11021;302,3034;1,645327;1,207654;0,6966255;0,8945784
1,301278;3,271016;1,642573;-6,526826;13,11021;302,3034;1,645327;0;0,6914537;0,8945784
1,311194;3,271016;1,642573;-6,526826;13,11021;302,3034;1,645327;0;0,6861944;0,8945784
1,322779;3,259614;1,643175;-6,519247;17,55412;300,8855;1,356165;1,181722;0,6905593;0,9082693
1,331602;3,259614;1,643175;-6,519247;17,55412;300,8855;1,356165;0;0,6859581;0,9082693
1,340752;3,25091;1,643903;-6,51409;17,4149;300,5071;1,654181;1,105583;0,6888382;0,9183861
1,349062;3,25091;1,643903;-6,51409;17,4149;300,5071;1,654181;0;0,6845716;0,9183861
1,359496;3,242075;1,644594;-6,509181;17,27662;300,0422;1,718465;0,9686825;0,6867642;0,9284934
1,368718;3,242075;1,644594;-6,509181;17,27662;300,0422;1,718465;0;0,6821113;0,9284934
1,380215;3,23318;1,644988;-6,504438;17,54877;299,6748;1,804991;0,8767746;0,6837416;0,9385737
1,389466;3,23318;1,644988;-6,504438;17,54877;299,6748;1,804991;0;0,6791647;0,9385737
1,399886;3,224067;1,645251;-6,499947;17,37422;299,3463;1,991182;0,9750777;0,6813791;0,9487338
1,409993;3,224067;1,645251;-6,499947;17,37422;299,3463;1,991182;0;0,6764687;0,9487338
1,419621;3,214731;1,645455;-6,495661;17,62923;299,0276;2,102076;1,066885;0,6791307;0,9590061
1,430795;3,214731;1,645455;-6,495661;17,62923;299,0276;2,102076;0;0,673799;0,9590061
1,441658;3,205047;1,645552;-6,491803;17,4282;298,5573;2,097296;0,9597092;0,6759644;0,9694306
1,450176;3,205047;1,645552;-6,491803;17,4282;298,5573;2,097296;0;0,6719733;0,9694306
