Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;3,788183;0,03443396;-8,170716;8,862626;257,548;327,7114;0;0;-1;-1;0
0,3333333;3,788373;0,03468534;-8,170612;9,045921;257,4926;327,757;0,0006491559;1;0;-1;-1
0,3699659;3,788257;0,03457227;-8,170511;9,053079;257,4388;327,6634;0,000588684;1;0;-1;-1
0,3982598;3,787741;0,034315;-8,170815;9,246457;257,3708;327,7017;0,001138663;1;0;-1;-1
0,4148791;3,787766;0,03435821;-8,170743;9,29752;257,3815;327,7291;0,001006583;1;0;-1;-1
0,4313447;3,787766;0,03435821;-8,170743;9,29752;257,3815;327,7291;0,0009681589;1;0;-1;-1
0,4477215;3,787766;0,03435821;-8,170743;9,29752;257,3815;327,7291;0,0009327458;1;0;-1;-1
0,4650289;3,787766;0,03435821;-8,170743;9,29752;257,3815;327,7291;0,0008980308;1;0;-1;-1
0,4811507;3,787683;0,03429994;-8,170732;9,322489;257,3591;327,6824;0,00104107;1;0;-1;-1
0,51508;3,788169;0,03437681;-8,1704;9,11444;257,3929;327,5397;0,0006153275;1;0;-1;-1
0,5334688;3,787777;0,03420268;-8,170723;9,354015;257,3492;327,6325;0,0007616567;1;0;-1;-1
0,5482551;3,787701;0,03419584;-8,170748;9,334073;257,3372;327,6053;0,0008820426;1;0;-1;-1
0,6156798;3,787701;0,03419584;-8,170748;9,334073;257,3372;327,6053;0,0007854478;1;0;-1;-1
0,6656495;3,787701;0,03419584;-8,170748;9,334073;257,3372;327,6053;0,000726485;1;0;-1;-1
0,684066;3,787701;0,03419584;-8,170748;9,334073;257,3372;327,6053;0,0007069265;1;0;-1;-1
0,6980678;3,788001;0,03410068;-8,170641;9,032862;257,4062;327,4559;0,0002823763;1;0;-1;-1
0,7154386;3,788001;0,03410068;-8,170641;9,032862;257,4062;327,4559;0,0002755202;1;0;-1;-1
0,7321346;3,788001;0,03410068;-8,170641;9,032862;257,4062;327,4559;0,0002692371;1;0;-1;-1
0,7480163;3,78806;0,03408933;-8,170609;8,973577;257,4353;327,4755;0,0002178055;1;0;-1;-1
0,7682765;3,788005;0,03416322;-8,170632;8,976336;257,4375;327,5112;0,0002565444;1;0;-1;-1
0,7984666;3,788005;0,03416322;-8,170632;8,976336;257,4375;327,5112;0,0002468444;1;0;-1;-1
0,8157179;3,788015;0,03420531;-8,170629;8,972972;257,4571;327,5391;0,000232182;1;0;-1;-1
0,8346357;3,788029;0,03418443;-8,170595;8,961497;257,4499;327,5488;0,0002352056;1;0;-1;-1
0,8483264;3,788029;0,03418443;-8,170595;8,961497;257,4499;327,5488;0,0002314098;1;0;-1;-1
0,8648213;3,788029;0,03418443;-8,170595;8,961497;257,4499;327,5488;0,0002269961;1;0;-1;-1
0,8833343;3,788029;0,03418443;-8,170595;8,961497;257,4499;327,5488;0,0002222386;1;0;-1;-1
0,9015535;3,788029;0,03418443;-8,170595;8,961497;257,4499;327,5488;0,0002177475;1;0;-1;-1
0,9353687;3,788029;0,03418443;-8,170595;8,961497;257,4499;327,5488;0,0002098756;1;0;-1;-1
0,9674932;3,788029;0,03418443;-8,170595;8,961497;257,4499;327,5488;0,0002029069;1;0;-1;-1
0,9861298;3,788029;0,03418443;-8,170595;8,961497;257,4499;327,5488;0,0001990722;1;0;-1;-1
0,9998795;3,788029;0,03418443;-8,170595;8,961497;257,4499;327,5488;0,0001963347;1;0;-1;-1
1,016959;3,788029;0,03418443;-8,170595;8,961497;257,4499;327,5488;0,0001930373;1;0;-1;-1
1,033472;3,788029;0,03418443;-8,170595;8,961497;257,4499;327,5488;0,000189953;1;0;-1;-1
1,049264;3,788029;0,03418443;-8,170595;8,961497;257,4499;327,5488;0,000187094;1;0;-1;-1
1,066325;3,788029;0,03418443;-8,170595;8,961497;257,4499;327,5488;0,0001841005;1;0;-1;-1
1,083358;3,788029;0,03418443;-8,170595;8,961497;257,4499;327,5488;0,000181206;1;0;-1;-1
1,136849;3,788029;0,03418443;-8,170595;8,961497;257,4499;327,5488;0,0001726799;1;0;-1;-1
1,168968;3,788029;0,03418443;-8,170595;8,961497;257,4499;327,5488;0,0001679353;1;0;-1;-1
1,182492;3,788029;0,03418443;-8,170595;8,961497;257,4499;327,5488;0,0001660147;1;0;-1;-1
1,200765;3,785511;0,03527126;-8,168444;9,305933;255,4743;328,0441;0,002921388;1;0;-1;-1
1,217334;3,785023;0,03498287;-8,168859;9,552011;255,3901;328,0493;0,003011139;1;0;-1;-1
1,233775;3,785023;0,03498287;-8,168859;9,552011;255,3901;328,0493;0,002971012;1;0;-1;-1
1,248142;3,785881;0,03576386;-8,167598;9,512177;255,3289;328,2191;0,003105595;1;0;-1;-1
1,2655;3,785215;0,03545562;-8,168266;9,789375;255,2379;328,1368;0,003041043;1;0;-1;-1
1,282477;3,785343;0,03546172;-8,167944;9,722438;255,244;328,2354;0,003094666;1;0;-1;-1
1,299355;3,785053;0,03538514;-8,168181;9,762846;255,2076;328,1653;0,003099752;1;0;-1;-1
1,317584;3,785376;0,03551788;-8,167972;9,780193;255,2289;328,1315;0,002979935;1;0;-1;-1
1,332004;3,785376;0,03551788;-8,167972;9,780193;255,2289;328,1315;0,002947676;1;0;-1;-1
1,3672;3,785357;0,03549674;-8,167912;9,753228;255,258;328,1537;0,002912569;1;0;-1;-1
1,383269;3,785215;0,03549831;-8,167897;9,809645;255,2064;328,1279;0,002959154;1;0;-1;-1
1,400049;3,78525;0,03548853;-8,167797;9,803582;255,1721;328,1015;0,002955964;1;0;-1;-1
1,433748;3,785294;0,03550219;-8,167777;9,795056;255,1944;328,0891;0,002874824;1;0;-1;-1
1,450133;3,785294;0,03550219;-8,167777;9,795056;255,1944;328,0891;0,002842341;1;0;-1;-1
1,467901;3,787508;0,03376566;-8,170779;9,406254;256,4689;326,4919;0,0004619717;1;0;-1;-1
1,482215;3,787508;0,03376566;-8,170779;9,406254;256,4689;326,4919;0,0004575106;1;0;-1;-1
1,499751;3,787508;0,03376566;-8,170779;9,406254;256,4689;326,4919;0,0004521609;1;0;-1;-1
1,517323;3,787199;0,03358258;-8,170982;9,332736;256,4651;326,479;0,0006719228;1;0;-1;-1
1,533158;3,787199;0,03358258;-8,170982;9,332736;256,4651;326,479;0,000664983;1;0;-1;-1
1,549063;3,78708;0,03356215;-8,170921;9,275687;256,425;326,5194;0,000724496;1;0;-1;-1
1,566876;3,78708;0,03356215;-8,170921;9,275687;256,425;326,5194;0,00071626;1;0;-1;-1
1,583419;3,785224;0,03529888;-8,168025;9,401282;255,3369;327,9686;0,002526187;1;0;-1;-1
1,600381;3,785224;0,03529888;-8,168025;9,401282;255,3369;327,9686;0,002499413;1;0;-1;-1
1,619872;3,785301;0,03530142;-8,167985;9,348581;255,3386;327,9484;0,002451214;1;0;-1;-1
1,650889;3,784754;0,03546402;-8,168057;9,808636;255,13;328,173;0,002628518;1;0;-1;-1
1,667539;3,784994;0,03571841;-8,167885;9,827512;255,1484;328,252;0,002557466;1;0;-1;-1
