Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-6,486742;0,03771424;-5,71118;303,3319;3,620075;173,3694;0;0;-1;-1;0
0,3333333;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,001283813;1;0;-1;-1
0,3842735;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,001113628;1;0;-1;-1
0,414093;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,001033434;1;0;-1;-1
0,4302767;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0009945638;1;0;-1;-1
0,447126;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0009570851;1;0;-1;-1
0,4636126;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,00092305;1;0;-1;-1
0,4801791;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0008912042;1;0;-1;-1
0,4987951;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0008579427;1;0;-1;-1
0,5162651;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0008289106;1;0;-1;-1
0,5302341;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,000807073;1;0;-1;-1
0,5470175;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0007823107;1;0;-1;-1
0,563984;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0007587762;1;0;-1;-1
0,5805196;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0007371631;1;0;-1;-1
0,596957;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0007168651;1;0;-1;-1
0,6134914;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0006975447;1;0;-1;-1
0,6306276;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0006785901;1;0;-1;-1
0,6469204;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0006614996;1;0;-1;-1
0,664654;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0006438502;1;0;-1;-1
0,6823242;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0006271764;1;0;-1;-1
0,6970727;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0006139067;1;0;-1;-1
0,7142277;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0005991613;1;0;-1;-1
0,7304385;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,000585864;1;0;-1;-1
0,7469887;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0005728837;1;0;-1;-1
0,780601;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0005482156;1;0;-1;-1
0,7970691;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,000536889;1;0;-1;-1
0,8137709;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0005258699;1;0;-1;-1
0,831313;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0005147732;1;0;-1;-1
0,8496497;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0005036636;1;0;-1;-1
0,8639612;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0004953204;1;0;-1;-1
0,8805346;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0004859975;1;0;-1;-1
0,8971676;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0004769874;1;0;-1;-1
0,9144549;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0004679702;1;0;-1;-1
0,9303862;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,000459957;1;0;-1;-1
0,9471431;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0004518194;1;0;-1;-1
0,9640483;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0004438965;1;0;-1;-1
0,9812836;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0004360999;1;0;-1;-1
1,0002;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0004278521;1;0;-1;-1
1,014126;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0004219766;1;0;-1;-1
1,030551;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0004152512;1;0;-1;-1
1,047278;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0004086189;1;0;-1;-1
1,064356;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0004020625;1;0;-1;-1
1,080553;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0003960359;1;0;-1;-1
1,097379;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0003899633;1;0;-1;-1
1,113883;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0003841856;1;0;-1;-1
1,130646;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0003784897;1;0;-1;-1
1,165114;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0003672926;1;0;-1;-1
1,199854;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0003566582;1;0;-1;-1
1,213938;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,00035252;1;0;-1;-1
1,23068;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0003477246;1;0;-1;-1
1,264276;-6,486416;0,04023117;-5,710903;304,2833;4,868431;171,6397;0,0003384844;1;0;-1;-1
1,280644;-6,43996;0,03884234;-5,682244;305,151;10,15617;169,5325;0,04295283;1;0;-1;-1
1,297851;-6,43996;0,03884234;-5,682244;305,151;10,15617;169,5325;0,04238334;1;0;-1;-1
1,314035;-6,43996;0,03884234;-5,682244;305,151;10,15617;169,5325;0,04186133;1;0;-1;-1
1,331839;-6,43996;0,03884234;-5,682244;305,151;10,15617;169,5325;0,04130174;1;0;-1;-1
1,349405;-6,439919;0,03879712;-5,68251;305,2569;10,18546;169,5444;0,04068741;1;0;-1;-1
1,380803;-6,439974;0,0387942;-5,681832;304,7887;10,26115;169,571;0,03998692;1;0;-1;-1
1,397442;-6,439682;0,03842563;-5,680323;303,1286;10,65043;170,0397;0,04026957;1;0;-1;-1
1,414517;-6,439657;0,03837105;-5,680325;303,0836;10,68792;170,0266;0,03979737;1;0;-1;-1
1,430812;-6,439404;0,03818353;-5,680346;302,9758;10,70983;170,2186;0,03948473;1;0;-1;-1
1,447484;-6,439461;0,03824995;-5,680266;303,0988;10,71971;170,1887;0,03902671;1;0;-1;-1
1,464481;-6,43943;0,03825548;-5,680187;302,9492;10,76352;170,2053;0,03862082;1;0;-1;-1
1,480857;-6,439465;0,03824351;-5,680254;302,9938;10,69614;170,2312;0,03814963;1;0;-1;-1
1,497793;-6,439465;0,03824351;-5,680254;302,9938;10,69614;170,2312;0,03771825;1;0;-1;-1
1,516573;-6,439465;0,03824351;-5,680254;302,9938;10,69614;170,2312;0,03725118;1;0;-1;-1
1,530964;-6,439453;0,03811446;-5,680131;302,8686;10,69894;170,3167;0,03695116;1;0;-1;-1
1,547634;-6,43935;0,03808063;-5,680218;302,9105;10,70543;170,3182;0,03657811;1;0;-1;-1
1,564088;-6,439514;0,03815955;-5,680203;302,862;10,73447;170,2281;0,03611073;1;0;-1;-1
1,581102;-6,439362;0,03800125;-5,679975;302,6506;10,7477;170,394;0,03588213;1;0;-1;-1
1,59757;-6,439362;0,03800125;-5,679975;302,6506;10,7477;170,394;0,03551225;1;0;-1;-1
1,614284;-6,439514;0,03808178;-5,680077;302,781;10,63264;170,3992;0,03503104;1;0;-1;-1
1,631519;-6,439342;0,03807877;-5,680155;302,9513;10,69068;170,3516;0,03472244;1;0;-1;-1
1,648105;-6,439457;0,037922;-5,680156;302,9191;10,55935;170,4516;0,03431461;1;0;-1;-1
1,666113;-6,439434;0,03794434;-5,680201;302,9544;10,5445;170,4619;0,03394063;1;0;-1;-1
1,680993;-6,439466;0,03784382;-5,68;302,7156;10,61173;170,4811;0,03368966;1;0;-1;-1
1,697546;-6,439466;0,03784382;-5,68;302,7156;10,61173;170,4811;0,03336114;1;0;-1;-1
1,714359;-6,439466;0,03784382;-5,68;302,7156;10,61173;170,4811;0,03303398;1;0;-1;-1
1,731385;-6,439465;0,0378175;-5,679978;302,8078;10,51169;170,6393;0,03271703;1;0;-1;-1
1,748119;-6,439472;0,03779275;-5,680097;302,9665;10,45305;170,6374;0,03236267;1;0;-1;-1
1,764301;-6,439522;0,0376935;-5,680016;302,8373;10,43927;170,7066;0,03206765;1;0;-1;-1
1,781129;-6,439547;0,03771492;-5,680087;302,8655;10,41526;170,6739;0,03173124;1;0;-1;-1
1,798164;-6,439547;0,03771492;-5,680087;302,8655;10,41526;170,6739;0,03143063;1;0;-1;-1
1,816608;-6,439547;0,03771492;-5,680087;302,8655;10,41526;170,6739;0,03111152;1;0;-1;-1
1,83113;-6,439339;0,03736276;-5,680245;302,6724;10,24854;170,9384;0,03091232;1;0;-1;-1
1,847973;-6,439339;0,03736276;-5,680245;302,6724;10,24854;170,9384;0,03063059;1;0;-1;-1
