Areas
Area;Time spent in Area (s)
(1,1);4,973418
(1,2);1,52437
(1,3);4,875002
(2,3);2,703678
(3,3);3,252538
(3,2);8,112101
(4,2);2,719799
(4,3);2,677967
(4,4);4,616848


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Left;1,611204;1,995887;0,3846823;0,740167
Left;2,577481;3,337564;0,7600834;0,4848925
Left;4,246673;4,755114;0,5084405;1,064687
Left;5,373332;6,088794;0,7154617;1,11121
Left;6,638335;7,071568;0,4332333;1,120405
Left;7,876223;8,471897;0,5956745;1,076632
Left;9,02131;9,328602;0,307292;0,2924808
Right;9,362232;9,757272;0,3950396;0,1207098
Left;10,0062;10,78135;0,775157;0,4584941
Right;10,82562;11,52584;0,7002201;0,8976263
Left;11,4811;11,92574;0,4446459;0,9913924
Right;12,14049;12,83471;0,6942129;1,01136
Left;12,85223;13,55834;0,7061186;1,050125
Right;13,40519;14,07863;0,6734362;1,14553
Left;14,07863;14,60719;0,5285587;1,142672
Right;14,51716;15,28141;0,7642536;1,134308
Left;15,15717;15,84779;0,6906223;1,066893
Right;15,83692;16,24205;0,4051237;0,4841044
Right;16,7349;17,30499;0,5700836;0,4069677
Left;17,30499;17,69784;0,3928528;0,9468113
Right;17,85636;18,52074;0,6643848;1,060064
Left;18,50621;19,11136;0,6051521;1,086979
Right;19,01968;19,74023;0,7205505;1,060109
Left;19,57938;19,86279;0,2834072;0,3144737
Right;20,24067;20,53669;0,2960167;0,1396384
Left;22,37373;22,7912;0,417469;0,2390327
Right;25,21369;25,87927;0,6655788;0,7527387
Right;26,40493;27,1172;0,7122746;1,133709
Right;27,57937;28,21425;0,6348801;0,8664827
Left;28,56832;29,31735;0,7490311;0,53319
Right;29,21744;29,90486;0,6874142;0,9869355
Left;29,90486;30,66126;0,7564049;0,9763231
Right;30,49221;31,24732;0,755106;1,056023
Left;31,16752;31,8046;0,6370773;1,107616
Right;31,65717;32,40974;0,7525749;1,15168
Left;32,33449;33,02226;0,687767;1,171892
Right;32,82742;33,52652;0,6991005;1,080256
Left;33,4519;34,16441;0,712513;1,029018
Right;34,05931;34,60711;0,5477982;0,6610366
Right;35,083;35,47605;0,3930473;0,1486762
Left;35,74483;36,44005;0,6952133;0,5130213
Right;36,33327;37,09864;0,7653656;0,9845504


Landmarks
Area;Time spent looking at landmarks (s)
(1,1);0
(1,2);0
(1,3);0,24
(2,3);0
(3,3);0
(3,2);0,22
(4,2);0
(4,3);0


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
1,632776;(3,2);0


