Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s)
0,0144601;0;0;0;0;90;0;0;0;0;-1;-1
0,3477934;0;0;0;0;90;0;0;0;0;-1;-1
0,3848373;0;0;0;0;90;0;0;0;0;-1;-1
0,3976827;0;0;0;0;90;0;0;0;0;-1;-1
0,4070673;0;0;0;0;90;0;0;0;0;-1;-1
0,4173873;0;0;0;0;90;0;0;0;0;-1;-1
0,4284742;0;0;0;0;90;0;0;0;0;-1;-1
0,442456;0;0;0;0;90;0;0;0;0;-1;-1
0,4551115;0;0;0;0;90;0;0;0;0;-1;-1
0,4657163;0;0;0;0;90;0;0;0;0;-1;-1
0,4785204;0;0;0;0;90;0;0;0;0;-1;-1
0,4898922;0;0;0;0;90;0;0;0;0;-1;-1
0,5022197;0;0;0;0;90;0;0;0;0;-1;-1
0,5236871;0;0;0;0;90;0;0;0;0;-1;-1
0,5388744;0;0;0;0;90;0;0;0;0;-1;-1
0,5538837;0;0;0;0;90;0;0;0;0;-1;-1
0,5626005;0;0;0;0;90;0;0;0;0;-1;-1
0,5725181;0;0;0;0;90;0;0;0;0;-1;-1
0,5818226;0;0;0;0;90;0;0;0;0;-1;-1
0,5915049;0;0;0;0;90;0;0;0;0;-1;-1
0,6037648;0;0;0;0;90;0;0;0;0;-1;-1
0,616828;0;0;0;0;90;0;0;0;0;-1;-1
0,6258716;0;0;0;0;90;0;0;0;0;-1;-1
0,6435405;0;0;0;0;90;0;0;0;0;-1;-1
0,6534358;0;0;0;0;90;0;0;0;0;-1;-1
0,6651943;0;0;0;0;90;0;0;0;0;-1;-1
0,6776688;0;0;0;0;90;0;0;0;0;-1;-1
0,687011;0;0;0;0;90;0;0;0;0;-1;-1
0,6973949;0;0;0;0;90;0;0;0;0;-1;-1
0,7071088;0;0;0;0;90;0;0;0;0;-1;-1
0,71952;0;0;0;0;90;0;0;0;0;-1;-1
0,7339758;0;0;0;0;90;0;0;0;0;-1;-1
0,7441671;0;0;0;0;90;0;0;0;0;-1;-1
0,7551964;0;0;0;0;90;0;0;0;0;-1;-1
0,7647874;0;0;0;0;90;0;0;0;0;-1;-1
0,7744889;0;0;0;0;90;0;0;0;0;-1;-1
0,7841126;0;0;0;0;90;0;0;0;0;-1;-1
0,7959024;0;0;0;0;90;0;0;0;0;-1;-1
0,8051848;0;0;0;0;90;0;0;0;0;-1;-1
0,8197911;0;0;0;0;90;0;0;0;0;-1;-1
0,8302611;0;0;0;0;90;0;0;0;0;-1;-1
0,8403678;0;0;0;0;90;0;0;0;0;-1;-1
0,8533929;0;0;0;0;90;0;0;0;0;-1;-1
0,8629111;0;0;0;0;90;0;0;0;0;-1;-1
0,877003;0;0;0;0;90;0;0;0;0;-1;-1
0,8864503;0;0;0;0;90;0;0;0;0;-1;-1
0,8969332;0;0;0;0;90;0;0;0;0;-1;-1
0,9068804;0;0;0;0;90;0;0;0;0;-1;-1
0,9168607;0;0;0;0;90;0;0;0;0;-1;-1
0,9270547;0;0;0;0;90;0;0;0;0;-1;-1
0,9363785;0;0;0;0;90;0;0;0;0;-1;-1
0,945199;0;0;0;0;90;0;0;0;0;-1;-1
0,959749;0;0;0;0;90;0;0;0;0;-1;-1
0,9729801;0;0;0;0;90;0;0;0;0;-1;-1
0,9821419;0;0;0;0;90;0;0;0;0;-1;-1
0,9961659;0;0;0;0;90;0;0;0;0;-1;-1
1,005797;0;0;0;0;90;0;0;0;0;-1;-1
1,026935;0;0;0;0;90;0;0;0;0;-1;-1
1,041451;0;0;0;0;90;0;0;0;0;-1;-1
1,058903;0;0;0;0;90;0;0;0;0;-1;-1
1,072515;0;0;0;0;90;0;0;0;0;-1;-1
1,082265;0;0;0;0;90;0;0;0;0;-1;-1
1,09201;0;0;0;0;90;0;0;0;0;-1;-1
1,101085;0;0;0;0;90;0;0;0;0;-1;-1
1,112226;0;0;0;0;90;0;0;0;0;-1;-1
1,129486;0;0;0;0;90;0;0;0;0;-1;-1
1,142823;0;0;0;0;90;0;0;0;0;-1;-1
1,165578;0;0;0;0;90;0;0;0;0;-1;-1
1,180659;0;0;0;0;90;0;0;0;0;-1;-1
1,194537;0;0;0;0;90;0;0;0;0;-1;-1
1,204578;0;0;0;0;90;0;0;0;0;-1;-1
1,225224;0;0;0;0;90;0;0;0;0;-1;-1
1,245902;0;0;0;0;90;0;0;0;0;-1;-1
1,257661;0;0;0;0;90;0;0;0;0;-1;-1
1,267429;0;0;0;0;90;0;0;0;0;-1;-1
1,284865;0;0;0;0;90;0;0;0;0;-1;-1
1,298212;0;0;0;0;90;0;0;0;0;-1;-1
1,307492;0;0;0;0;90;0;0;0;0;-1;-1
1,319472;0;0;0;0;90;0;0;0;0;-1;-1
1,335256;0;0;0;0;90;0;0;0;0;-1;-1
1,344469;0;0;0;0;90;0;0;0;0;-1;-1
1,355648;0;0;0;0;90;0;0;0;0;-1;-1
1,365476;0;0;0;0;90;0;0;0;0;-1;-1
1,378209;0;0;0;0;90;0;0;0;0;-1;-1
1,397667;0;0;0;0;90;0;0;0;0;-1;-1
1,412385;0;0;0;0;90;0;0;0;0;-1;-1
1,424454;0;0;0;0;90;0;0;0;0;-1;-1
1,440342;0;0;0;0;90;0;0;0;0;-1;-1
1,454308;0;0;0;0;90;0;0;0;0;-1;-1
1,465829;0;0;0;0;90;0;0;0;0;-1;-1
1,475618;0;0;0;0;90;0;0;0;0;-1;-1
1,485599;0;0;0;0;90;0;0;0;0;-1;-1
1,496966;0;0;0;0;90;0;0;0;0;-1;-1
1,505907;0;0;0;0;90;0;0;0;0;-1;-1
1,534459;0;0;0;0;90;0;0;0;0;-1;-1
1,548113;0;0;0;0;90;0;0;0;0;-1;-1
1,558375;0;0;0;0;90;0;0;0;0;-1;-1
1,569803;0;0;0;0;90;0;0;0;0;-1;-1
1,581502;0;0;0;0;90;0;0;0;0;-1;-1
1,591938;0;0;0;0;90;0;0;0;0;-1;-1
1,60149;0;0;0;0;90;0;0;0;0;-1;-1
1,611204;0;0;0;0;90;0;0;0;0;-1;-1
1,622905;0;0;0;0;90;0;0;0;0;-1;-1
1,637193;0;0;0;0;90;0;0;0;0;-1;-1
1,647144;0;0;0;0;90;0;0;0;0;-1;-1
1,658905;0;0;0;0;90;0;0;0;0;-1;-1
1,67084;0;0;0;0;90;0;0;0;0;-1;-1
1,681683;0;0;0;0;90;0;0;0;0;-1;-1
1,691758;0;0;0;0;90;0;0;0;0;-1;-1
1,70221;0;0;0;0;90;0;0;0;0;-1;-1
1,713881;0;0;0;0;90;0;0;0;0;-1;-1
1,724344;0;0;0;0;90;0;0;0;0;-1;-1
1,740172;0;0;0;0;90;0;0;0;0;-1;-1
1,753348;0;0;0;0;90;0;0;0;0;-1;-1
1,765086;0;0;0;0;90;0;0;0;0;-1;-1
1,776569;0;0;0;0;90;0;0;0;0;-1;-1
1,787469;0;0;0;0;90;0;0;0;0;-1;-1
1,796724;0;0;0;0;90;0;0;0;0;-1;-1
1,806255;0;0;0;0;90;0;0;0;0;-1;-1
1,827136;0;0;0;0;90;0;0;0;0;-1;-1
1,837366;0;0;0;0;90;0;0;0;0;-1;-1
