Areas
Area;Time spent in Area (s)
(4,5);1,672114
(4,4);1,854067
(4,3);1,942705
(4,2);1,927457
(4,1);2,167688
(4,0);0,483242
(4,1);0
(4,2);1,945132
(4,3);1,904148
(4,4);1,870089
(4,5);1,898113


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Left;0,6203193;1,370484;0,750165;1,293429
Left;1,688346;2,369153;0,6808066;1,307124
Left;2,674228;3,405055;0,7308264;1,265165
Right;3,234821;3,941449;0,7066283;1,309949
Left;3,692085;4,406106;0,714021;1,288577
Right;4,258273;4,942514;0,6842413;1,278117
Left;4,673918;5,522235;0,8483176;1,277528
Right;5,270401;5,921951;0,6515498;1,215387
Left;5,747027;6,503208;0,7561812;1,241305
Right;6,298066;7,025903;0,7278376;1,284742
Left;6,827052;7,575313;0,748261;1,289565
Right;7,272659;8,06286;0,7902002;1,279983
Left;7,888111;8,638474;0,7503633;1,238281
Right;8,449543;9,141504;0,6919613;1,251876
Left;8,962723;9,638397;0,6756744;1,218761
Right;9,437003;11,05722;1,620221;1,66929
Left;10,03388;10,65136;0,6174803;1,026786
Left;10,96011;11,51859;0,5584803;0,3890165
Right;11,46313;11,96688;0,5037537;0,2805203
Left;11,99843;12,77376;0,7753267;0,7517118
Right;12,64497;13,36038;0,7154026;1,139961
Left;13,17784;13,9795;0,8016558;1,223964
Right;13,76729;14,50189;0,7345972;1,249701
Right;14,83196;15,5296;0,6976471;1,282133
Right;15,88146;16,56827;0,6868057;1,265492
Right;19,33426;19,73573;0,4014702;1,102057


Landmarks
Area;Time spent looking at landmarks (s)


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)


