Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s)
0,00901;-3,866395;0,06299347;-7,290928;352,4292;171,196;357,0699;0;0;0;-1;-1
0,3423433;-3,872592;0,05804768;-7,211183;358,5078;171,2686;357,2019;0;0,2399558;0;-1;-1
0,3702587;-3,851657;0,02165015;-6,839686;359,2404;182,4158;1,636886;0;1,251413;0;-1;-1
0,3872329;-3,851477;0,02196311;-6,838952;358,9225;182,2208;1,836273;0;1,197251;0;-1;-1
0,4013346;-3,851333;0,02207072;-6,838827;358,7427;182,1322;1,914765;0;1,154703;0;-1;-1
0,4272045;-3,850963;0,02250064;-6,838661;358,3325;181,824;1,96744;0;1,084241;0;-1;-1
0,4377415;-3,85034;0,0231743;-6,838303;357,6397;181,546;2,030332;0;1,059271;0;-1;-1
0,4490885;-3,85034;0,0231743;-6,838303;357,6397;181,546;2,030332;0;1,031959;0;-1;-1
0,4598902;-3,850078;0,02415363;-6,837918;356,6737;181,4115;1,956949;0;1,008269;0;-1;-1
0,4694057;-3,850078;0,02415363;-6,837918;356,6737;181,4115;1,956949;0;0,9874302;0;-1;-1
0,4816104;-3,850006;0,02544957;-6,837856;355,3832;181,6279;1,366547;0;0,9621308;0;-1;-1
0,495319;-3,850542;0,02709979;-6,837129;353,853;181,7256;0,5726604;0;0,9368674;0;-1;-1
0,5071675;-3,850542;0,02709979;-6,837129;353,853;181,7256;0,5726604;0;0,9145844;0;-1;-1
0,5178459;-3,851116;0,02959867;-6,835901;351,4537;182,0228;359,5595;0;0,8980554;0;-1;-1
0,5275166;-3,851116;0,02959867;-6,835901;351,4537;182,0228;359,5595;0;0,8813058;0;-1;-1
0,5465537;-3,85179;0,03348092;-6,833403;347,6603;182,4291;358,5283;0;0,8549069;0;-1;-1
0,5579186;-3,852045;0,0387298;-6,829329;341,8667;182,7858;358,1647;0;0,8446422;0;-1;-1
0,5721768;-3,852045;0,0387298;-6,829329;341,8667;182,7858;358,1647;0;0,8232577;0;-1;-1
0,5838681;-3,852045;0,0387298;-6,829329;341,8667;182,7858;358,1647;0;0,8065145;0;-1;-1
0,6056788;-3,852045;0,0387298;-6,829329;341,8667;182,7858;358,1647;0,0223848;0,7770331;0;-1;-1
0,6203193;-3,852045;0,0387298;-6,829329;341,8667;182,7858;358,1647;2,676618;0,7584236;0;-1;-1
0,6316109;-3,852045;0,0387298;-6,829329;341,8667;182,7858;358,1647;0,01025228;0,7446687;1;7,84079;-1,620319
0,6435761;-3,86102;0,1012244;-6,751794;300,4773;185,0906;346,0992;1,808749;0,8536294;1;7,84079;-1,620319
0,6624113;-3,862604;0,110141;-6,733442;297,9017;184,8504;345,8146;0,2287101;0,8572137;1;7,84079;-1,620319
0,6867405;-3,866389;0,1258348;-6,688851;298,0325;180,3441;350,4189;0,4072638;0,8924733;1;7,84079;-1,620319
0,7032399;-3,869635;0,1355176;-6,635597;300,482;176,0125;355,0094;0,6877255;0,9481143;1;7,84079;-1,620319
0,7163073;-3,872593;0,1373221;-6,576716;303,2698;172,9805;357,8455;0,9308257;1,01395;1;7,84079;-1,620319
0,7255329;-3,872593;0,1373221;-6,576716;303,2698;172,9805;357,8455;3,442156E-08;1,000894;1;7,84079;-1,620319
0,742667;-3,875617;0,1334268;-6,511118;307,7652;171,0984;359,5008;0,7811443;1,067027;1;7,84079;-1,620319
