Areas
Area;Time spent in Area (s)
(1,5);5,32617
(2,5);7,114522
(2,4);3,275236
(3,3);3,516277
(4,3);3,643946
(4,2);2,079668
(3,2);3,426102
(2,2);0,06643867
(2,1);3,775047


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;0,6002492;1,117793;0,5175443;0,5586706
Left;0,9417504;1,561801;0,6200507;0,7084473
Right;1,499112;2,111288;0,6121759;0,6688377
Left;2,111288;2,443213;0,3319249;0,1622232
Left;3,813672;4,515909;0,7022371;0,4484281
Right;4,561634;5,287886;0,7262516;0,9403354
Left;5,153074;5,957746;0,8046718;1,037924
Right;5,919418;6,610629;0,6912107;1,075199
Left;6,482276;7,234239;0,7519631;0,9997777
Right;7,199883;7,638885;0,439003;0,3283296
Left;9,679499;10,18068;0,5011845;0,306658
Right;10,35485;10,74347;0,3886242;0,2198773
Left;11,67257;12,25152;0,5789518;0,3187217
Right;12,19555;12,98034;0,7847929;0,9692277
Left;12,84925;13,56034;0,7110977;1,004356
Right;13,40069;14,18412;0,7834263;0,9502622
Left;14,02132;14,7612;0,7398767;0,8355222
Right;14,72104;15,39932;0,6782808;0,9226294
Left;15,24384;15,99694;0,7531013;0,9455597
Right;15,84214;16,60468;0,7625427;0,9386384
Left;16,45605;17,20172;0,7456665;1,137663
Right;16,96801;17,76138;0,7933769;1,132486
Left;17,60369;18,29712;0,6934299;0,9105664
Right;18,17561;18,77604;0,6004333;0,8284892
Left;18,71656;19,4861;0,769537;0,7896777
Right;19,36118;20,09945;0,7382736;0,9810429
Left;19,96675;20,62243;0,6556816;0,8731953
Right;20,48629;21,16075;0,6744595;0,6649342
Left;21,11364;21,83568;0,7220421;0,8816903
Right;21,75986;22,35596;0,5961075;0,7515308
Left;22,24747;23,00102;0,7535496;0,8508979
Right;22,86405;23,54453;0,680481;0,8393366
Left;23,45536;24,18305;0,727684;0,8297887
Right;24,17041;24,77653;0,6061172;0,7559233
Left;24,7033;25,33581;0,6325073;0,7724471
Right;25,23716;25,882;0,6448326;0,6233751
Left;25,77894;26,54609;0,7671413;0,7855422
Right;26,45428;27,11582;0,661541;0,7035213
Left;26,99788;27,79813;0,8002529;0,7720472
Right;27,73406;28,40091;0,6668491;0,7112302
Left;28,28228;29,01971;0,7374325;0,8442503
Right;28,8597;29,57045;0,7107506;0,9901394
Left;29,46243;30,18901;0,7265797;0,9134607
Right;30,06094;30,75445;0,693512;0,8050867
Left;30,7163;31,46689;0,7505913;0,8440186
Right;31,29029;32,00817;0,7178898;0,9322072
Left;31,86376;32,57951;0,7157497;0,67699
Right;32,45878;33,11873;0,6599541;0,7498998
Left;33,10287;33,8374;0,7345314;0,6649097
Right;33,70352;34,44381;0,7402878;0,8729567
Left;34,37585;35,0797;0,7038536;0,8704746
Right;34,97603;35,67047;0,6944427;0,825482
Left;35,60595;36,29568;0,6897392;0,7151583
Right;36,20566;36,91851;0,7128525;0,7379424
Left;36,82317;37,58344;0,7602654;0,8525285
Right;37,50248;38,13784;0,6353531;0,7970709


Landmarks
Area;Time spent looking at landmarks (s)
(1,5);0,32
(2,5);0,34
(2,4);0
(3,3);0
(4,3);0
(4,2);0,7399998
(3,2);0
(2,2);0


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
1,834548;(2,5);0


