Areas
Area;Time spent in Area (s)
(4,5);2,326929
(3,5);5,693218
(3,4);0,3173256
(2,3);2,797314
(1,3);2,955124
(1,2);2,612534
(1,1);4,80868
(2,1);0,3070984
(3,1);2,531849


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;0,6071418;1,335119;0,7279775;1,001223
Left;1,022895;1,789083;0,7661878;1,193105
Right;1,67996;2,134686;0,454726;1,151898
Left;2,161173;2,923561;0,762388;1,104215
Right;2,719238;3,431381;0,7121429;1,100576
Left;3,26445;4,015341;0,7508912;0,9342768
Right;3,906988;4,482429;0,5754409;0,8275027
Left;4,482428;5,724168;1,24174;0,5922822
Right;5,428619;6,235412;0,8067923;1,041904
Left;6,144931;6,819317;0,6743855;1,13641
Right;6,705335;7,409727;0,704392;1,13153
Left;7,266528;8,010468;0,7439408;1,142426
Right;7,846138;8,554868;0,7087302;1,172766
Left;8,395984;9,076337;0,6803532;1,131398
Right;8,986529;9,710078;0,7235489;0,998878
Left;9,547015;10,28181;0,7347927;0,9029599
Right;10,22592;10,97526;0,7493343;0,759837
Left;10,85685;11,75335;0,8964949;1,03733
Right;11,59155;12,27455;0,6830053;1,065482
Left;12,15472;12,90914;0,7544184;1,082699
Right;12,72337;13,45023;0,7268629;1,115587
Left;13,32239;14,06257;0,74018;1,088163
Right;13,90694;14,6384;0,7314644;1,067899
Left;14,53625;15,2828;0,7465572;0,9155179
Right;15,10275;15,80434;0,7015877;0,7784081
Left;15,756;16,54956;0,7935638;0,7441602
Right;16,32639;17,17235;0,8459568;1,120045
Left;17,01379;17,7312;0,7174168;1,109551
Right;17,58754;18,25242;0,6648846;1,104467
Left;18,14081;18,90306;0,7622509;1,076518
Right;18,75206;19,40211;0,6500454;1,074919
Left;19,27648;20,02971;0,7532368;1,025542
Right;19,90508;20,54294;0,6378593;1,024498
Left;20,44497;21,26327;0,8183079;0,8534927
Right;21,05293;21,74585;0,6929169;0,9276053
Left;21,5794;22,36366;0,7842617;0,9112011
Right;22,16926;22,96988;0,8006153;1,105619
Left;22,86993;23,55194;0,6820126;1,137583
Right;23,4038;24,13961;0,735815;1,129496
Left;23,94764;24,67906;0,7314167;1,07885
Right;24,55631;25,27159;0,715271;1,008695
Left;25,06804;25,82842;0,7603836;1,003112
Right;25,68637;26,47422;0,7878475;0,8323099
Left;26,30893;27,05292;0,7439861;0,9630846


Landmarks
Area;Time spent looking at landmarks (s)
(4,5);0
(3,5);0,4
(3,4);0
(2,3);0
(1,3);0,54
(1,2);0
(1,1);0
(2,1);0


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)


