Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
0,0075667;-5,438029;1,599647;-5,820692;8,570128;88,92431;358,0652;-1;0;0
0,3409;-5,422275;1,602407;-5,823933;8,009398;89,25394;358,0652;0,04825106;0,04825106;0,01608369
0,366057;-5,069389;1,58445;-5,815659;8,744627;88,82694;0,07386525;-1;1,029502;0,3690664
0,3811736;-5,049832;1,583167;-5,811836;8,513029;89,21207;0,1984485;1,318258;1,041185;0,388994
0,3910428;-5,049832;1,583167;-5,811836;8,513029;89,21207;0,1984485;0;1,014389;0,388994
0,4050125;-5,018943;1,583765;-5,805093;8,528983;89,41219;0,3823984;2,263184;1,058282;0,42061
0,4162057;-5,018943;1,583765;-5,805093;8,528983;89,41219;0,3823984;0;1,029295;0,42061
0,4331625;-4,998469;1,585338;-5,800372;8,600101;89,61705;0,6800036;1,239131;1,037655;0,4416217
0,4443418;-4,977817;1,588246;-5,795449;8,386425;89,61391;0,9024501;1,899086;1,059703;0,4628521
0,456048;-4,977817;1,588246;-5,795449;8,386425;89,61391;0,9024501;0;1,032043;0,4628521
0,4755854;-4,957255;1,591301;-5,790418;8,13166;89,49152;1,155603;1,083469;1,03419;0,4840203
0,4912136;-4,937193;1,593799;-5,785843;8,527371;89,44592;1,454192;1,316657;1,043317;0,5045972
0,5071557;-4,9175;1,596216;-5,781769;8,82361;89,35751;1,709641;1,261432;1,050278;0,5247071
0,5203941;-4,907762;1,59743;-5,779884;8,907376;89,25722;1,769829;0,7492757;1,042507;0,5346263
0,5326296;-4,907762;1,59743;-5,779884;8,907376;89,25722;1,769829;0;1,018214;0,5346263
0,5458731;-4,878705;1,601278;-5,775139;9,102829;89,04726;2,064127;2,223163;1,047858;0,5640687
0,5573379;-4,868994;1,60259;-5,774022;9,003081;89,0086;2,225128;0,8525521;1,043785;0,5738431
0,5699932;-4,868994;1,60259;-5,774022;9,003081;89,0086;2,225128;0;1,020299;0,5738431
0,583099;-4,839858;1,606212;-5,770953;9,249842;88,84529;2,200404;2,235452;1,04797;0,6031405
0,5938959;-4,839858;1,606212;-5,770953;9,249842;88,84529;2,200404;0;1,028672;0,6031405
0,6071418;-4,820385;1,608163;-5,769608;9,118101;88,74562;2,370858;1,473588;1,038501;0,6226594
0,6201096;-4,810647;1,609106;-5,76901;9,086929;88,65536;2,337581;0,7523841;1,032444;0,6324162
0,6324263;-4,810647;1,609106;-5,76901;9,086929;88,65536;2,337581;0;1,012093;0,6324162
