Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s)
0,0075667;-5,997311;0,09407839;-5,701169;315,429;289,1867;330,4301;0;0;0;-1;-1
0,3409;-5,966564;0,1089428;-5,697278;313,0445;289,1778;332,0272;0;0,0929747;0;-1;-1
0,366057;-4,94854;0,05119643;-5,70313;17,19076;282,0424;357,0551;0;0,08645022;0;-1;-1
0,3811736;-4,940095;0,03978475;-5,711068;12,60489;284,496;355,9102;0;0,1139739;0;-1;-1
0,3910428;-4,940095;0,03978475;-5,711068;12,60489;284,496;355,9102;0;0,1110406;0;-1;-1
0,4050125;-4,931541;0,02565665;-5,721871;6,782587;288,4449;354,6165;0;0,1418083;0;-1;-1
0,4162057;-4,931541;0,02565665;-5,721871;6,782587;288,4449;354,6165;0;0,137924;0;-1;-1
0,4331625;-4,929074;0,02122317;-5,720376;4,741864;288,0517;354,7795;0;0,139208;0;-1;-1
0,4443418;-4,928392;0,01922703;-5,720436;3,758862;288,327;355,1505;0;0,1372122;0;-1;-1
0,456048;-4,928392;0,01922703;-5,720436;3,758862;288,327;355,1505;0;0,1336307;0;-1;-1
0,4755854;-4,928103;0,01788233;-5,720267;3,112289;288,3664;355,4679;0;0,1287683;0;-1;-1
0,4912136;-4,928165;0,01708872;-5,72046;2,709144;288,5061;355,6113;0;0,125027;0;-1;-1
0,5071557;-4,928031;0,01653732;-5,720582;2,363154;288,5489;355,8411;0;0,1213995;0;-1;-1
0,5203941;-4,928012;0,01637788;-5,72028;2,282257;288,41;355,7306;0;0,1188554;0;-1;-1
0,5326296;-4,928012;0,01637788;-5,72028;2,282257;288,41;355,7306;0;0,1160857;0;-1;-1
0,5458731;-4,927857;0,01596165;-5,720725;2,051151;288,5893;355,9121;0;0,1141052;0;-1;-1
0,5573379;-4,927897;0,01587602;-5,720383;2,05014;288,4459;355,7578;0;0,1123519;0;-1;-1
0,5699932;-4,927897;0,01587602;-5,720383;2,05014;288,4459;355,7578;0;0,1098239;0;-1;-1
0,583099;-4,927852;0,01577181;-5,720123;2,018667;288,398;355,5417;0;0,1077823;0;-1;-1
0,5938959;-4,927852;0,01577181;-5,720123;2,018667;288,398;355,5417;0,009770277;0,1057976;0;-1;-1
0,6071418;-4,92782;0,01571368;-5,720076;2,001099;288,3694;355,464;8,455338;0,1035549;0;-1;-1
0,6201096;-4,927783;0,01573387;-5,720086;1,939709;288,3654;355,3973;0,235037;0,1014262;1;7,550068;-1,607142
0,6324263;-4,927783;0,01573387;-5,720086;1,939709;288,3654;355,3973;8,740658E-10;0,09942699;1;7,550068;-1,607142
0,6424414;-4,927641;0,01558905;-5,720145;1,929464;288,2798;355,3716;0,3080317;0,09809958;1;7,550068;-1,607142
0,6561417;-4,927641;0,01558905;-5,720145;1,929464;288,2798;355,3716;8,494835E-10;0,09602735;1;7,550068;-1,607142
0,6705109;-4,928405;0,0157556;-5,719751;1,787205;288,6068;355,1257;0,07496466;0,09524176;1;7,550068;-1,607142
0,6817325;-4,928493;0,01575301;-5,720175;1,742426;288,3;355,1398;0,04331695;0,09429885;1;7,550068;-1,607142
0,6907796;-4,928493;0,01575301;-5,720175;1,742426;288,3;355,1398;9,41736E-10;0,09305015;1;7,550068;-1,607142
0,7011098;-4,928409;0,01560092;-5,720273;1,741743;288,2479;355,1535;0,01302525;0,09185085;1;7,550068;-1,607142
0,7144507;-4,928409;0,01560092;-5,720273;1,741743;288,2479;355,1535;0,01219351;0,09011737;1;7,550068;-1,607142
0,7244316;-4,927688;0,01540294;-5,719636;1,982466;288,0792;354,8706;0,02304579;0,09020383;1;7,550068;-1,607142
0,7357537;-4,927688;0,01540294;-5,719636;1,982466;288,0792;354,8706;0,006273178;0,08880131;1;7,550068;-1,607142
0,7483259;-4,928133;0,01581962;-5,71936;2,004049;288,3057;354,8338;0,01296548;0,08800045;1;7,550068;-1,607142
0,7621954;-4,928098;0,01545306;-5,719379;1,698358;288,587;355,3591;0,008190298;0,08643597;1;7,550068;-1,607142
0,774323;-4,928098;0,01545306;-5,719379;1,698358;288,587;355,3591;0,007529227;0,08506883;1;7,550068;-1,607142
0,7874701;-4,927409;0,01525814;-5,720478;1,547957;288,6042;355,3156;0,02406144;0,08529709;1;7,550068;-1,607142
0,7987597;-4,928352;0,0156227;-5,721162;1,445531;288,8307;355,9375;0,03039496;0,08555274;1;7,550068;-1,607142
0,8101467;-4,928352;0,0156227;-5,721162;1,445531;288,8307;355,9375;9,115167E-10;0,08433893;1;7,550068;-1,607142
