Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s)
0,0075667;-5,543688;0,02072097;-5,856816;1,343598;271,3438;0,7876749;0;0;0;-1;-1
0,3409;-5,543855;0,02061107;-5,856954;1,349881;271,4899;0,7942591;0;0,0006504062;0;-1;-1
0,366057;-5,540185;0,02567802;-5,858906;355,6462;272,4354;2,194311;0;0,01219971;0;-1;-1
0,3811736;-5,539052;0,02782069;-5,859212;353,6066;272,4283;2,518062;0;0,01484981;0;-1;-1
0,3910428;-5,539052;0,02782069;-5,859212;353,6066;272,4283;2,518062;0;0,01446764;0;-1;-1
0,4050125;-5,535925;0,03278432;-5,859128;348,6795;272,0926;3,052374;0;0,0218276;0;-1;-1
0,4162057;-5,535925;0,03278432;-5,859128;348,6795;272,0926;3,052374;0;0,02122972;0;-1;-1
0,4331625;-5,532447;0,03794209;-5,859184;343,7805;271,9075;3,320282;0;0,02855715;0;-1;-1
0,4443418;-5,532447;0,03794209;-5,859184;343,7805;271,9075;3,320282;0;0,02782623;0;-1;-1
0,456048;-5,532447;0,03794209;-5,859184;343,7805;271,9075;3,320282;0;0,02709991;0;-1;-1
0,4755854;-5,532447;0,03794209;-5,859184;343,7805;271,9075;3,320282;0;0,02596863;0;-1;-1
0,4912136;-5,532447;0,03794209;-5,859184;343,7805;271,9075;3,320282;0;0,0251295;0;-1;-1
0,5071557;-5,532447;0,03794209;-5,859184;343,7805;271,9075;3,320282;0;0,0243276;0;-1;-1
0,5203941;-5,532447;0,03794209;-5,859184;343,7805;271,9075;3,320282;0;0,0236996;0;-1;-1
0,5326296;-5,532447;0,03794209;-5,859184;343,7805;271,9075;3,320282;0;0,02314733;0;-1;-1
0,5458731;-5,42687;0,1170665;-5,866424;299,5245;270,0136;6,314448;0;0,2191665;0;-1;-1
0,5573379;-5,408757;0,1236895;-5,866724;298,9602;271,6999;4,729183;0;0,2475472;0;-1;-1
0,5699932;-5,408757;0,1236895;-5,866724;298,9602;271,6999;4,729183;0;0,2419771;0;-1;-1
0,583099;-5,347896;0,1350163;-5,868596;301,7554;276,7094;356,239;0;0,3422652;0;-1;-1
0,5938959;-5,347896;0,1350163;-5,868596;301,7554;276,7094;356,239;6,904862E-05;0,3359626;0;-1;-1
0,6071418;-5,299338;0,1345803;-5,869525;304,7144;278,7696;354,5447;0,7361845;0,4095423;0;-1;-1
0,6201096;-5,273309;0,1324906;-5,870015;306,341;279,2085;354,0803;0,427617;0,4433724;1;7,939799;-1,607142
0,6324263;-5,273309;0,1324906;-5,870015;306,341;279,2085;354,0803;3,037728E-08;0,434633;1;7,939799;-1,607142
0,6424414;-5,188099;0,1207292;-5,871356;313,4372;279,631;354,5595;1,863007;0,5620093;1;7,939799;-1,607142
0,6561417;-5,188099;0,1207292;-5,871356;313,4372;279,631;354,5595;2,718347E-08;0,5501376;1;7,939799;-1,607142
0,6705109;-5,126509;0,1097199;-5,872725;319,3017;278,7168;354,9366;0,9216326;0,6311398;1;7,939799;-1,607142
0,6817325;-5,092093;0,1042743;-5,873377;323,2097;278,4576;358,7199;0,6945242;0,6716935;1;7,939799;-1,607142
0,6907796;-5,092093;0,1042743;-5,873377;323,2097;278,4576;358,7199;2,770189E-08;0,662799;1;7,939799;-1,607142
0,7011098;-5,025583;0,09184234;-5,87522;329,0476;277,3035;0,4907257;1,485445;0,748862;1;7,939799;-1,607142
0,7144507;-5,025583;0,09184234;-5,87522;329,0476;277,3035;0,4907257;2,857963E-08;0,7347289;1;7,939799;-1,607142
0,7244316;-4,924033;0,07337848;-5,877496;338,2949;276,5374;1,420697;2,460543;0,8661941;1;7,939799;-1,607142
0,7357537;-4,924033;0,07337848;-5,877496;338,2949;276,5374;1,420697;2,986154E-08;0,8527263;1;7,939799;-1,607142
0,7483259;-4,854315;0,06262659;-5,880534;344,24;276,4235;0,6958759;1,368722;0,9324592;1;7,939799;-1,607142
0,7621954;-4,819246;0,05854536;-5,881276;347,6599;276,7178;1,706991;2,012285;0,9618042;1;7,939799;-1,607142
0,774323;-4,819246;0,05854536;-5,881276;347,6599;276,7178;1,706991;0,4093469;0,9465916;1;7,939799;-1,607142
0,7874701;-4,713129;0,0492615;-5,884022;356,9688;277,0784;2,019486;1,955722;1,066745;1;7,939799;-1,607142
0,7987597;-4,678652;0,04800091;-5,885531;359,6117;276,7196;2,429734;0,4530343;1,095141;1;7,939799;-1,607142
0,8101467;-4,678652;0,04800091;-5,885531;359,6117;276,7196;2,429734;5,156317E-09;1,079603;1;7,939799;-1,607142
0,8202658;-4,610332;0,04813868;-5,88674;5,173012;276,3386;3,514395;0,7578303;1,150239;1;7,939799;-1,607142
0,8297599;-4,610332;0,04813868;-5,88674;5,173012;276,3386;3,514395;0,5025343;1,136957;1;7,939799;-1,607142
0,8422902;-4,545145;0,05197344;-5,887268;10,46988;275,9785;4,711565;1,301806;1,197986;1;7,939799;-1,607142
0,8526641;-4,545145;0,05197344;-5,887268;10,46988;275,9785;4,711565;2,168054;1,18328;1;7,939799;-1,607142
