Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;0;-1;-1;0
0,3333333;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,366432;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,3962302;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,4128409;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,4305231;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,446326;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,4628808;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,479589;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,4973611;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,5148996;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,5297093;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,546221;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,5628816;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,5795601;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,5967483;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,6134361;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,6298565;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,6461546;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,6633443;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,6814246;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,6963128;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,7127379;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,7298537;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,7463649;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,7631133;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,7796805;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,7964062;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,813636;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,8319511;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,8465887;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,8632089;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,8963423;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,9129798;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,9301593;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,9467035;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,9631008;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
0,9801528;-6,330803;0,08671092;-0,9272099;17,11144;197,6376;270,275;0;1;0;-1;-1
