Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3333333;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3576925;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3763928;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3907791;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4035587;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4162553;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4308895;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,445378;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4583308;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4726065;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4846546;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,497398;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5097758;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5232922;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5367417;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5504385;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5616205;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5732814;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5850525;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5978787;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6170889;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6296483;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6429636;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6575575;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6704234;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6817744;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6941335;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7058945;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7178487;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7307299;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7422602;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7566525;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7719764;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,783675;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7958472;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8097676;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8206693;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8325556;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8451504;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8573651;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8683822;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8796782;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8929741;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,905766;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9174259;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9296266;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9428234;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9532983;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9642321;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9758536;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9872737;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9972978;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,014281;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
