Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;6,5;1,7;4,22;0;0;0;-1;0;-1;0
0,3333333;6,5;1,7;4,22;347,3;237,3;0;0;0;-1;0
0,3638386;6,5;1,7;4,22;345,9;234,0999;0;0;0;0;0
0,3802561;6,5;1,7;4,22;345,5;233,2;4,409316E-07;0;0;0;0
0,3940181;6,5;1,7;4,22;345,3;232,3999;0;0;0;0;0
0,4058093;6,5;1,7;4,22;345,2;232,0999;4,415354E-07;0;0;0;0
0,4193372;6,5;1,7;4,22;345,2;231,8999;0;0;0;0;0
0,4294099;6,5;1,7;4,22;345,1;231,7999;-4,417399E-07;0;0;0;0
0,448163;6,5;1,7;4,22;345,1;231,6999;0;0;0;0;0
0,4605252;6,5;1,7;4,22;345,1;231,5999;0;0;0;0;0
0,471314;6,5;1,7;4,22;345,3;231,4999;0;0;0;0;0
0,483836;6,5;1,7;4,22;345,4;231,3999;0;0;0;0;0
0,4970813;6,5;1,7;4,22;345,8;231,3999;0;0;0;0;0
0,5098592;6,5;1,7;4,22;346,3;231,2999;0;0;0;0;0
0,522828;6,5;1,7;4,22;346,8;231,2999;0;0;0;0;0
0,5353067;6,5;1,7;4,22;347,6;231,1999;-4,370829E-07;0;0;0;0
0,54676;6,5;1,7;4,22;348,3;231,0999;4,359445E-07;0;0;0;0
0,5590147;6,5;1,7;4,22;349,4;230,7999;0;0;0;0;0
0,5715661;6,5;1,7;4,22;351;230,0999;0;0;0;0;0
0,58484;6,5;1,7;4,22;352,4;229,4999;0;0;0;0;0
0,5963381;6,5;1,7;4,22;353,6;229,0999;0;0;0;0;0
0,6077631;6,5;1,7;4,22;354,7;228,4999;0;0;0;0;0
0,6215573;6,5;1,7;4,22;355,9;227,7999;-1,069955E-07;0;0;0;0
0,6340319;6,5;1,7;4,22;356,4;227,5999;0;0;0;0;0
0,6484342;6,5;1,7;4,22;357;227,3999;0;0;0;0;0
0,6655695;6,5;1,7;4,22;357;227,3999;0;0;0;0;0
0,6827061;6,5;1,7;4,22;357;227,3999;0;0;0;0;0
0,6992877;6,5;1,7;4,22;357;227,3999;0;0;0;0;0
0,7098056;6,5;1,7;4,22;357;227,3999;0;0;0;0;0
0,7201136;6,5;1,7;4,22;357;227,3999;0;0;0;0;0
0,737167;6,5;1,7;4,22;357;227,3999;0;0;0;0;0
0,7538009;6,5;1,7;4,22;357;227,3999;0;0;0;0;0
0,7707582;6,5;1,7;4,22;357;227,3999;0;0;0;0;0
0,7885908;6,5;1,7;4,22;357;227,3999;0;0;0;0;0
0,8010421;6,5;1,7;4,22;357;227,3999;0;0;0;0;0
0,8215358;6,5;1,7;4,22;357;227,3999;0;0;0;0;0
0,8400339;6,5;1,7;4,22;357;227,3999;0;0;0;0;0
0,85073;6,5;1,7;4,22;357;227,3999;0;0;0;0;0
0,8672622;6,5;1,7;4,22;357;227,3999;0;0;0;0;0
