Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3333333;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3638386;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3802561;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3940181;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4058093;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4193372;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4294099;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,448163;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4605252;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,471314;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,483836;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4970813;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5098592;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,522828;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5353067;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,54676;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5590147;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5715661;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,58484;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5963381;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6077631;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6215573;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6340319;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6484342;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6655695;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6827061;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6992877;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7098056;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7201136;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,737167;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7538009;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7707582;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7885908;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8010421;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8215358;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8400339;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,85073;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8672622;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8782693;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8899523;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9025372;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9196612;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9310454;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9494787;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9670391;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9808955;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9938809;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,005755;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,018837;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,03011;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,043034;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,055789;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,073889;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,085108;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
