Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;0;0;0;0;0;0;0;0;-1;-1;0
0,3333333;0;0;0;0;0;0;0;0;-1;-1;0
0,3698528;0;0;0;0;0;0;0;0;-1;-1;0
0,3989069;0;0;0;0;0;0;0;0;-1;-1;0
0,415498;0;0;0;0;0;0;0;0;-1;-1;0
0,4320444;0;0;0;0;0;0;0;0;-1;-1;0
0,4487524;0;0;0;0;0;0;0;0;-1;-1;0
0,4655442;0;0;0;0;0;0;0;0;-1;-1;0
0,481868;0;0;0;0;0;0;0;0;-1;-1;0
0,4997414;0;0;0;0;0;0;0;0;-1;-1;0
0,5178434;0;0;0;0;0;0;0;0;-1;-1;0
0,5322037;0;0;0;0;0;0;0;0;-1;-1;0
0,5496445;0;0;0;0;0;0;0;0;-1;-1;0
0,5829474;0;0;0;0;0;0;0;0;-1;-1;0
0,5989548;0;0;0;0;0;0;0;0;-1;-1;0
0,6156898;0;0;0;0;0;0;0;0;-1;-1;0
0,632163;0;0;0;0;0;0;0;0;-1;-1;0
0,6498116;0;0;0;0;0;0;0;0;-1;-1;0
0,6678443;0;0;0;0;0;0;0;0;-1;-1;0
0,6987575;0;0;0;0;0;0;0;0;-1;-1;0
0,7156988;0;0;0;0;0;0;0;0;-1;-1;0
0,7321349;0;0;0;0;0;0;0;0;-1;-1;0
0,7489848;0;0;0;0;0;0;0;0;-1;-1;0
0,7657003;0;0;0;0;0;0;0;0;-1;-1;0
0,7822239;0;0;0;0;0;0;0;0;-1;-1;0
0,7991154;0;0;0;0;0;0;0;0;-1;-1;0
0,8159037;0;0;0;0;0;0;0;0;-1;-1;0
0,8343817;0;0;0;0;0;0;0;0;-1;-1;0
0,8659797;0;0;0;0;0;0;0;0;-1;-1;0
0,882318;0;0;0;0;0;0;0;0;-1;-1;0
0,899008;0;0;0;0;0;0;0;0;-1;-1;0
0,9157668;0;0;0;0;0;0;0;0;-1;-1;0
0,9493;0;0;0;0;0;0;0;0;-1;-1;0
0,9663695;0;0;0;0;0;0;0;0;-1;-1;0
1,000855;0;0;0;0;0;0;0;0;-1;-1;0
1,015636;0;0;0;0;0;0;0;0;-1;-1;0
1,032332;0;0;0;0;0;0;0;0;-1;-1;0
1,049444;0;0;0;0;0;0;0;0;-1;-1;0
1,066001;0;0;0;0;0;0;0;0;-1;-1;0
1,082382;0;0;0;0;0;0;0;0;-1;-1;0
1,099706;0;0;0;0;0;0;0;0;-1;-1;0
1,1164;0;0;0;0;0;0;0;0;-1;-1;0
1,134297;0;0;0;0;0;0;0;0;-1;-1;0
1,149019;0;0;0;0;0;0;0;0;-1;-1;0
1,166036;0;0;0;0;0;0;0;0;-1;-1;0
1,182334;0;0;0;0;0;0;0;0;-1;-1;0
1,215877;0;0;0;0;0;0;0;0;-1;-1;0
1,232501;0;0;0;0;0;0;0;0;-1;-1;0
1,249355;0;0;0;0;0;0;0;0;-1;-1;0
1,265942;0;0;0;0;0;0;0;0;-1;-1;0
1,283265;0;0;0;0;0;0;0;0;-1;-1;0
1,300906;0;0;0;0;0;0;0;0;-1;-1;0
1,316185;0;0;0;0;0;0;0;0;-1;-1;0
1,332431;0;0;0;0;0;0;0;0;-1;-1;0
1,349321;0;0;0;0;0;0;0;0;-1;-1;0
1,365876;0;0;0;0;0;0;0;0;-1;-1;0
1,382789;0;0;0;0;0;0;0;0;-1;-1;0
1,39924;0;0;0;0;0;0;0;0;-1;-1;0
1,415901;0;0;0;0;0;0;0;0;-1;-1;0
1,432629;0;0;0;0;0;0;0;0;-1;-1;0
1,449898;0;0;0;0;0;0;0;0;-1;-1;0
1,468278;0;0;0;0;0;0;0;0;-1;-1;0
1,483412;0;0;0;0;0;0;0;0;-1;-1;0
1,499098;0;0;0;0;0;0;0;0;-1;-1;0
1,516062;0;0;0;0;0;0;0;0;-1;-1;0
1,532761;0;0;0;0;0;0;0;0;-1;-1;0
1,549201;0;0;0;0;0;0;0;0;-1;-1;0
1,566152;0;0;0;0;0;0;0;0;-1;-1;0
1,599389;0;0;0;0;0;0;0;0;-1;-1;0
1,616399;0;0;0;0;0;0;0;0;-1;-1;0
1,6349;0;0;0;0;0;0;0;0;-1;-1;0
1,649532;0;0;0;0;0;0;0;0;-1;-1;0
1,666409;0;0;0;0;0;0;0;0;-1;-1;0
1,682876;0;0;0;0;0;0;0;0;-1;-1;0
