Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,2953442;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3223682;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,341277;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3550208;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3690906;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,381156;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3938574;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4068199;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4194573;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4327056;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,44634;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4609077;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4722301;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4843837;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4970702;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5106906;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5221218;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,533335;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5450602;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5590402;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5723838;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5831076;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5974856;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6117014;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,622633;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6329994;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6497863;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6600276;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6731566;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6831647;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6946808;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7117235;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7290309;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7463394;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7565459;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7677492;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7794052;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7920321;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8028672;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8227636;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,833411;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,844826;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8579214;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,871821;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8832213;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8980451;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9081793;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9194177;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9314421;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9494918;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9616334;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9781071;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9882337;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9997152;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,016443;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,02771;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,03847;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,049987;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,060539;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,072282;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,089764;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,10883;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,121804;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,13746;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,149638;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,161388;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,173877;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,184539;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,196848;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,207459;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,220237;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,23732;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,250011;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,263548;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,276163;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,286943;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,297916;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,310173;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,327841;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,340397;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,351068;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,362581;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,375027;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,392204;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,405193;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,417672;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,429412;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,44065;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,454251;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,464469;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,475972;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,486991;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,497182;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
