Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;-7,01418;1,585444;-1,344416;329,8198;162,5567;352,5262;-1;0;-1;0
0,3333333;-7,013574;1,584063;-1,34486;329,7932;161,9629;352,9512;0,002253041;0,002253041;-1;0,0007510136
0,3670155;-7,011789;1,566191;-1,354264;328,8341;160,9502;353,894;0,2841907;0,02812737;0,76819;0,01032318
0,39169;-7,011432;1,565468;-1,354306;328,6666;161,1166;353,9803;0,01459274;0,02727476;-4,619836;0,01068325
0,408357;-7,01118;1,564977;-1,354299;328,5116;161,3429;354,0532;0,01508359;0,02677718;0,01187314;0,01093465
0,4253413;-7,01104;1,564745;-1,354271;328,3926;161,5377;354,0869;0,008420044;0,02604416;-0,1980174;0,01107766
0,4418066;-7,010962;1,564639;-1,354243;328,3327;161,6405;354,0968;0,005042575;0,02526147;-0,1009718;0,01116068
0,4586622;-7,010761;1,564425;-1,354144;328,1759;161,8928;354,0972;0,0133002;0,0248219;0,247821;0,01138487
0,4751086;-7,010505;1,564218;-1,35399;328,025;162,147;354,0866;0,01812537;0,02459009;0,1448913;0,01168296
0,4923083;-7,01035;1,564106;-1,353888;327,9474;162,2778;354,0753;0,01080331;0,02410842;-0,2176198;0,01186878
0,5105242;-7,01035;1,564106;-1,353888;327,9474;162,2778;354,0753;0;0,02324821;-0,3050436;0,01186878
0,525228;-7,009659;1,563663;-1,353409;327,6853;162,7707;354,0221;0,05720863;0,02419894;1,737822;0,01270996
0,5419613;-7,009481;1,563555;-1,353288;327,63;162,8822;354,0096;0,01284353;0,02384834;-1,411234;0,01292488
0,5590741;-7,009141;1,56335;-1,353055;327,5294;163,0919;353,9854;0,02409084;0,02385576;0,3323075;0,01333714
0,5752478;-7,008806;1,563149;-1,35281;327,4404;163,2775;353,9713;0,02564252;0,02390599;0,04661594;0,01375187
0,591713;-7,008664;1,563073;-1,352711;327,4086;163,3476;353,9754;0,010537;0,02353399;-0,4628079;0,01392536
0,6086503;-7,008664;1,563073;-1,352711;327,4086;163,3476;353,9754;0;0,02287909;-0,3154561;0,01392536
0,6254843;-7,008179;1,562819;-1,352379;327,2957;163,5763;353,9905;0,0349108;0,02320291;1,033739;0,01451306
0,6418387;-7,007999;1,562733;-1,352265;327,2612;163,6501;353,9959;0,01299011;0,02294268;-0,6604911;0,0147255
0,6759794;-7,007487;1,56254;-1,351982;327,1768;163,8754;354,0111;0,01715059;0,02265015;0,08239377;0,01531103
0,6941162;-7,007011;1,562395;-1,35176;327,1336;164,0876;354,0186;0,02893139;0,02281427;0,2253512;0,01583576
0,7086368;-7,006861;1,562345;-1,351698;327,1332;164,1578;354,0173;0,01123028;0,02257691;-0,5420256;0,01599883
0,7255967;-7,006861;1,562345;-1,351698;327,1332;164,1578;354,0173;0;0,0220492;-0,3567386;0,01599883
0,7422191;-7,006227;1,562079;-1,351524;327,2663;164,4336;354,0265;0,03955786;0,02244131;1,177937;0,01665637
0,7588625;-7,005807;1,561841;-1,351486;327,4104;164,5953;354,0429;0,02531551;0,02250435;-0,4281376;0,01707771
0,7758342;-7,005322;1,561544;-1,351496;327,6103;164,7383;354,0924;0,02855121;0,02263663;0,09625729;0,01756227
0,7918489;-7,005071;1,561384;-1,35152;327,731;164,7969;354,1321;0,01576544;0,02249766;-0,3876073;0,01781475
0,8091354;-7,005071;1,561384;-1,35152;327,731;164,7969;354,1321;0;0,02201702;-0,4734199;0,01781475
0,826387;-7,00425;1,56083;-1,351619;328,1307;164,9596;354,2623;0,04796793;0,02255877;1,388839;0,01864228
0,8612126;-7,003653;1,560412;-1,351715;328,3627;165,071;354,3252;0,01736376;0,0223487;-0,5876696;0,01924698
0,8752856;-7,002762;1,559771;-1,351963;328,7341;165,2197;354,4158;0,0657002;0,02304571;0,9885054;0,02017158
0,908743;-7,002464;1,559555;-1,352064;328,8959;165,2683;354,4552;0,009399186;0,02254329;-1,184526;0,02048605
0,9255195;-7,001054;1,558529;-1,352672;329,8841;165,5432;354,6886;0,09150044;0,02379324;1,634379;0,02202111
0,9420285;-7,000794;1,558354;-1,352795;330,0874;165,5956;354,7301;0,01741008;0,02368138;-2,225905;0,02230853
0,9590656;-7,000542;1,558184;-1,352914;330,2897;165,6492;354,7684;0,01638784;0,02355181;-0,03047287;0,02258773
