Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;0;-1;-1;0
0,3333333;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,368929;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,3943278;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,4103553;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,427407;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,4437491;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,46052;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,4774926;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,4940483;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,5125369;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,5272706;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,5438367;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,5604088;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,5773678;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,5939229;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,6104704;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,6271722;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,6441842;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,6624985;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,6775808;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,6939366;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,7104701;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,7273495;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,7438792;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,760595;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,7778846;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,794233;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,813229;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,8277061;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,8444031;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,860688;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,8776529;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,8940246;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,910684;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,9274601;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,9444247;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,9634508;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,9780498;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
0,9940808;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,010751;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,027372;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,044213;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,060943;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,077414;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,094812;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,129899;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,144521;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,16104;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,177802;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,194331;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,210966;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,227929;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,244159;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,261319;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,279402;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,294476;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,310848;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,327953;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,344399;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,378095;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,394227;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,411459;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,429777;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,444419;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,461215;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,477757;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,494395;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,511121;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,527836;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,544744;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,561878;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,580346;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,594622;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,611726;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,628255;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,644816;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,66122;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,67787;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,694585;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,711926;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,730112;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
1,744642;3,807215;0,5193944;-8,156822;14,02854;135,3678;1,014383;0;1;0;-1;-1
