Areas
Area;Time spent in Area (s)
(1,5);4,696882
(2,5);8,894913
(2,4);6,380693
(3,3);5,602388
(4,3);3,541075
(4,2);3,444294
(3,2);4,619507
(2,2);5,36367
(2,1);4,984364


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Left;0,5932361;0,9931811;0,399945;0,8361027
Right;0,6419381;1,5665;0,9245621;0,8525501
Left;1,556752;2,618752;1,062;0,722717
Right;2,599199;3,536274;0,9370747;0,9019301
Left;3,55837;4,586507;1,028138;0,8100227
Right;4,718956;5,565251;0,8462949;0,7895599
Left;5,67864;6,482441;0,8038011;0,820951
Right;6,615802;7,542694;0,9268918;0,7022063
Left;7,597662;8,865595;1,267932;0,7978289
Right;9,072787;10,02457;0,9517851;0,6939713
Left;10,37413;11,0555;0,6813736;0,5153262
Right;13,87817;14,63717;0,7590008;0,556462
Left;14,73023;15,62424;0,8940096;0,8124071
Right;15,61422;16,71999;1,10577;0,8616595
Left;16,86012;17,82133;0,9612141;0,7898805
Right;18,0479;18,87086;0,8229618;0,8798003
Left;18,99335;19,92593;0,9325752;0,9270016
Right;20,0569;20,89533;0,838438;0,934039
Left;20,95544;21,9057;0,9502544;0,8977678
Right;21,99395;22,93161;0,937664;0,9454381
Left;22,99923;24,02258;1,023348;0,8347743
Right;24,1382;25,13614;0,9979458;0,8908855
Left;25,19918;26,12237;0,9231892;0,8824353
Right;26,18322;27,07054;0,8873177;1,000087
Left;27,08251;27,98915;0,906641;1,019685
Right;28,02373;28,92339;0,8996582;0,9774225
Left;28,96393;29,97372;1,009789;0,9723898
Right;29,99701;31,10371;1,106705;0,7786915
Left;31,19744;32,16324;0,9657974;0,9454552
Right;32,22616;33,18771;0,9615517;0,9332821
Left;33,20057;34,1496;0,9490318;0,947828
Right;34,31632;35,2674;0,9510803;0,7107357
Left;35,37524;36,36197;0,9867287;0,9407958
Right;36,39879;37,33265;0,933857;0,928204
Left;37,35559;38,35101;0,9954147;1,018212
Right;38,42185;39,3548;0,9329567;1,000211
Left;39,35481;40,34619;0,9913788;0,9661984
Right;40,35735;41,30782;0,9504662;1,007217
Left;41,29501;42,3286;1,033585;1,049128
Right;42,30442;43,21228;0,907856;0,9897637
Left;43,32513;44,22495;0,8998146;0,8223924
Right;44,28358;45,22274;0,9391594;0,9181674
Left;45,30248;46,19483;0,8923454;0,8046451
Right;46,3215;47,27157;0,9500732;0,9944813
Left;47,32468;48,25184;0,9271584;0,9041097
Right;48,23867;49,16939;0,9307175;0,9411823
Left;49,26107;50,34506;1,083984;0,9583677
Right;50,35716;51,28526;0,928093;0,9823675
Left;51,29719;52,30614;1,008953;0,9972774


Landmarks
Area;Time spent looking at landmarks (s)
(1,5);0,7399998
(2,5);1,539999
(2,4);0,7999998
(3,3);0
(4,3);0
(4,2);0,7199998
(3,2);0,18
(2,2);0,7199998


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
2,619681;(2,5);1,1


