Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
0,0068364;3,783109;1,535576;-7,233572;20,97673;327,0546;354,2221;-1;0;0
0,3401698;3,781218;1,534726;-7,222386;21,49055;326,8601;354,2595;0,03403327;0,03403327;0,01134442
0,3663616;3,712986;1,505756;-7,01862;26,99093;330,0716;359,4406;8,204329;0,6292501;0,2262313
0,3808177;3,702548;1,503998;-7,005049;26,16456;330,4183;359,8882;1,184322;0,6507062;0,243352
0,3921192;3,698932;1,503853;-7,000456;25,96772;330,62;0,1868092;0,5171878;0,6467897;0,249197
0,4016469;3,698932;1,503853;-7,000456;25,96772;330,62;0,1868092;0;0,6311811;0,249197
0,4112321;3,691253;1,504413;-6,990932;26,9341;330,8284;359,8557;1,276413;0,6464747;0,2614316
0,4228117;3,691253;1,504413;-6,990932;26,9341;330,8284;359,8557;0;0,6284788;0,2614316
0,4341775;3,682875;1,505101;-6,981802;26,34638;331,1516;0,665687;1,090224;0,6407596;0,2738229
0,4434672;3,682875;1,505101;-6,981802;26,34638;331,1516;0,665687;0;0,6271269;0,2738229
0,4567963;3,673854;1,506096;-6,973052;25,76557;331,3143;1,586041;0,9428838;0,6364805;0,2863907
0,4675819;3,673854;1,506096;-6,973052;25,76557;331,3143;1,586041;0;0,6215811;0,2863907
0,4777283;3,660153;1,508204;-6,960363;25,89775;331,4419;2,897794;1,840453;0,6478444;0,3050647
0,4873515;3,660153;1,508204;-6,960363;25,89775;331,4419;2,897794;0;0,6348702;0,3050647
0,4976666;3,651218;1,510474;-6,952128;26,35493;331,4471;3,482567;1,177959;0,6462835;0,3172154
0,5095035;3,651218;1,510474;-6,952128;26,35493;331,4471;3,482567;0;0,6310647;0,3172154
0,5185563;3,642789;1,513363;-6,944044;26,11172;331,3207;3,929562;1,290198;0,6427253;0,3288954
0,5273407;3,642789;1,513363;-6,944044;26,11172;331,3207;3,929562;0;0,6318783;0,3288954
0,5422907;3,634791;1,516659;-6,936041;27,24903;331,3179;3,992455;0,7567725;0,6353654;0,3402091
0,5526416;3,630876;1,518065;-6,93205;27,06751;331,2564;4,155913;0,5401258;0,6335592;0,3457999
0,5612593;3,630876;1,518065;-6,93205;27,06751;331,2564;4,155913;0;0,6237114;0,3457999
0,5713574;3,623322;1,520696;-6,923983;27,07664;331,1322;4,254978;1,094428;0,6321316;0,3568515
0,5810912;3,623322;1,520696;-6,923983;27,07664;331,1322;4,254978;0;0,6214167;0,3568515
0,5932361;3,615918;1,522227;-6,916434;26,69655;330,9145;4,894475;0,8706764;0,6265792;0,3674258
0,6067194;3,615918;1,522227;-6,916434;26,69655;330,9145;4,894475;0;0,6124958;0,3674258
0,6196272;3,605591;1,523733;-6,904539;26,96525;330,4106;5,008487;1,220366;0,6253;0,3831781
0,6307377;3,605591;1,523733;-6,904539;26,96525;330,4106;5,008487;0;0,6141646;0,3831781
