Areas				
Area	Time spent in Area (s)			
(4,5)	1,741068			
(4,4)	1,939759			
(4,3)	1,940398			
(4,2)	2,021149			
(4,1)	2,789573			
(4,0)	0,8038883			
(4,1)	3,109894			
(4,2)	1,878457			
(4,3)	1,876566			
(4,4)	1,977617			
(4,5)	2,218882			
				
				
Steps				
Foot	Start time (s)	End time (s)	Duration (s)	Length (m)
Left	0,9232355	1,660362	0,7371262	1,300779
Left	2,04394	2,767185	0,7232451	1,32042
Left	3,144268	3,839944	0,6956761	1,353477
Left	4,278265	4,969183	0,6909175	1,350936
Left	5,358433	6,117026	0,7585926	1,311414
Left	6,464873	7,223011	0,7581372	1,324466
Left	7,586657	8,305952	0,7192955	1,267153
Left	8,756418	9,455881	0,6994629	1,153978
Right	9,360835	10,09238	0,7315416	1,100738
Left	9,992695	10,7094	0,7167044	1,05938
Right	10,64503	11,40571	0,7606773	1,002459
Left	11,30723	11,88958	0,5823507	0,8865749
Right	11,99113	12,55182	0,5606861	0,2307605
Right	13,25994	13,98415	0,7242107	0,4302028
Left	13,85816	14,56551	0,7073517	1,249617
Right	14,4236	15,1293	0,7057009	1,316587
Left	14,97765	15,72099	0,7433386	1,377835
Right	15,55804	16,26846	0,7104187	1,366418
Left	16,09979	16,82643	0,7266369	1,363438
Right	16,67669	17,33542	0,6587334	1,355754
Left	17,20102	17,89859	0,6975708	1,353447
Right	17,74175	18,44761	0,7058582	1,369242
Left	18,28657	19,00212	0,7155533	1,362322
Right	18,83415	19,56763	0,7334805	1,332097
Left	19,39286	20,07743	0,6845646	1,313596
Right	19,91717	20,62597	0,7087975	1,327295
Left	20,46424	21,15689	0,6926498	1,313356
Right	21,02446	21,73793	0,7134686	1,290209
Left	21,5883	22,27727	0,6889744	1,303001
Right	22,14053	22,86628	0,72575	1,28355
Left	22,70424	23,38991	0,685667	1,220929
Right	23,27672	24,03061	0,7538929	1,179412
