Path;Advice;Simulation time (s);Distance travelled (m);Mean speed (m/s);Number of steps;Mean step frequency (step/s);Percent of left foot in front;Walked path;Number of areas covered;Average time in area (s);Nbr errors; Nbr wrong areas;Total error time (s);Total error distance (m)
T;PEANUT;24,14152;12,36045;0,5119994;0;-1;1;53.43.33.34.35;5;4,828305;0;0;0;0
B;LIGHT;38,95778;22,85979;0,5867837;0;-1;1;01.11.12.13.23.33.32.42.43.44;10;3,895777;0;0;0;0
B;LIGHT;25,16811;0;0;0;-1;1;01;1;25,16811;0;0;0;0
B;LIGHT;97,34585;41,84091;0,4298171;0;-1;1;01.11.12.13.23.33.32.42.43.44.33.44;12;8,112154;1;1;5,753471;0
T;PEANUT;156,6336;28,16656;0,1798245;1;-1;0,4401395;53.43.33.32.33.34.35;7;22,37623;1;1;6,587769;0
C;PEANUT;116,5236;31,8709;0,2735147;1;-1;0,2830924;55.45.35.34.23.13.12.11.21.31;10;11,65236;0;0;0;0
T;LIGHT;82,65083;19,81606;0,2397563;2;-2;0,5203695;53.43.33.32.33.34.35;7;11,80726;1;1;4,135666;0
B;LIGHT;95,29419;21,4485;0,2250767;1;-1;0,2481614;01.11.12.13.23.33.32.42.43.44;10;9,529419;0;0;0;0
T;ARROW;101,2101;25,96719;0,2565671;2;-2;0,1608495;53.43.33.43.33.34.33.32.33.34.35;11;9,200921;2;3;33,72268;2,572916
A;ARROW;97,03995;27,94726;0,2879975;4;0,07702882;0,117208;16.15.25.24.33.43.42.32.22.21;10;9,703995;0;0;0;0
