Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;0;-1;-1;0
0,3333333;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,3667973;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,3922669;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,4088292;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,4255733;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,4421971;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,4589368;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,4756401;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,4929491;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,5113094;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,5259143;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,5425169;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,5591111;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,575947;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,5925162;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,6090211;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,6258435;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,6424168;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,6592716;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,6775294;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,6925962;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,7090457;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,7262335;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,7424633;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,7591617;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,7757639;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,7926185;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,8093749;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,828123;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,8425822;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,8591139;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,8757846;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,8924829;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,9090765;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,9266003;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,9430241;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,9598447;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,9778967;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
0,9926085;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,009294;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,026019;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,042626;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,059418;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,092791;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,109745;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,128509;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,143073;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,159421;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,192692;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,209644;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,225983;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,242851;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,259774;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,278016;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,292906;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,309456;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,326237;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,343356;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,359701;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,376508;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,393147;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,409914;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,428219;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,442953;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,459552;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,476184;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,49307;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,509476;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,526395;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,543164;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,559972;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,57849;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,593036;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,610087;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,643266;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,65987;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,676589;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,69305;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,710153;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,728278;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,760099;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,793091;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,809795;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,826519;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,843196;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,860308;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,878996;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,893459;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,909776;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,926601;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,943493;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,960369;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,976585;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
1,993214;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,010336;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,02913;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,043301;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,060009;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,076644;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,093642;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,110068;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,126703;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,143511;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,160834;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,179265;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,193346;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,209924;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,226906;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,243391;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,260231;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,293413;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,310165;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,327648;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,346043;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,360824;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,37675;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,393665;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,410184;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,427026;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,443551;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,460805;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,476904;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,49389;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,512863;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,527121;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,543785;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,561126;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,577214;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,593724;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,610381;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,627168;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,644333;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,663018;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,677045;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,693672;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,710459;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,727111;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,744138;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,760672;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,777078;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,793812;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,81093;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,829644;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,843776;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,860749;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,877227;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,893797;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,911167;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,92721;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,943739;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,961697;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,97893;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
2,995444;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
3,010633;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
3,027339;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
3,043975;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
3,060591;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
3,077376;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
3,094135;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
3,110755;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
3,127582;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
3,146387;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
3,161387;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
3,177553;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
3,19423;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
3,210827;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
3,227424;-5,420906;0,5582708;-1,077718;10,80961;133,2928;6,544431;0;1;0;-1;-1
