Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;0;-1;-1;0
0,3333333;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,3693616;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,3942581;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,4103056;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,427078;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,4437656;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,4603727;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,4771993;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,4954426;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,5135289;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,5437955;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,5605943;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,5772958;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,5947286;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,627818;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,6447657;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,663323;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,677234;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,6940041;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,7105507;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,7272167;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,7438476;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,7610442;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,7772373;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,7950301;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,8133008;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,8274535;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,8446049;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,860653;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,8775816;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,8942916;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,9109915;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,9276028;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,9440618;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,9616683;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,9794819;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
0,9942476;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
1,010831;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
1,027618;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
1,044118;-6,800716;0,1606682;-3,646349;334,1387;132,3434;234,3369;0;1;0;-1;-1
1,060821;-6,434937;0,04304666;-0,7660267;2,15486;1,291727;180,8936;2,736989;1;0;-1;-1
1,0775;-6,434969;0,04316617;-0,7661655;2,20707;1,308246;180,9682;2,694489;1;0;-1;-1
1,111326;-6,434969;0,04316617;-0,7661655;2,20707;1,308246;180,9682;2,612477;1;0;-1;-1
1,146726;-6,434942;0,04311879;-0,7661512;2,204393;1,322719;180,992;2,531844;1;0;-1;-1
1,161009;-6,434942;0,04311879;-0,7661512;2,204393;1,322719;180,992;2,500696;1;0;-1;-1
1,177563;-6,434942;0,04311879;-0,7661512;2,204393;1,322719;180,992;2,465541;1;0;-1;-1
1,194221;-6,434942;0,04311879;-0,7661512;2,204393;1,322719;180,992;2,43115;1;0;-1;-1
1,211678;-6,434942;0,04311879;-0,7661512;2,204393;1,322719;180,992;2,396125;1;0;-1;-1
1,227443;-6,434942;0,04311879;-0,7661512;2,204393;1,322719;180,992;2,365348;1;0;-1;-1
1,244257;-6,434942;0,04311879;-0,7661512;2,204393;1,322719;180,992;2,333384;1;0;-1;-1
1,2614;-6,434942;0,04311879;-0,7661512;2,204393;1,322719;180,992;2,301673;1;0;-1;-1
1,281258;-6,434942;0,04311879;-0,7661512;2,204393;1,322719;180,992;2,266;1;0;-1;-1
1,294176;-6,434942;0,04311879;-0,7661512;2,204393;1,322719;180,992;2,243382;1;0;-1;-1
1,311699;-6,434942;0,04311879;-0,7661512;2,204393;1,322719;180,992;2,213413;1;0;-1;-1
1,328977;-6,434942;0,04311879;-0,7661512;2,204393;1,322719;180,992;2,184635;1;0;-1;-1
