Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;3,767592;1,642966;-8,465987;9,22446;359,9212;356,5916;-1;0;-1;0
0,3333333;3,767556;1,643021;-8,465477;9,193233;359,9593;356,6171;0,001534503;0,001534503;-1;0,0005115012
0,3781112;3,767984;1,641355;-8,459702;9,87822;359,3782;356,5311;0,1293138;0,01666676;0,3379411;0,006301889
0,4187275;3,768391;1,641181;-8,459552;9,891607;359,3568;356,5186;0,01067934;0,01608599;-1,389258;0,006735644
0,4348285;3,769444;1,640957;-8,459468;9,899148;359,3302;356,491;0,06559778;0,01791934;0,968282;0,00779184
0,4519849;3,769444;1,640957;-8,459468;9,899148;359,3302;356,491;0;0,01723916;-1,972422;0,00779184
0,4859225;3,769728;1,640949;-8,459476;9,897645;359,328;356,4865;0,008363839;0,01661929;0,1636954;0,008075688
0,5044438;3,77013;1,640938;-8,459561;10,06193;359,2585;356,4402;0,02219445;0,01682399;0,2636469;0,008486758
0,5351074;3,77013;1,640938;-8,459561;10,06193;359,2585;356,4402;0;0,01585992;-0,451245;0,008486758
0,5514266;3,770919;1,640973;-8,459652;10,22186;359,1656;356,3671;0,04866117;0,01683065;1,035723;0,00928087
0,56831;3,771202;1,640993;-8,459663;10,22148;359,155;356,352;0,01676181;0,01682861;-0,9607492;0,009563866
0,585367;3,77148;1,641001;-8,459669;10,21222;359,1474;356,3369;0,01634344;0,01681447;-0,01232669;0,009842636
0,6030766;3,771761;1,640991;-8,459674;10,20118;359,1414;356,3203;0,0158613;0,01678648;-0,01386774;0,01012353
0,63666;3,771907;1,640977;-8,459677;10,18921;359,1386;356,3091;0,004338507;0,01612986;-0,2246465;0,01026923
0,6538781;3,772279;1,640906;-8,459724;10,29612;359,0763;356,2332;0,02180553;0,01627931;0,3438289;0,01064469
0,6850119;3,772513;1,640867;-8,459728;10,28806;359,0723;356,2129;0,007513376;0,0158809;-0,2955864;0,0108786
0,7018538;3,772875;1,640776;-8,459805;10,38472;359,0195;356,1399;0,02197537;0,01602715;0,3014445;0,01124871
0,7188249;3,772953;1,640761;-8,45982;10,37737;359,0177;356,131;0,004639663;0,01575829;-0,5126936;0,01132745
