Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;0;0;0;0;0;0;0;0;-1;-1;0
0,3333333;0;0;0;0;0;0;0;0;-1;-1;0
0,3781112;0;0;0;0;0;0;0;0;-1;-1;0
0,4187275;0;0;0;0;0;0;0;0;-1;-1;0
0,4348285;0;0;0;0;0;0;0;0;-1;-1;0
0,4519849;0;0;0;0;0;0;0;0;-1;-1;0
0,4859225;0;0;0;0;0;0;0;0;-1;-1;0
0,5044438;0;0;0;0;0;0;0;0;-1;-1;0
0,5351074;0;0;0;0;0;0;0;0;-1;-1;0
0,5514266;0;0;0;0;0;0;0;0;-1;-1;0
0,56831;0;0;0;0;0;0;0;0;-1;-1;0
0,585367;0;0;0;0;0;0;0;0;-1;-1;0
0,6030766;0;0;0;0;0;0;0;0;-1;-1;0
0,63666;0;0;0;0;0;0;0;0;-1;-1;0
0,6538781;0;0;0;0;0;0;0;0;-1;-1;0
0,6850119;0;0;0;0;0;0;0;0;-1;-1;0
0,7018538;0;0;0;0;0;0;0;0;-1;-1;0
0,7188249;0;0;0;0;0;0;0;0;-1;-1;0
0,7351938;0;0;0;0;0;0;0;0;-1;-1;0
0,7524357;0;0;0;0;0;0;0;0;-1;-1;0
0,7852319;0;0;0;0;0;0;0;0;-1;-1;0
0,8185392;0;0;0;0;0;0;0;0;-1;-1;0
0,8713959;0;0;0;0;0;0;0;0;-1;-1;0
0,9017778;0;0;0;0;0;0;0;0;-1;-1;0
0,9192685;0;0;0;0;0;0;0;0;-1;-1;0
0,9529311;0;0;0;0;0;0;0;0;-1;-1;0
0,9855482;0;0;0;0;0;0;0;0;-1;-1;0
1,02143;0;0;0;0;0;0;0;0;-1;-1;0
1,036874;0;0;0;0;0;0;0;0;-1;-1;0
1,051956;0;0;0;0;0;0;0;0;-1;-1;0
1,085482;0;0;0;0;0;0;0;0;-1;-1;0
1,119047;0;0;0;0;0;0;0;0;-1;-1;0
1,152249;0;0;0;0;0;0;0;0;-1;-1;0
1,17065;0;0;0;0;0;0;0;0;-1;-1;0
1,219195;0;0;0;0;0;0;0;0;-1;-1;0
1,286189;0;0;0;0;0;0;0;0;-1;-1;0
1,320496;0;0;0;0;0;0;0;0;-1;-1;0
1,338141;0;0;0;0;0;0;0;0;-1;-1;0
1,368924;0;0;0;0;0;0;0;0;-1;-1;0
1,385867;0;0;0;0;0;0;0;0;-1;-1;0
1,419648;0;0;0;0;0;0;0;0;-1;-1;0
1,453344;0;0;0;0;0;0;0;0;-1;-1;0
1,469092;0;0;0;0;0;0;0;0;-1;-1;0
1,486648;0;0;0;0;0;0;0;0;-1;-1;0
1,523127;0;0;0;0;0;0;0;0;-1;-1;0
1,552039;0;0;0;0;0;0;0;0;-1;-1;0
1,568595;0;0;0;0;0;0;0;0;-1;-1;0
1,60279;0;0;0;0;0;0;0;0;-1;-1;0
1,619219;0;0;0;0;0;0;0;0;-1;-1;0
1,670418;0;0;0;0;0;0;0;0;-1;-1;0
1,698109;0;0;0;0;0;0;0;0;-1;-1;0
1,71946;0;0;0;0;0;0;0;0;-1;-1;0
1,752279;0;0;0;0;0;0;0;0;-1;-1;0
1,785524;0;0;0;0;0;0;0;0;-1;-1;0
1,802963;0;0;0;0;0;0;0;0;-1;-1;0
1,836374;0;0;0;0;0;0;0;0;-1;-1;0
1,855391;0;0;0;0;0;0;0;0;-1;-1;0
1,885959;0;0;0;0;0;0;0;0;-1;-1;0
1,902611;0;0;0;0;0;0;0;0;-1;-1;0
1,919019;0;0;0;0;0;0;0;0;-1;-1;0
1,936005;0;0;0;0;0;0;0;0;-1;-1;0
1,952422;0;0;0;0;0;0;0;0;-1;-1;0
1,969525;0;0;0;0;0;0;0;0;-1;-1;0
1,985648;0;0;0;0;0;0;0;0;-1;-1;0
2,004454;0;0;0;0;0;0;0;0;-1;-1;0
2,038364;0;0;0;0;0;0;0;0;-1;-1;0
2,069623;0;0;0;0;0;0;0;0;-1;-1;0
2,085861;0;0;0;0;0;0;0;0;-1;-1;0
2,119479;0;0;0;0;0;0;0;0;-1;-1;0
2,136024;0;0;0;0;0;0;0;0;-1;-1;0
2,152649;0;0;0;0;0;0;0;0;-1;-1;0
2,186941;0;0;0;0;0;0;0;0;-1;-1;0
2,205571;0;0;0;0;0;0;0;0;-1;-1;0
2,235964;0;0;0;0;0;0;0;0;-1;-1;0
