Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;0;0;0;0;0;0;0;0;-1;-1;0
0,3333333;0;0;0;0;0;0;0;0;-1;-1;0
0,3768075;0;0;0;0;0;0;0;0;-1;-1;0
0,40088;0;0;0;0;0;0;0;0;-1;-1;0
0,4174138;0;0;0;0;0;0;0;0;-1;-1;0
0,4511575;0;0;0;0;0;0;0;0;-1;-1;0
0,484439;0;0;0;0;0;0;0;0;-1;-1;0
0,5199364;0;0;0;0;0;0;0;0;-1;-1;0
0,5340396;0;0;0;0;0;0;0;0;-1;-1;0
0,5678568;0;0;0;0;0;0;0;0;-1;-1;0
0,6007717;0;0;0;0;0;0;0;0;-1;-1;0
0,6360239;0;0;0;0;0;0;0;0;-1;-1;0
0,6703324;0;0;0;0;0;0;0;0;-1;-1;0
0,6843401;0;0;0;0;0;0;0;0;-1;-1;0
0,7176217;0;0;0;0;0;0;0;0;-1;-1;0
0,7340974;0;0;0;0;0;0;0;0;-1;-1;0
0,7505931;0;0;0;0;0;0;0;0;-1;-1;0
0,7681195;0;0;0;0;0;0;0;0;-1;-1;0
0,7842312;0;0;0;0;0;0;0;0;-1;-1;0
0,8177483;0;0;0;0;0;0;0;0;-1;-1;0
0,8370555;0;0;0;0;0;0;0;0;-1;-1;0
0,8686143;0;0;0;0;0;0;0;0;-1;-1;0
0,8840157;0;0;0;0;0;0;0;0;-1;-1;0
0,9012225;0;0;0;0;0;0;0;0;-1;-1;0
0,9176484;0;0;0;0;0;0;0;0;-1;-1;0
0,951418;0;0;0;0;0;0;0;0;-1;-1;0
0,9681823;0;0;0;0;0;0;0;0;-1;-1;0
1,003491;0;0;0;0;0;0;0;0;-1;-1;0
1,034398;0;0;0;0;0;0;0;0;-1;-1;0
1,050902;0;0;0;0;0;0;0;0;-1;-1;0
1,068326;0;0;0;0;0;0;0;0;-1;-1;0
1,084777;0;0;0;0;0;0;0;0;-1;-1;0
1,118196;0;0;0;0;0;0;0;0;-1;-1;0
1,153868;0;0;0;0;0;0;0;0;-1;-1;0
1,185686;0;0;0;0;0;0;0;0;-1;-1;0
1,21795;0;0;0;0;0;0;0;0;-1;-1;0
1,25135;0;0;0;0;0;0;0;0;-1;-1;0
1,285597;0;0;0;0;0;0;0;0;-1;-1;0
1,30318;0;0;0;0;0;0;0;0;-1;-1;0
1,319356;0;0;0;0;0;0;0;0;-1;-1;0
1,351278;0;0;0;0;0;0;0;0;-1;-1;0
1,367628;0;0;0;0;0;0;0;0;-1;-1;0
1,401375;0;0;0;0;0;0;0;0;-1;-1;0
1,43521;0;0;0;0;0;0;0;0;-1;-1;0
1,469777;0;0;0;0;0;0;0;0;-1;-1;0
1,486234;0;0;0;0;0;0;0;0;-1;-1;0
1,518094;0;0;0;0;0;0;0;0;-1;-1;0
1,551341;0;0;0;0;0;0;0;0;-1;-1;0
1,585557;0;0;0;0;0;0;0;0;-1;-1;0
1,618561;0;0;0;0;0;0;0;0;-1;-1;0
1,634748;0;0;0;0;0;0;0;0;-1;-1;0
1,653877;0;0;0;0;0;0;0;0;-1;-1;0
1,668074;0;0;0;0;0;0;0;0;-1;-1;0
1,685226;0;0;0;0;0;0;0;0;-1;-1;0
1,718441;0;0;0;0;0;0;0;0;-1;-1;0
1,752084;0;0;0;0;0;0;0;0;-1;-1;0
1,785031;0;0;0;0;0;0;0;0;-1;-1;0
1,820497;0;0;0;0;0;0;0;0;-1;-1;0
1,851583;0;0;0;0;0;0;0;0;-1;-1;0
1,885579;0;0;0;0;0;0;0;0;-1;-1;0
1,918069;0;0;0;0;0;0;0;0;-1;-1;0
1,952746;0;0;0;0;0;0;0;0;-1;-1;0
1,971382;0;0;0;0;0;0;0;0;-1;-1;0
2,001738;0;0;0;0;0;0;0;0;-1;-1;0
2,034948;0;0;0;0;0;0;0;0;-1;-1;0
2,051765;0;0;0;0;0;0;0;0;-1;-1;0
2,068662;0;0;0;0;0;0;0;0;-1;-1;0
2,101641;0;0;0;0;0;0;0;0;-1;-1;0
2,135511;0;0;0;0;0;0;0;0;-1;-1;0
2,16035;0;0;0;0;0;0;0;0;-1;-1;0
2,185042;0;0;0;0;0;0;0;0;-1;-1;0
2,201974;0;0;0;0;0;0;0;0;-1;-1;0
2,218729;0;0;0;0;0;0;0;0;-1;-1;0
2,251847;0;0;0;0;0;0;0;0;-1;-1;0
