Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;-6,362676;1,692515;-5,488915;29,52726;109,0101;0,2353032;-1;0;-1;0
0,3333333;-6,358169;1,693222;-5,497039;29,39527;108,2556;0,09001404;0,02787041;0,02787041;-1;0,009290138
0,3618107;-6,19898;1,693274;-5,563478;28,18431;99,53986;6,166747;6,057339;0,5024379;16,6647;0,1817874
0,3857631;-6,189358;1,694286;-5,568149;27,92153;99,14996;6,533722;0,4465335;0,4989667;-107,0156;0,192483
0,4028002;-6,179593;1,693407;-5,576245;27,88307;97,29266;7,439266;0,7445501;0,5093541;7,270562;0,2051679
0,4192057;-6,178719;1,693427;-5,57708;27,92426;97,29153;7,410717;0,07369971;0,4923049;-20,05976;0,206377
0,4525919;-6,178719;1,693427;-5,57708;27,92426;97,29153;7,410717;0;0,4559892;-1,480161;0,206377
0,4691401;-6,167219;1,692022;-5,591039;28,21023;96,93111;7,114069;1,0929;0,4784552;21,88672;0,2244625
0,4862909;-6,162184;1,691279;-5,598928;28,17034;96,78313;7,008312;0,5457131;0,4808273;-16,23749;0,2338219
0,5057533;-6,162184;1,691279;-5,598928;28,17034;96,78313;7,008312;0;0,4623241;-14,90483;0,2338219
0,5194837;-6,154054;1,690354;-5,61392;28,00707;96,28085;6,732726;1,242039;0,4829326;37,41896;0,2508756
0,5359301;-6,154054;1,690354;-5,61392;28,00707;96,28085;6,732726;0;0,4681126;-41,15873;0,2508756
0,5530375;-6,154054;1,690354;-5,61392;28,00707;96,28085;6,732726;0;0,4536322;0;0,2508756
0,5695912;-6,149279;1,689641;-5,625382;28,18245;95,51521;6,350701;0,7501078;0,4622485;22,2841;0,2632927
0,5860924;-6,146414;1,689202;-5,634171;28,17903;95,17441;6,18194;0,5602427;0,4650074;-5,743947;0,2725373
0,6028106;-6,144338;1,688903;-5,642746;28,2084;94,82797;5,950451;0,5277379;0,4667472;-0,9784902;0,2813601
0,6195208;-6,142797;1,689178;-5,651132;28,22761;94,45805;5,630686;0,5102223;0,4679198;-0,5239732;0,2898861
0,6366504;-6,142797;1,689178;-5,651132;28,22761;94,45805;5,630686;0;0,4553301;-15,07757;0,2898861
0,654829;-6,142797;1,689178;-5,651132;28,22761;94,45805;5,630686;0;0,4426897;0;0,2898861
0,6692179;-6,140823;1,69267;-5,668226;28,08642;91,91822;2,238405;1,195903;0,4588846;36,72074;0,3070938
0,6862045;-6,1398;1,693928;-5,673443;28,32194;91,87751;1,940558;0,3129588;0,4552723;-28,14117;0,3124099
0,7027128;-6,138462;1,695397;-5,680864;28,42273;91,85944;1,717344;0,4567761;0,4553076;4,293709;0,3199505
0,7193229;-6,137823;1,69607;-5,684484;28,44519;91,85281;1,60883;0,2213508;0,4499053;-7,1086;0,3236271
0,7360901;-6,136833;1,697104;-5,69061;28,45213;91,84636;1,403183;0,3700585;0,4480864;4,455355;0,329832
0,7531174;-6,136833;1,697104;-5,69061;28,45213;91,84636;1,403183;0;0,4379556;-10,95025;0,329832
0,7697238;-6,136052;1,69792;-5,69556;28,42781;91,8468;1,228276;0,3018015;0,4350182;8,973186;0,3348438
0,7868739;-6,136052;1,69792;-5,69556;28,42781;91,8468;1,228276;0;0,4255368;-8,940547;0,3348438
